Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
32.22,2.12,9.24,0.20
32.22,2.13,9.29,0.27
32.23,2.22,9.29,0.27
32.23,2.20,9.35,0.28
32.23,2.00,9.43,0.30
32.23,1.98,9.42,0.29
32.24,1.95,9.41,0.27
32.24,1.98,9.40,0.27
32.24,1.97,9.38,0.27
32.24,2.00,9.33,0.27
32.24,1.89,9.33,0.28
32.25,2.00,9.25,0.21
32.25,2.13,9.15,0.19
32.25,1.99,9.19,0.24
32.25,1.81,9.30,0.30
32.26,1.79,9.26,0.34
32.26,1.82,9.20,0.39
32.26,1.72,9.26,0.44
32.26,1.69,9.35,0.47
32.27,1.68,9.42,0.51
32.27,1.80,9.43,0.48
32.27,2.01,9.45,0.54
32.27,2.12,9.50,0.56
32.27,2.14,9.62,0.65
32.28,2.35,9.64,0.72
32.28,2.48,9.64,0.83
32.28,2.49,9.71,0.92
32.28,2.54,9.71,1.02
32.29,2.68,9.66,0.97
32.29,2.71,9.61,0.91
32.29,2.71,9.60,0.74
32.29,2.79,9.54,0.64
32.29,2.92,9.51,0.49
32.30,3.02,9.47,0.39
32.30,3.10,9.46,0.31
32.30,3.07,9.58,0.24
32.30,3.07,9.61,0.18
32.31,3.11,9.58,0.11
32.31,3.19,9.58,0.01
32.31,3.19,9.61,-0.01
32.31,3.17,9.68,0.02
32.32,3.04,9.74,0.01
32.32,3.02,9.76,0.14
32.32,3.13,9.70,0.22
32.32,3.18,9.69,0.30
32.32,3.13,9.70,0.35
32.33,3.17,9.63,0.44
32.33,3.11,9.58,0.46
32.33,2.97,9.57,0.57
32.33,3.00,9.51,0.71
32.34,3.00,9.46,0.83
32.34,2.98,9.45,1.04
32.34,3.02,9.38,1.19
32.34,3.12,9.32,1.37
32.35,3.16,9.31,1.60
32.35,3.19,9.25,1.70
32.35,3.35,9.19,1.79
32.35,3.32,9.21,1.77
32.35,3.39,9.20,1.79
32.36,3.41,9.21,1.75
32.36,3.38,9.26,1.72
32.36,3.40,9.30,1.64
32.36,3.38,9.36,1.59
32.37,3.37,9.37,1.52
32.37,3.43,9.37,1.47
32.37,3.43,9.39,1.48
32.37,3.40,9.42,1.50
32.38,3.27,9.52,1.53
32.38,3.16,9.66,1.56
32.38,3.14,9.82,1.53
32.38,3.00,10.03,1.51
32.38,2.90,10.21,1.51
32.39,2.78,10.44,1.49
32.39,2.65,10.69,1.45
32.39,2.61,10.91,1.47
32.39,2.52,11.19,1.50
32.40,2.43,11.40,1.61
32.40,2.36,11.54,1.77
32.40,2.28,11.66,1.94
32.40,2.19,11.79,2.16
32.41,2.02,11.96,2.45
32.41,1.91,12.12,2.71
32.41,1.92,12.18,2.90
32.41,1.96,12.18,3.04
32.41,1.97,12.25,3.12
32.42,2.06,12.23,3.20
32.42,2.04,12.32,3.25
32.42,2.05,12.39,3.31
32.42,2.13,12.40,3.50
32.43,2.11,12.42,3.69
32.43,2.09,12.47,3.84
32.43,2.01,12.54,3.82
32.43,1.96,12.64,3.73
32.44,1.92,12.75,3.63
32.44,1.92,12.76,3.52
32.44,1.78,12.84,3.39
32.44,1.54,13.05,3.20
32.44,1.21,13.29,3.00
32.45,0.80,13.49,2.74
32.45,0.47,13.68,2.60
32.45,0.08,13.88,2.40
32.45,-0.37,14.11,2.04
32.46,-0.87,14.35,1.72
32.46,-1.38,14.63,1.22
32.46,-1.82,14.87,0.75
32.46,-2.14,15.12,0.41
32.47,-2.37,15.38,0.14
32.47,-2.67,15.72,-0.13
32.47,-2.83,16.02,-0.27
32.47,-2.93,16.22,-0.32
32.47,-2.96,16.35,-0.32
32.48,-2.96,16.44,-0.37
32.48,-2.79,16.42,-0.39
32.48,-2.80,16.42,-0.47
32.48,-2.69,16.35,-0.63
32.49,-2.64,16.22,-0.69
32.49,-2.59,16.05,-0.66
32.49,-2.40,15.81,-0.74
32.49,-2.30,15.61,-0.65
32.49,-2.24,15.50,-0.58
32.50,-2.14,15.24,-0.68
32.50,-1.96,14.90,-0.63
32.50,-1.81,14.53,-0.56
32.50,-1.65,14.12,-0.52
32.51,-1.34,13.66,-0.53
