Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
29.90,-0.05,-0.05,0.00
29.90,-0.06,-0.05,0.00
29.90,-0.06,-0.05,0.00
29.90,-0.06,-0.05,0.00
29.90,-0.06,-0.05,0.00
29.91,-0.06,-0.05,0.00
29.91,-0.06,-0.05,-0.01
29.91,-0.05,-0.05,-0.01
29.91,-0.05,-0.05,-0.01
29.92,-0.05,-0.05,-0.01
29.92,-0.05,-0.05,-0.01
29.92,-0.05,-0.05,-0.01
29.92,-0.05,-0.05,-0.01
29.93,-0.05,-0.05,-0.01
29.93,-0.05,-0.05,-0.01
29.93,-0.05,-0.05,-0.01
29.93,-0.05,-0.05,-0.01
29.93,-0.05,-0.05,-0.01
29.94,-0.05,-0.05,-0.01
29.94,-0.05,-0.04,-0.01
29.94,-0.05,-0.04,-0.01
29.94,-0.05,-0.04,-0.01
29.95,-0.04,-0.04,-0.01
29.95,-0.04,-0.03,-0.02
29.95,-0.04,-0.03,-0.02
29.95,-0.04,-0.03,-0.02
29.96,-0.04,-0.03,-0.02
29.96,-0.04,-0.03,-0.02
29.96,-0.04,-0.03,-0.02
29.96,-0.04,-0.03,-0.02
29.96,-0.04,-0.03,-0.02
29.97,-0.04,-0.02,-0.02
29.97,-0.04,-0.03,-0.02
29.97,-0.04,-0.03,-0.02
29.97,-0.05,-0.02,-0.02
29.98,-0.04,-0.02,-0.02
29.98,-0.04,-0.02,-0.02
29.98,-0.05,-0.02,-0.02
29.98,-0.05,-0.02,-0.02
29.99,-0.05,-0.02,-0.02
29.99,-0.05,-0.01,-0.02
29.99,-0.05,-0.01,-0.02
29.99,-0.05,-0.01,-0.01
29.99,-0.05,-0.01,-0.01
30.00,-0.05,-0.01,-0.01
30.00,-0.05,-0.01,-0.01
30.00,-0.05,-0.01,-0.01
30.00,-0.05,-0.01,-0.01
30.01,-0.05,-0.01,-0.01
30.01,-0.05,-0.01,-0.01
30.01,-0.05,-0.01,-0.01
30.01,-0.05,-0.01,-0.01
30.02,-0.05,-0.01,-0.01
30.02,-0.05,-0.01,-0.01
30.02,-0.05,-0.01,-0.01
30.02,-0.05,-0.01,-0.01
30.02,-0.05,0.00,-0.01
30.03,-0.05,0.00,-0.01
30.03,-0.05,-0.01,-0.01
30.03,-0.05,-0.01,-0.01
30.03,-0.05,-0.01,-0.01
30.04,-0.05,-0.01,-0.01
30.04,-0.05,-0.01,-0.01
30.04,-0.05,-0.01,-0.01
30.04,-0.05,-0.01,-0.01
30.05,-0.05,-0.01,0.00
30.05,-0.05,-0.01,-0.01
30.05,-0.05,-0.01,0.00
30.05,-0.05,0.00,0.00
30.05,-0.05,0.00,0.00
30.06,-0.05,0.00,0.00
30.06,-0.05,0.00,0.00
30.06,-0.05,0.01,-0.01
30.06,-0.05,0.01,0.00
30.07,-0.05,0.01,0.00
30.07,-0.05,0.01,0.00
30.07,-0.05,0.01,0.00
30.07,-0.04,0.01,0.00
30.07,-0.04,0.02,0.00
30.08,-0.05,0.02,0.00
30.08,-0.04,0.02,0.00
30.08,-0.04,0.02,0.00
30.08,-0.04,0.02,0.00
30.09,-0.04,0.02,0.00
30.09,-0.04,0.02,0.00
30.09,-0.04,0.02,0.00
30.09,-0.04,0.03,0.00
30.10,-0.04,0.03,0.00
30.10,-0.04,0.03,0.00
30.10,-0.04,0.03,0.00
30.10,-0.04,0.03,0.00
30.10,-0.04,0.03,0.00
30.11,-0.04,0.02,0.00
30.11,-0.04,0.02,0.00
30.11,-0.04,0.02,0.00
30.11,-0.04,0.02,0.00
30.12,-0.04,0.02,0.00
30.12,-0.04,0.02,0.00
30.12,-0.04,0.02,0.00
30.12,-0.04,0.02,0.00
30.13,-0.04,0.02,0.00
30.13,-0.04,0.02,-0.01
30.13,-0.04,0.02,-0.01
30.13,-0.04,0.02,0.00
30.13,-0.04,0.02,0.00
30.14,-0.04,0.01,0.00
30.14,-0.04,0.02,0.00
30.14,-0.04,0.01,0.00
30.14,-0.05,0.01,-0.01
30.15,-0.05,0.02,0.00
30.15,-0.05,0.02,-0.01
30.15,-0.05,0.01,-0.01
30.15,-0.05,0.01,-0.01
30.16,-0.05,0.01,-0.01
30.16,-0.05,0.00,-0.01
30.16,-0.05,0.01,-0.01
30.16,-0.05,0.01,-0.01
30.16,-0.05,0.01,-0.01
30.17,-0.05,0.00,-0.01
30.17,-0.05,0.00,-0.01
30.17,-0.05,0.00,-0.01
30.17,-0.05,0.00,-0.02
30.18,-0.05,0.00,-0.02
30.18,-0.05,0.00,-0.02
30.18,-0.04,0.00,-0.02
30.18,-0.04,0.00,-0.02
30.19,-0.04,0.00,-0.02
30.19,-0.04,0.01,-0.02
30.19,-0.04,0.01,-0.02
30.19,-0.04,0.01,-0.02
30.19,-0.04,0.01,-0.02
30.20,-0.04,0.01,-0.02
30.20,-0.04,0.01,-0.02
30.20,-0.03,0.01,-0.02
30.20,-0.03,0.01,-0.02
30.21,-0.03,0.01,-0.02
30.21,-0.03,0.01,-0.02
30.21,-0.03,0.02,-0.02
30.21,-0.03,0.02,-0.02
30.22,-0.03,0.02,-0.02
30.22,-0.03,0.02,-0.02
30.22,-0.03,0.02,-0.02
30.22,-0.02,0.03,-0.02
30.22,-0.02,0.02,-0.02
30.23,-0.02,0.03,-0.02
30.23,-0.02,0.03,-0.03
30.23,-0.02,0.03,-0.03
30.23,-0.02,0.03,-0.02
30.24,-0.02,0.04,-0.02
30.24,-0.02,0.04,-0.02
30.24,-0.02,0.04,-0.02
30.24,-0.02,0.04,-0.02
30.25,-0.02,0.04,-0.02
30.25,-0.02,0.04,-0.02
30.25,-0.02,0.05,-0.02
30.25,-0.02,0.05,-0.02
30.25,-0.02,0.05,-0.02
30.26,-0.02,0.05,-0.02
30.26,-0.03,0.05,-0.02
30.26,-0.03,0.05,-0.02
30.26,-0.02,0.05,-0.02
30.27,-0.03,0.05,-0.02
30.27,-0.02,0.05,-0.02
30.27,-0.03,0.05,-0.01
30.27,-0.03,0.05,-0.02
30.28,-0.03,0.05,-0.02
30.28,-0.03,0.05,-0.01
30.28,-0.03,0.05,-0.01
30.28,-0.03,0.05,-0.01
30.28,-0.03,0.05,-0.01
30.29,-0.03,0.04,-0.01
30.29,-0.03,0.04,-0.01
30.29,-0.03,0.04,-0.01
30.29,-0.03,0.04,-0.01
30.30,-0.03,0.03,-0.01
30.30,-0.03,0.03,-0.01
30.30,-0.03,0.03,-0.01
30.30,-0.03,0.03,-0.01
30.30,-0.03,0.03,-0.01
30.31,-0.03,0.02,-0.01
30.31,-0.03,0.02,-0.01
30.31,-0.03,0.02,-0.01
30.31,-0.03,0.02,-0.01
30.32,-0.03,0.02,-0.01
30.32,-0.03,0.03,-0.01
30.32,-0.03,0.03,-0.01
30.32,-0.03,0.03,-0.01
30.33,-0.03,0.03,-0.01
30.33,-0.03,0.03,-0.01
30.33,-0.03,0.03,-0.01
30.33,-0.03,0.03,-0.01
30.33,-0.03,0.03,-0.01
30.34,-0.03,0.04,-0.01
30.34,-0.03,0.04,-0.01
30.34,-0.03,0.04,-0.01
30.34,-0.03,0.04,-0.01
30.35,-0.03,0.04,-0.01
30.35,-0.03,0.04,-0.01
30.35,-0.03,0.04,-0.01
30.35,-0.03,0.05,-0.01
30.36,-0.03,0.05,-0.01
30.36,-0.03,0.05,-0.01
30.36,-0.03,0.05,-0.01
30.36,-0.03,0.05,-0.01
30.36,-0.03,0.06,-0.01
30.37,-0.03,0.05,-0.01
30.37,-0.03,0.05,-0.01
30.37,-0.03,0.05,-0.01
30.37,-0.03,0.05,-0.01
30.38,-0.03,0.05,-0.01
30.38,-0.03,0.06,-0.01
30.38,-0.03,0.05,-0.01
30.38,-0.02,0.05,-0.01
30.39,-0.02,0.05,-0.01
30.39,-0.02,0.05,-0.01
30.39,-0.03,0.05,-0.01
30.39,-0.03,0.05,-0.01
30.39,-0.02,0.05,-0.01
30.40,-0.03,0.04,-0.01
30.40,-0.03,0.04,-0.01
30.40,-0.03,0.04,-0.01
