Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
25.48,0.55,11.92,-1.75
25.48,0.46,11.84,-1.50
25.49,0.36,11.77,-1.19
25.49,0.25,11.69,-1.01
25.49,0.22,11.61,-0.85
25.49,0.14,11.54,-0.73
25.49,0.08,11.47,-0.67
25.50,-0.01,11.41,-0.64
25.50,-0.12,11.36,-0.74
25.50,-0.29,11.39,-0.82
25.50,-0.41,11.44,-1.14
25.51,-0.34,11.20,-1.28
25.51,0.06,10.44,-1.56
25.51,0.16,10.21,-1.89
25.51,0.14,10.15,-2.18
25.52,0.03,10.28,-2.30
25.52,0.10,10.28,-2.32
25.52,0.18,10.27,-2.35
25.52,0.18,10.29,-2.44
25.52,0.19,10.36,-2.35
25.53,0.18,10.35,-2.03
25.53,0.18,10.37,-1.73
25.53,0.19,10.55,-1.69
25.53,0.37,10.58,-1.78
25.54,0.54,10.68,-2.10
25.54,0.78,10.64,-2.33
25.54,1.02,10.64,-2.49
25.54,1.00,10.93,-2.60
25.55,1.10,11.09,-2.96
25.55,1.38,11.05,-3.33
25.55,1.55,10.91,-3.40
25.55,1.71,10.77,-3.33
25.55,1.92,10.59,-3.28
25.56,1.79,10.56,-3.21
25.56,1.57,10.68,-2.97
25.56,1.33,10.78,-2.74
25.56,1.09,10.98,-2.51
25.57,0.94,11.07,-2.34
25.57,0.97,11.08,-2.11
25.57,1.08,11.00,-1.77
25.57,1.14,10.96,-1.59
25.58,1.09,10.85,-1.70
25.58,1.01,10.68,-1.88
25.58,0.92,10.47,-2.01
25.58,0.80,10.27,-2.10
25.58,0.71,10.05,-2.23
25.59,0.57,9.88,-2.27
25.59,0.54,9.60,-2.29
25.59,0.54,9.26,-2.19
25.59,0.55,8.91,-2.25
25.60,0.57,8.54,-2.25
25.60,0.61,8.15,-2.22
25.60,0.59,7.88,-2.35
25.60,0.55,7.54,-2.69
25.61,0.28,7.31,-3.04
25.61,0.11,7.03,-3.10
25.61,0.00,6.82,-3.06
25.61,-0.07,6.70,-2.97
25.61,-0.20,6.71,-2.91
25.62,-0.23,6.60,-2.99
25.62,-0.28,6.63,-2.89
25.62,-0.26,6.59,-2.82
25.62,-0.30,6.69,-2.70
25.63,-0.25,6.73,-2.64
25.63,-0.24,6.85,-2.59
25.63,-0.22,6.99,-2.60
25.63,-0.16,7.10,-2.67
25.64,0.00,7.24,-2.64
25.64,0.02,7.35,-2.62
25.64,0.13,7.48,-2.54
25.64,0.18,7.59,-2.36
25.64,0.27,7.70,-2.12
25.65,0.23,7.82,-2.00
25.65,0.25,7.96,-1.85
25.65,0.36,8.02,-1.66
25.65,0.43,8.10,-1.44
25.66,0.57,8.05,-1.34
25.66,0.42,8.19,-1.41
25.66,0.48,8.30,-1.45
25.66,0.59,8.28,-1.44
25.67,0.70,8.26,-1.41
25.67,0.77,8.26,-1.36
25.67,0.73,8.22,-1.44
25.67,0.89,8.16,-1.46
25.67,0.97,8.14,-1.51
25.68,1.04,8.07,-1.63
25.68,1.37,7.87,-1.50
25.68,1.54,7.74,-1.54
25.68,1.59,7.63,-1.63
25.69,1.57,7.53,-1.97
25.69,1.43,7.49,-2.27
25.69,1.28,7.43,-2.58
25.69,1.25,7.27,-2.81
25.69,1.33,7.11,-2.86
25.70,1.43,6.87,-3.09
25.70,1.42,6.69,-3.41
25.70,1.46,6.48,-3.67
25.70,1.33,6.43,-3.88
25.71,1.32,6.29,-4.02
25.71,1.31,6.33,-4.07
25.71,1.52,6.23,-4.00
25.71,1.81,6.15,-3.84
25.72,1.98,6.14,-3.79
25.72,1.90,6.15,-3.86
25.72,1.72,6.28,-3.94
25.72,1.92,6.20,-3.91
25.72,1.92,6.20,-3.81
25.73,2.02,6.17,-3.75
25.73,1.92,6.24,-3.80
25.73,1.80,6.28,-3.87
25.73,1.64,6.31,-4.08
25.74,1.50,6.43,-4.05
25.74,1.48,6.43,-3.88
25.74,1.43,6.48,-3.83
25.74,1.43,6.50,-3.81
25.75,1.39,6.48,-3.75
25.75,1.54,6.36,-3.61
25.75,1.86,6.23,-3.72
25.75,1.82,6.22,-3.30
25.75,1.73,6.35,-3.11
25.76,1.63,6.50,-3.15
25.76,1.59,6.58,-3.17
25.76,1.56,6.69,-3.22
25.76,1.77,6.72,-3.06
