Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
13.82,0.04,0.03,-0.02
13.82,0.04,0.03,-0.02
13.83,0.04,0.03,-0.02
13.83,0.04,0.02,-0.01
13.83,0.04,0.02,-0.01
13.83,0.05,0.02,-0.01
13.84,0.05,0.02,-0.01
13.84,0.05,0.02,-0.01
13.84,0.05,0.03,-0.01
13.84,0.05,0.03,-0.01
13.84,0.05,0.04,-0.01
13.85,0.05,0.05,-0.01
13.85,0.05,0.06,-0.01
13.85,0.05,0.06,-0.01
13.85,0.05,0.07,-0.01
13.86,0.05,0.08,-0.01
13.86,0.04,0.09,-0.01
13.86,0.04,0.09,-0.01
13.86,0.04,0.10,-0.01
13.87,0.04,0.10,-0.01
13.87,0.03,0.10,-0.01
13.87,0.03,0.10,-0.02
13.87,0.03,0.10,-0.02
13.87,0.03,0.11,-0.02
13.88,0.02,0.10,-0.03
13.88,0.02,0.10,-0.03
13.88,0.02,0.10,-0.03
13.88,0.02,0.10,-0.04
13.89,0.02,0.09,-0.04
13.89,0.02,0.09,-0.04
13.89,0.02,0.08,-0.05
13.89,0.02,0.07,-0.05
13.90,0.02,0.07,-0.05
13.90,0.02,0.07,-0.06
13.90,0.02,0.07,-0.06
13.90,0.01,0.06,-0.06
13.90,0.01,0.06,-0.06
13.91,0.00,0.06,-0.06
13.91,0.00,0.06,-0.07
13.91,-0.01,0.06,-0.07
13.91,-0.01,0.06,-0.07
13.92,-0.02,0.06,-0.07
13.92,-0.03,0.06,-0.07
13.92,-0.03,0.06,-0.07
13.92,-0.04,0.07,-0.07
13.93,-0.04,0.07,-0.07
13.93,-0.04,0.08,-0.07
13.93,-0.04,0.08,-0.07
13.93,-0.04,0.08,-0.07
13.93,-0.04,0.08,-0.06
13.94,-0.04,0.08,-0.06
13.94,-0.04,0.07,-0.06
13.94,-0.04,0.07,-0.06
13.94,-0.04,0.07,-0.06
13.95,-0.03,0.07,-0.06
13.95,-0.03,0.07,-0.05
13.95,-0.03,0.07,-0.05
13.95,-0.03,0.08,-0.05
13.96,-0.02,0.08,-0.05
13.96,-0.02,0.09,-0.05
13.96,-0.01,0.08,-0.05
13.96,-0.01,0.09,-0.05
13.96,-0.01,0.10,-0.05
13.97,0.00,0.10,-0.05
13.97,0.00,0.11,-0.05
13.97,0.00,0.11,-0.05
13.97,0.01,0.11,-0.05
13.98,0.02,0.12,-0.05
13.98,0.03,0.12,-0.04
13.98,0.03,0.12,-0.04
13.98,0.04,0.12,-0.03
