Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
18.41,-1.13,9.63,-0.07
18.42,-1.11,9.63,-0.05
18.42,-1.12,9.64,-0.02
18.42,-1.10,9.62,-0.01
18.42,-1.10,9.63,0.01
18.43,-1.09,9.63,0.05
18.43,-1.10,9.66,0.04
18.43,-1.10,9.66,0.02
18.43,-1.11,9.66,-0.01
18.43,-1.12,9.70,-0.03
18.44,-1.15,9.71,-0.09
18.44,-1.18,9.73,-0.09
18.44,-1.18,9.76,-0.10
18.44,-1.19,9.78,-0.10
18.45,-1.20,9.81,-0.09
18.45,-1.18,9.82,-0.05
18.45,-1.21,9.79,-0.04
18.45,-1.21,9.83,-0.03
18.46,-1.21,9.83,-0.04
18.46,-1.17,9.83,-0.04
18.46,-1.16,9.84,-0.06
18.46,-1.14,9.85,-0.07
18.46,-1.15,9.83,-0.10
18.47,-1.13,9.82,-0.11
18.47,-1.12,9.83,-0.11
18.47,-1.12,9.83,-0.13
18.47,-1.12,9.83,-0.11
18.48,-1.12,9.82,-0.10
18.48,-1.11,9.81,-0.11
18.48,-1.11,9.81,-0.10
18.48,-1.11,9.79,-0.07
18.49,-1.12,9.80,-0.07
18.49,-1.12,9.77,-0.06
18.49,-1.11,9.76,-0.07
18.49,-1.14,9.75,-0.07
18.49,-1.13,9.74,-0.05
18.50,-1.16,9.74,-0.06
18.50,-1.17,9.75,-0.06
18.50,-1.19,9.74,-0.06
18.50,-1.19,9.74,-0.05
18.51,-1.19,9.74,-0.06
18.51,-1.22,9.75,-0.05
18.51,-1.21,9.77,-0.05
18.51,-1.20,9.77,-0.04
18.52,-1.19,9.78,-0.06
18.52,-1.18,9.77,-0.07
18.52,-1.17,9.78,-0.08
18.52,-1.16,9.79,-0.08
18.52,-1.15,9.79,-0.06
18.53,-1.16,9.81,-0.07
18.53,-1.15,9.79,-0.07
18.53,-1.14,9.79,-0.06
18.53,-1.15,9.79,-0.08
18.54,-1.11,9.78,-0.08
18.54,-1.08,9.78,-0.10
18.54,-1.06,9.77,-0.12
18.54,-1.05,9.76,-0.13
18.55,-1.04,9.76,-0.14
18.55,-1.03,9.78,-0.17
18.55,-1.01,9.80,-0.16
18.55,-1.03,9.79,-0.17
18.55,-1.01,9.81,-0.18
18.56,-1.00,9.81,-0.17
18.56,-1.00,9.80,-0.18
18.56,-0.98,9.81,-0.17
18.56,-1.00,9.80,-0.18
18.57,-1.01,9.78,-0.19
18.57,-1.01,9.81,-0.18
18.57,-0.99,9.81,-0.17
18.57,-0.98,9.80,-0.16
18.57,-0.96,9.81,-0.14
18.58,-1.00,9.80,-0.10
18.58,-0.99,9.77,-0.07
18.58,-0.95,9.78,-0.03
18.58,-0.95,9.76,0.00
18.59,-0.97,9.76,0.03
18.59,-0.95,9.76,0.04
18.59,-0.95,9.75,0.04
18.59,-0.96,9.74,0.02
18.60,-0.95,9.74,-0.03
18.60,-0.98,9.74,-0.04
18.60,-0.98,9.74,-0.08
18.60,-1.01,9.74,-0.11
18.60,-1.02,9.76,-0.13
18.61,-1.04,9.75,-0.09
18.61,-1.04,9.75,-0.09
18.61,-1.04,9.74,-0.06
18.61,-1.02,9.73,-0.04
18.62,-1.03,9.72,-0.03
18.62,-1.00,9.73,-0.01
