Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
18.43,0.01,-0.07,0.00
18.43,0.00,-0.07,0.00
18.43,0.00,-0.07,0.00
18.44,0.00,-0.07,0.00
18.44,0.00,-0.07,0.00
18.44,0.00,-0.07,0.00
18.44,0.00,-0.07,0.00
18.45,-0.01,-0.07,0.00
18.45,-0.01,-0.08,0.00
18.45,-0.01,-0.08,0.00
18.45,-0.01,-0.08,0.00
18.45,-0.01,-0.09,0.00
18.46,-0.01,-0.09,0.00
18.46,-0.01,-0.09,-0.01
18.46,0.00,-0.09,-0.01
18.46,-0.01,-0.09,-0.01
18.47,-0.01,-0.09,-0.01
18.47,0.00,-0.08,-0.01
18.47,0.00,-0.08,-0.01
18.47,0.00,-0.07,-0.02
18.48,0.00,-0.07,-0.02
18.48,0.00,-0.07,-0.02
18.48,0.00,-0.07,-0.02
18.48,0.00,-0.06,-0.02
18.48,0.00,-0.05,-0.02
18.49,-0.01,-0.05,-0.02
18.49,0.00,-0.05,-0.02
18.49,0.00,-0.04,-0.02
18.49,-0.01,-0.04,-0.02
18.50,0.00,-0.04,-0.02
18.50,-0.01,-0.04,-0.01
18.50,-0.01,-0.04,-0.01
18.50,-0.01,-0.04,-0.01
18.51,-0.01,-0.04,-0.01
18.51,-0.01,-0.04,-0.01
18.51,-0.01,-0.04,-0.01
18.51,0.00,-0.04,-0.01
18.51,0.00,-0.04,-0.01
18.52,0.00,-0.04,-0.01
18.52,0.00,-0.04,-0.01
18.52,0.00,-0.04,-0.01
18.52,0.00,-0.05,-0.01
18.53,0.00,-0.05,-0.01
18.53,0.00,-0.05,-0.01
18.53,0.00,-0.05,-0.01
18.53,0.01,-0.05,-0.01
18.54,0.01,-0.06,-0.01
18.54,0.01,-0.05,-0.01
18.54,0.01,-0.05,-0.01
18.54,0.01,-0.05,-0.01
18.54,0.01,-0.05,-0.01
18.55,0.01,-0.05,-0.01
18.55,0.01,-0.05,-0.01
18.55,0.01,-0.04,-0.01
18.55,0.01,-0.04,-0.01
18.56,0.01,-0.03,0.00
18.56,0.01,-0.03,0.00
18.56,0.01,-0.03,0.00
18.56,0.01,-0.03,0.01
18.57,0.01,-0.02,0.01
18.57,0.01,-0.02,0.01
18.57,0.01,-0.02,0.02
18.57,0.01,-0.02,0.02
18.57,0.01,-0.02,0.02
18.58,0.01,-0.02,0.02
18.58,0.01,-0.02,0.02
18.58,0.01,-0.01,0.03
18.58,0.01,-0.02,0.03
18.59,0.01,-0.01,0.03
18.59,0.01,-0.01,0.03
18.59,0.01,-0.01,0.03
18.59,0.01,-0.01,0.03
18.60,0.01,-0.01,0.03
18.60,0.01,-0.02,0.03
18.60,0.01,-0.02,0.03
18.60,0.01,-0.02,0.03
18.60,0.01,-0.03,0.03
18.61,0.00,-0.03,0.03
18.61,0.00,-0.03,0.03
18.61,0.00,-0.04,0.03
18.61,0.00,-0.04,0.03
18.62,0.00,-0.04,0.03
18.62,0.00,-0.05,0.02
18.62,0.00,-0.05,0.02
18.62,0.00,-0.05,0.02
18.62,0.00,-0.06,0.02
18.63,0.00,-0.06,0.01
18.63,0.00,-0.06,0.01
18.63,0.00,-0.07,0.01
18.63,0.00,-0.07,0.00
18.64,0.00,-0.08,0.00
18.64,0.00,-0.08,0.00
18.64,0.00,-0.08,0.00
18.64,-0.01,-0.08,0.00
18.65,-0.01,-0.08,-0.01
18.65,-0.01,-0.08,-0.01
18.65,-0.01,-0.08,-0.01
18.65,-0.01,-0.09,-0.01
18.65,-0.01,-0.08,-0.01
18.66,-0.01,-0.08,-0.02
18.66,-0.02,-0.08,-0.01
18.66,-0.02,-0.08,-0.01
18.66,-0.02,-0.08,-0.02
18.67,-0.02,-0.08,-0.01
18.67,-0.02,-0.08,-0.02
18.67,-0.03,-0.08,-0.02
18.67,-0.03,-0.08,-0.01
18.68,-0.03,-0.08,-0.01
18.68,-0.03,-0.07,-0.01
18.68,-0.03,-0.07,-0.01
18.68,-0.03,-0.07,-0.01
18.68,-0.03,-0.07,-0.01
18.69,-0.03,-0.07,-0.01
18.69,-0.03,-0.07,-0.01
18.69,-0.03,-0.07,-0.01
18.69,-0.03,-0.07,-0.01
18.70,-0.03,-0.07,-0.01
18.70,-0.04,-0.07,-0.01
18.70,-0.04,-0.07,-0.01
18.70,-0.04,-0.06,-0.01
18.71,-0.04,-0.06,-0.01
18.71,-0.04,-0.06,-0.01
18.71,-0.04,-0.07,-0.01
18.71,-0.04,-0.06,-0.01
18.71,-0.04,-0.06,-0.01
18.72,-0.04,-0.06,-0.01
18.72,-0.04,-0.06,-0.01
18.72,-0.04,-0.07,-0.01
18.72,-0.05,-0.06,-0.01
18.73,-0.05,-0.06,-0.01
18.73,-0.05,-0.06,-0.02
18.73,-0.05,-0.06,-0.01
18.73,-0.05,-0.06,-0.01
18.74,-0.05,-0.06,-0.02
18.74,-0.04,-0.06,-0.01
18.74,-0.04,-0.06,-0.02
18.74,-0.04,-0.06,-0.02
18.74,-0.04,-0.06,-0.02
18.75,-0.03,-0.06,-0.02
18.75,-0.03,-0.06,-0.01
18.75,-0.03,-0.05,-0.01
18.75,-0.03,-0.06,-0.02
18.76,-0.03,-0.05,-0.01
18.76,-0.03,-0.05,-0.01
18.76,-0.03,-0.05,-0.01
18.76,-0.03,-0.05,-0.01
18.77,-0.03,-0.05,-0.01
18.77,-0.03,-0.05,-0.01
18.77,-0.03,-0.05,-0.01
18.77,-0.03,-0.05,0.00
18.77,-0.03,-0.04,0.00
18.78,-0.03,-0.03,0.00
18.78,-0.03,-0.03,0.00
18.78,-0.04,-0.03,0.00
18.78,-0.04,-0.02,0.00
18.79,-0.04,-0.02,0.01
18.79,-0.04,-0.01,0.01
18.79,-0.04,-0.01,0.01
18.79,-0.04,0.00,0.01
18.80,-0.04,0.00,0.01
18.80,-0.05,0.01,0.01
18.80,-0.05,0.01,0.01
18.80,-0.05,0.02,0.02
18.80,-0.05,0.02,0.02
18.81,-0.05,0.02,0.02
18.81,-0.05,0.02,0.02
18.81,-0.05,0.01,0.02
18.81,-0.05,0.01,0.02
18.82,-0.05,0.01,0.02
18.82,-0.05,0.00,0.02
18.82,-0.05,0.00,0.02
18.82,-0.05,-0.01,0.02
18.82,-0.05,-0.01,0.02
18.83,-0.05,-0.02,0.02
18.83,-0.05,-0.03,0.01
18.83,-0.05,-0.03,0.01
18.83,-0.05,-0.03,0.01
18.84,-0.05,-0.04,0.01
18.84,-0.05,-0.04,0.01
18.84,-0.05,-0.05,0.01
18.84,-0.05,-0.05,0.01
18.85,-0.05,-0.05,0.01
18.85,-0.05,-0.05,0.01
18.85,-0.04,-0.05,0.01
18.85,-0.05,-0.05,0.01
18.85,-0.05,-0.04,0.01
18.86,-0.05,-0.04,0.01
18.86,-0.05,-0.04,0.01
18.86,-0.05,-0.03,0.01
18.86,-0.05,-0.03,0.01
18.87,-0.05,-0.03,0.01
18.87,-0.05,-0.03,0.01
18.87,-0.06,-0.02,0.01
18.87,-0.06,-0.02,0.01
18.88,-0.06,-0.02,0.01
18.88,-0.07,-0.02,0.01
18.88,-0.07,-0.02,0.01
18.88,-0.07,-0.02,0.01
18.88,-0.07,-0.02,0.01
18.89,-0.07,-0.02,0.01
18.89,-0.07,-0.02,0.00
18.89,-0.07,-0.02,0.00
18.89,-0.07,-0.02,0.00
18.90,-0.06,-0.02,0.00
18.90,-0.06,-0.02,0.00
18.90,-0.06,-0.02,0.00
18.90,-0.06,-0.02,0.00
18.91,-0.06,-0.02,-0.01
18.91,-0.06,-0.02,-0.01
18.91,-0.06,-0.02,-0.01
18.91,-0.06,-0.02,-0.01
18.91,-0.06,-0.02,-0.01
18.92,-0.06,-0.02,-0.01
18.92,-0.06,-0.02,-0.01
18.92,-0.06,-0.02,-0.01
18.92,-0.06,-0.02,0.00
18.93,-0.06,-0.02,0.00
18.93,-0.06,-0.02,0.00
18.93,-0.06,-0.02,0.00
18.93,-0.06,-0.02,0.00
18.94,-0.06,-0.02,0.00
18.94,-0.06,-0.02,0.00
18.94,-0.06,-0.02,0.00
18.94,-0.06,-0.02,0.00
18.94,-0.06,-0.02,0.00
18.95,-0.06,-0.02,0.00
18.95,-0.06,-0.02,0.00
18.95,-0.06,-0.02,0.00
18.95,-0.06,-0.01,0.00
18.96,-0.06,-0.01,0.00
18.96,-0.06,-0.01,0.00
18.96,-0.07,-0.01,0.00
18.96,-0.07,-0.01,0.00
18.97,-0.07,-0.01,0.00
18.97,-0.08,-0.01,0.00
18.97,-0.08,-0.01,0.00
18.97,-0.08,-0.01,0.00
18.97,-0.08,-0.01,0.00
18.98,-0.08,-0.01,0.01
18.98,-0.08,-0.01,0.01
18.98,-0.08,-0.01,0.01
18.98,-0.08,-0.01,0.01
18.99,-0.08,-0.02,0.01
18.99,-0.08,-0.01,0.01
18.99,-0.09,-0.01,0.01
18.99,-0.09,-0.02,0.01
19.00,-0.09,-0.02,0.01
19.00,-0.09,-0.02,0.01
19.00,-0.09,-0.02,0.00
19.00,-0.09,-0.02,0.01
19.00,-0.09,-0.03,0.01
19.01,-0.09,-0.03,0.01
19.01,-0.09,-0.03,0.01
19.01,-0.09,-0.03,0.01
19.01,-0.09,-0.03,0.01
19.02,-0.09,-0.03,0.01
19.02,-0.09,-0.04,0.01
19.02,-0.09,-0.04,0.01
19.02,-0.09,-0.04,0.01
19.03,-0.09,-0.05,0.02
19.03,-0.09,-0.05,0.01
19.03,-0.09,-0.06,0.01
19.03,-0.09,-0.06,0.02
19.03,-0.09,-0.06,0.01
19.04,-0.09,-0.07,0.01
19.04,-0.09,-0.07,0.01
19.04,-0.09,-0.06,0.01
19.04,-0.09,-0.06,0.01
19.05,-0.09,-0.07,0.01
19.05,-0.09,-0.06,0.01
19.05,-0.09,-0.06,0.00
19.05,-0.09,-0.06,0.00
19.06,-0.08,-0.06,0.00
19.06,-0.08,-0.06,0.00
19.06,-0.08,-0.06,0.00
19.06,-0.08,-0.06,0.00
19.07,-0.07,-0.06,0.00
19.07,-0.07,-0.06,0.00
19.07,-0.07,-0.06,0.00
19.07,-0.07,-0.06,0.00
19.07,-0.07,-0.06,0.00
19.08,-0.07,-0.06,0.00
19.08,-0.07,-0.05,0.00
19.08,-0.07,-0.05,0.00
19.08,-0.07,-0.05,0.01
19.09,-0.07,-0.04,0.01
19.09,-0.07,-0.04,0.01
19.09,-0.08,-0.03,0.01
19.09,-0.08,-0.03,0.01
19.10,-0.09,-0.03,0.01
19.10,-0.09,-0.03,0.01
