"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.371041666E-2,-1.164777160E0,3.343358934E-1,-2.914614081E-1
3.375041665E-2,-1.343828440E0,6.653180122E-1,-4.256353974E-1
4.376041665E-2,-1.288165689E0,9.286593795E-1,-3.909450769E-1
5.377041665E-2,-1.035908699E0,1.228405476E0,-2.363013774E-1
6.378041665E-2,-7.057487369E-1,1.491345167E0,-4.686327279E-2
7.382041667E-2,-4.543940723E-1,1.528430343E0,2.290468067E-1
8.383041667E-2,-3.849180639E-1,1.492931485E0,6.557395458E-1
9.383941666E-2,-4.529691935E-1,1.596917510E0,1.174116492E0
1.038494167E-1,-6.406975389E-1,1.725742698E0,1.597098589E0
1.138894167E-1,-9.024615288E-1,1.850680947E0,1.725334764E0
1.238994166E-1,-1.209843636E0,2.139893055E0,1.609225273E0
1.339094166E-1,-1.518756390E0,2.570679665E0,1.197355390E0
1.439194166E-1,-1.692054152E0,2.777429819E0,7.930054665E-1
1.539594167E-1,-1.559265852E0,2.333726406E0,5.769420266E-1
1.639694167E-1,-1.320113182E0,1.892519951E0,5.341929793E-1
1.739794167E-1,-8.985628486E-1,1.331237793E0,6.195108891E-1
1.839884167E-1,-5.128463507E-1,6.210031509E-1,7.396095991E-1
1.940294167E-1,-3.243216574E-1,2.407646030E-1,7.618441582E-1
2.040384166E-1,-3.757640719E-1,8.139145374E-2,7.128736973E-1
2.140484167E-1,-6.478754282E-1,-1.048820764E-1,6.237072349E-1
2.240584167E-1,-1.328397751E0,-7.230369449E-1,5.756688714E-1
2.340984167E-1,-1.522098780E0,-4.085803330E-1,3.714075387E-1
2.441084167E-1,-1.453541040E0,4.075717628E-1,8.100367337E-2
2.541184167E-1,-1.209430099E0,1.227314711E0,-1.268040836E-1
2.641584167E-1,-9.005196691E-1,1.767952919E0,-1.650558561E-1
2.741684167E-1,-4.652464688E-1,1.715777874E0,8.753510192E-3
2.841774167E-1,1.610624492E-1,1.225796223E0,2.125210166E-1
2.941874167E-1,7.027313709E-1,7.551028728E-1,2.869314849E-1
3.042284167E-1,9.842069745E-1,4.479632080E-1,2.350520343E-1
3.142374167E-1,9.766143560E-1,3.526512086E-1,1.590063125E-1
3.242474167E-1,7.125867009E-1,4.777377546E-1,1.308138222E-1
3.342574167E-1,3.508535624E-1,6.221158504E-1,1.664087325E-1
3.442974167E-1,6.197142601E-2,6.658673286E-1,1.307822913E-1
3.543074167E-1,-1.274379529E-2,6.608325243E-1,-5.858324841E-2
3.643174167E-1,1.855847389E-1,6.808089018E-1,-3.039631844E-1
3.743264167E-1,6.317242980E-1,6.306906343E-1,-4.536042809E-1
3.843674167E-1,1.145194054E0,4.754349291E-1,-4.934701920E-1
3.943764167E-1,1.519347668E0,3.100351691E-1,-5.660574436E-1
4.043864167E-1,1.567268610E0,3.451302946E-1,-6.639750004E-1
4.143964167E-1,1.185645461E0,6.549848318E-1,-7.218390107E-1
4.244364167E-1,4.845294654E-1,1.343549967E0,-7.330682278E-1
4.344464166E-1,-1.730654985E-1,2.125567198E0,-7.060198188E-1
4.444564166E-1,-5.110624433E-1,2.777757168E0,-6.365411282E-1
4.544664166E-1,-5.350942016E-1,3.194846392E0,-4.443461895E-1
4.645064167E-1,-3.277108669E-1,3.401438713E0,-2.146919519E-1
4.745164167E-1,3.790891171E-2,3.590953112E0,-1.074846163E-1
4.845254167E-1,3.909140825E-1,3.558351278E0,-1.400590837E-1
4.945354167E-1,5.963774920E-1,3.122499704E0,-3.339697421E-1
5.045754166E-1,6.025032997E-1,2.550475836E0,-7.143852711E-1
5.145854166E-1,4.251799285E-1,2.121235132E0,-1.186327577E0
5.245954166E-1,1.493664831E-1,2.215647459E0,-1.610466838E0
5.346354167E-1,-1.119668484E-1,2.692821741E0,-1.910961151E0
5.446454167E-1,-2.021723688E-1,3.636128426E0,-2.105957031E0
5.546554167E-1,-1.247813031E-1,5.019990921E0,-2.373264313E0
5.646654167E-1,1.352678537E-1,5.774984360E0,-2.484789848E0
5.747054167E-1,6.351366043E-1,5.628326416E0,-2.541974306E0
5.847154167E-1,1.398962855E0,4.683484554E0,-2.680402279E0
5.947244166E-1,2.003203630E0,3.798440695E0,-2.889644384E0
6.047253333E-1,2.473614693E0,3.084893465E0,-3.263531208E0
6.147653333E-1,2.613705158E0,2.612619400E0,-3.593860149E0
6.247753333E-1,2.383876324E0,2.435984850E0,-3.689470768E0
6.347853333E-1,1.861310959E0,2.680073261E0,-3.586529255E0
6.447953333E-1,1.387153506E0,3.275991678E0,-3.469783545E0
6.548353333E-1,1.144398570E0,3.750921488E0,-3.516551256E0
6.648453333E-1,9.731420875E-1,3.750541687E0,-3.808403492E0
6.748553333E-1,7.428305745E-1,3.472398758E0,-4.213068008E0
6.848643333E-1,4.517869949E-1,3.132466793E0,-4.421634674E0
6.949053333E-1,3.070098758E-1,2.590482950E0,-4.361617088E0
7.049143333E-1,4.629246593E-1,2.012128115E0,-4.278642654E0
7.149243333E-1,8.983294964E-1,1.871228456E0,-4.286664963E0
7.249343333E-1,1.506052136E0,2.043131590E0,-4.277925014E0
7.349743333E-1,2.071288109E0,2.225699425E0,-4.146696091E0
7.449843333E-1,2.408942938E0,2.329924583E0,-3.988429308E0
7.549943333E-1,2.356654882E0,2.210824251E0,-3.846192837E0
7.650033333E-1,1.867421985E0,1.886940598E0,-3.725502729E0
7.750443333E-1,1.264775634E0,1.546171784E0,-3.637991905E0
7.850533333E-1,9.232490063E-1,1.221494675E0,-3.503489971E0
7.950633333E-1,9.334981441E-1,1.101967812E0,-3.378410339E0
8.051043333E-1,1.229446411E0,1.292297721E0,-3.223900557E0
8.151133333E-1,1.673841357E0,1.416151166E0,-2.974549294E0
8.251233333E-1,2.151539326E0,1.464918137E0,-2.682096958E0
8.351333333E-1,2.532342672E0,1.312294364E0,-2.453018427E0
8.451733333E-1,2.738807201E0,1.087603211E0,-2.256942511E0
8.551833333E-1,2.813401222E0,7.670365572E-1,-1.975592852E0
8.651933333E-1,2.803320646E0,5.354225039E-1,-1.562693477E0
8.752023333E-1,2.832773924E0,2.574860156E-1,-1.067292094E0
8.852433333E-1,2.823017120E0,-3.635118157E-2,-6.755821705E-1
8.952523333E-1,2.646071434E0,-3.416887522E-1,-3.196355104E-1
9.052623333E-1,1.950905800E0,-1.042466521E0,-2.331702225E-2
9.152723333E-1,-8.157681823E-1,-3.078379154E0,3.154344857E-1
9.253123333E-1,-3.078484058E0,-3.327656507E0,4.257197380E-1
9.353223333E-1,-4.144392014E0,-3.111817122E0,4.348562062E-1
9.453323333E-1,-4.474995613E0,-2.706942558E0,6.059728265E-1
9.553423333E-1,-4.283731937E0,-2.281141520E0,4.150865674E-1
9.653823333E-1,-3.832894087E0,-1.747612715E0,-3.816158324E-2
9.753923333E-1,-3.272896290E0,-9.278543591E-1,-5.767197609E-1
9.854013333E-1,-2.602718592E0,1.373440325E-1,-8.983675838E-1
9.954113333E-1,-1.749522924E0,8.833360672E-1,-9.176587462E-1
1.005451333E0,-7.744216919E-1,1.488550663E0,-9.271510243E-1
1.015461333E0,1.889300048E-1,1.828332186E0,-9.033377171E-1
1.025471333E0,9.888015985E-1,1.493882775E0,-8.593638539E-1
1.035481333E0,1.631907940E0,6.265308261E-1,-6.929169297E-1
1.045521333E0,2.052412271E0,-4.199479818E-1,-5.017504096E-1
1.055531333E0,2.071787834E0,-1.038627863E0,-3.792474270E-1
1.065541333E0,1.461854100E0,-2.947606444E-1,-3.577216268E-1
1.075581333E0,4.243544340E-1,-9.246343374E-2,-1.892675608E-1
1.085591333E0,-5.178394318E-1,-5.775078535E-1,2.267163247E-1
1.095600333E0,-1.071561456E0,-9.882302284E-1,5.621903539E-1
1.105610333E0,-1.150816321E0,-1.120062828E0,3.901290894E-1
1.115650333E0,-9.654875994E-1,-9.296724200E-1,-2.165896446E-1
1.125660333E0,-5.763441324E-1,-3.397952914E-1,-7.561767101E-1
1.135670333E0,-1.965178177E-2,9.017890692E-2,-8.808432221E-1
1.145680333E0,4.331846535E-1,1.135950163E-1,-7.243454456E-1
1.155720333E0,4.272395968E-1,-2.080161124E-2,-4.782519639E-1
1.165730333E0,-3.006189130E-2,-4.249344468E-1,-6.909241527E-2
1.175740333E0,-4.865900278E-1,-8.096464276E-1,1.850199401E-1
1.185749333E0,-6.622638106E-1,-1.028155565E0,1.256357133E-1
1.195790333E0,-5.567507148E-1,-8.151397705E-1,-4.492802918E-2
