"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.618458344E-3,2.742746429E0,5.855523376E0,5.132826233E0
1.362845834E-2,2.728675690E0,5.798491974E0,4.838089142E0
2.363845834E-2,2.741698608E0,5.983058167E0,5.062023468E0
3.367845833E-2,2.681523743E0,6.367608490E0,5.579347687E0
4.368845836E-2,2.825224915E0,6.506070557E0,6.343059540E0
5.369845836E-2,2.868035889E0,6.553222504E0,7.350614319E0
6.370845836E-2,2.690505066E0,6.447841644E0,8.195457458E0
7.374845835E-2,2.405198364E0,6.226452026E0,8.495882721E0
8.375845835E-2,2.076032867E0,6.081553345E0,8.391100616E0
9.376745834E-2,1.881138153E0,6.040987701E0,8.161478119E0
1.037774583E-1,1.555415497E0,6.174210663E0,7.950117645E0
1.138174584E-1,1.313967590E0,6.402935028E0,7.717052307E0
1.238274584E-1,1.522933044E0,6.476132812E0,7.453450470E0
1.338374584E-1,1.846859436E0,6.346352692E0,7.133565674E0
1.438474584E-1,2.254162445E0,6.162085876E0,6.806944885E0
1.538874583E-1,2.421065369E0,5.999374237E0,6.307882690E0
1.638974583E-1,2.424358521E0,5.984854431E0,6.023174744E0
1.739074583E-1,2.615361328E0,6.010900269E0,6.361171875E0
1.839164583E-1,2.470762024E0,6.206393738E0,6.850204926E0
1.939574583E-1,2.217488708E0,6.547684021E0,7.383994904E0
2.039664584E-1,1.856140137E0,6.747518463E0,8.252189484E0
2.139764584E-1,1.141226807E0,6.533762970E0,9.020691376E0
2.239864584E-1,5.327421570E-1,6.076014862E0,9.432784424E0
2.340264583E-1,4.616400146E-1,5.655988312E0,9.455836487E0
2.440364583E-1,9.086105347E-1,5.419929199E0,8.965605927E0
2.540464583E-1,1.574875031E0,5.563031616E0,8.307274933E0
2.640554583E-1,2.237846375E0,6.049969025E0,8.403375092E0
2.740964583E-1,2.218087463E0,6.467001801E0,9.057814178E0
2.841064583E-1,1.569336548E0,6.330335999E0,9.377249908E0
2.941154584E-1,8.672964478E-1,5.647156677E0,9.390572205E0
3.041254584E-1,7.688012695E-1,4.848567352E0,9.318272552E0
3.141654583E-1,1.100361786E0,4.415068817E0,8.606502686E0
3.241754583E-1,1.200054474E0,4.608915710E0,7.886350250E0
3.341854583E-1,9.446855164E-1,5.100343781E0,7.563771057E0
3.441954583E-1,5.764512634E-1,5.527106323E0,7.687264252E0
3.542354583E-1,3.598516846E-1,5.453609161E0,7.783663788E0
3.642454584E-1,2.811154175E-1,4.964426422E0,7.493716736E0
3.742544584E-1,-7.559280396E-1,3.932622070E0,6.603068848E0
3.842644583E-1,-6.060896301E-1,3.777993622E0,6.453679504E0
3.943044583E-1,-5.583389282E-2,3.663182373E0,5.809718628E0
4.043144583E-1,-1.847158813E-1,3.451073456E0,5.511987762E0
4.143244583E-1,-7.304809570E-1,3.861519928E0,6.102659454E0
4.243344583E-1,-8.523275757E-1,4.427193604E0,6.876550140E0
4.343744584E-1,1.339714050E-1,4.932842102E0,7.817493439E0
4.443844584E-1,8.702902222E-1,5.419779510E0,8.600066071E0
4.543944584E-1,3.659889221E-1,5.535788269E0,9.100325775E0
4.644034583E-1,5.373825073E-2,5.662275238E0,1.205742645E1
4.744179584E-1,-3.129991150E-1,5.269941101E0,9.635313263E0
4.844579583E-1,-1.809586945E0,4.230352936E0,7.849676514E0
4.944679583E-1,-1.566193085E0,3.336112518E0,7.340734863E0
5.044779583E-1,-1.353635101E0,2.776276703E0,6.842570801E0
5.144879583E-1,-1.717378693E0,3.404220886E0,7.154222717E0
5.245279584E-1,-3.567531281E0,4.527035980E0,7.801626434E0
5.345379584E-1,-4.491110687E0,5.116210785E0,8.694519653E0
