"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","ZTE A2017G"
"deviceBrand","ZTE"
"deviceBoard","ailsa_ii"
"deviceManufacturer","ZTE"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","7.1.1"
"accelerometer Name","BMI160 Accelerometer"
"accelerometer Vendor","BOSCH"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023956299"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","2061101"
"linear_acceleration Name","Linear Acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","78.4532"
"linear_acceleration Resolution","0.0023956299"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","1.0799866"
"linear_acceleration Version","2"
"gyroscope Name","BMI160 Gyroscope"
"gyroscope Vendor","BOSCH"
"gyroscope Range","34.906586"
"gyroscope Resolution","0.0010681152"
"gyroscope MinDelay","2500"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","2061101"
"magnetic_field Name","AK09915 Magnetometer"
"magnetic_field Vendor","AKM"
"magnetic_field Range","4911.9995"
"magnetic_field Resolution","0.14953613"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","0.9"
"magnetic_field Version","1"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","RPR0521 RPR0521 ALSPRX DEVICE"
"light Vendor","ROHM"
"light Range","10000.0"
"light Resolution","0.009994507"
"light MinDelay","0"
"light MaxDelay","65535000"
"light Power","0.175"
"light Version","1"
"proximity Name","RPR0521 RPR0521 ALSPRX DEVICE"
"proximity Vendor","ROHM"
"proximity Range","100.0"
"proximity Resolution","0.10070801"
"proximity MinDelay","0"
"proximity MaxDelay","65535000"
"proximity Power","12.675"
"proximity Version","2"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","5.9604645E-8"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.7999878"
"attitude Version","2"
