"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-2.544605494E0,6.830600262E0,4.991862774E0
1.379240000E-3,-2.529723167E0,6.788912296E0,5.102867126E0
3.379240000E-3,-2.534415722E0,6.754281998E0,5.217587948E0
5.519865000E-3,-2.561996937E0,6.719183445E0,5.341454506E0
7.379240000E-3,-2.623499155E0,6.701773167E0,5.458252907E0
9.379240000E-3,-2.700783968E0,6.683030605E0,5.568482399E0
1.137924000E-2,-2.779926777E0,6.669632912E0,5.678672791E0
1.337924000E-2,-2.874258280E0,6.658275127E0,5.772257328E0
1.554330300E-2,-2.972870588E0,6.653754711E0,5.868111610E0
1.753236500E-2,-2.783795834E0,6.053403854E0,5.396703243E0
1.922767800E-2,-2.190924406E0,4.671278954E0,4.210500717E0
2.137924000E-2,-2.429779530E0,5.035274506E0,4.597661972E0
2.337924000E-2,-2.839513779E0,5.554327488E0,5.159677029E0
2.537924000E-2,-3.150328875E0,5.897292614E0,5.547987938E0
2.737924000E-2,-3.390314102E0,6.126819611E0,5.821941853E0
2.937924000E-2,-3.577837706E0,6.262101650E0,6.013947487E0
3.137924000E-2,-3.720771551E0,6.337069035E0,6.151920319E0
3.337924000E-2,-3.826556921E0,6.369696617E0,6.269293785E0
3.538236500E-2,-3.899359703E0,6.376237869E0,6.373910427E0
3.756049000E-2,-3.975456953E0,6.379187584E0,6.459259510E0
3.937924000E-2,-4.036336899E0,6.360570431E0,6.546418190E0
4.137924000E-2,-4.076415539E0,6.340966702E0,6.627150536E0
4.337924000E-2,-4.117250919E0,6.321276665E0,6.698334694E0
4.537924000E-2,-4.159733772E0,6.299786091E0,6.760766029E0
4.737924000E-2,-4.193606853E0,6.285842419E0,6.817776680E0
4.937924000E-2,-4.225909710E0,6.272281647E0,6.861245632E0
5.137924000E-2,-4.253222466E0,6.267359257E0,6.896248817E0
5.337924000E-2,-4.268679619E0,6.257322788E0,6.923820972E0
