"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.354225000E-2,-3.051789850E-2,-1.259239316E-1,1.201378256E-1
2.354425000E-2,-4.226137325E-2,-1.393702328E-1,1.085765138E-1
3.354625002E-2,-5.658631399E-2,-1.894361675E-1,1.247853637E-1
4.354725001E-2,-9.402263165E-2,-3.398187459E-1,1.986281723E-1
5.354925001E-2,-1.099924296E-1,-4.639803469E-1,2.346810549E-1
6.355025002E-2,-1.497464925E-1,-5.507796407E-1,1.725854576E-1
7.355225002E-2,-2.204030007E-1,-6.435713768E-1,8.198450506E-2
8.355425001E-2,-3.503500819E-1,-7.590937018E-1,1.913097501E-2
9.355525000E-2,-5.462870002E-1,-8.850042820E-1,3.947714344E-2
1.035572500E-1,-7.972771525E-1,-1.048295975E0,1.584378779E-1
1.135592500E-1,-1.093722939E0,-1.259701371E0,4.023719430E-1
1.235602500E-1,-1.413603902E0,-1.411567926E0,7.540828586E-1
1.335622500E-1,-1.764172196E0,-1.420460224E0,1.073167562E0
1.435642500E-1,-2.095975876E0,-1.394814253E0,1.323104620E0
1.535652500E-1,-2.383213043E0,-1.322862029E0,1.551780820E0
1.635672500E-1,-2.576196432E0,-1.196722507E0,1.719622850E0
1.735682500E-1,-2.645565748E0,-1.020292401E0,1.806211472E0
1.835702500E-1,-2.582093477E0,-8.693318963E-1,1.889891624E0
1.935722500E-1,-2.518057108E0,-8.415874839E-1,2.124195576E0
2.035732500E-1,-2.308576107E0,-9.525816441E-1,2.146494627E0
2.135752500E-1,-1.960345864E0,-1.051199555E0,1.973113656E0
2.235772500E-1,-1.478407145E0,-1.063432336E0,1.671170354E0
2.335782500E-1,-8.575507998E-1,-9.987381101E-1,1.212985992E0
2.435802500E-1,-2.835890055E-1,-9.221844077E-1,6.714266539E-1
2.535812500E-1,1.098016128E-1,-9.341254234E-1,2.713158429E-1
2.635832500E-1,4.076897800E-1,-9.958790541E-1,9.620902687E-2
2.735852500E-1,6.852231622E-1,-1.015071154E0,2.013300359E-2
2.835862500E-1,8.727530837E-1,-1.043413281E0,-1.058459654E-1
2.935882500E-1,9.750568867E-1,-1.127940297E0,-2.729938328E-1
3.035902500E-1,9.155818224E-1,-1.042003632E0,-4.387532175E-1
3.135912083E-1,6.425070167E-1,-8.994808197E-1,-5.859332085E-1
3.235932083E-1,1.070728600E-1,-3.658957481E-1,-6.613387465E-1
3.335952083E-1,-7.526357770E-1,-7.984135300E-2,-7.334505320E-1
3.435962083E-1,-9.958022833E-1,-4.543091357E-2,-7.765636444E-1
3.535982083E-1,-1.192546248E0,1.480009705E-1,-8.753014207E-1
3.635992083E-1,-1.403135419E0,1.034910306E-1,-8.248611689E-1
3.736012084E-1,-1.399101496E0,7.717981935E-2,-6.597070098E-1
3.836032083E-1,-1.281517029E0,3.614477068E-2,-5.092533231E-1
3.936042083E-1,-1.035051703E0,-1.132792607E-1,-4.101252854E-1
4.036062083E-1,-7.744765282E-1,-3.296048939E-1,-2.432199270E-1
4.136082083E-1,-5.729601383E-1,-3.057015240E-1,1.218239442E-1
4.236092083E-1,-3.968501389E-1,-3.136550486E-1,4.681472778E-1
4.336112083E-1,-1.664076000E-1,-4.292053580E-1,6.902351975E-1
4.436132083E-1,7.474111021E-2,-5.429822206E-1,7.470870018E-1
4.536142084E-1,3.582178652E-1,-5.352773666E-1,7.054918408E-1
4.636162083E-1,5.276849270E-1,-6.707933545E-1,5.955770612E-1
4.736172083E-1,5.360524654E-1,-7.551920414E-1,4.375999272E-1
4.836192083E-1,4.487063289E-1,-7.565270662E-1,2.973109782E-1
4.936212084E-1,2.969849110E-1,-8.338511586E-1,2.767606676E-1
5.036222083E-1,1.854424030E-1,-8.366584182E-1,4.183012843E-1
5.136242083E-1,1.328166723E-1,-7.676537633E-1,5.425763130E-1
5.236262083E-1,9.531801939E-2,-6.422604322E-1,5.157551169E-1
5.336272084E-1,6.331726164E-2,-5.047525764E-1,3.751907349E-1
5.436292083E-1,3.443767503E-2,-3.487986326E-1,2.392869592E-1
5.536302083E-1,1.967567019E-2,-1.774670482E-1,2.027354389E-1
5.636322083E-1,-9.229214862E-3,-2.034187503E-2,2.618134022E-1
5.736342084E-1,-5.662786588E-2,9.336659312E-2,3.829981685E-1
5.836352083E-1,-1.465407163E-1,2.260801494E-1,5.151401758E-1
5.936372083E-1,-2.156099677E-1,3.373023272E-1,6.139099598E-1
6.036392083E-1,-2.985589206E-1,4.325329661E-1,6.713171005E-1
6.136402084E-1,-3.396735191E-1,3.709962368E-1,7.191210389E-1
6.236422083E-1,-3.664590418E-1,2.825734317E-1,7.612496018E-1
6.336442083E-1,-3.797614872E-1,2.421320975E-1,8.215224743E-1
6.436452083E-1,-3.709229827E-1,2.248532325E-1,9.168500900E-1
6.536472084E-1,-3.574673235E-1,1.668466628E-1,9.847614765E-1
6.636482083E-1,-3.424843848E-1,5.403915793E-2,1.008017302E0
6.736502083E-1,-3.228998482E-1,-1.628777385E-1,1.002754569E0
6.836522083E-1,-2.688640654E-1,-4.022807181E-1,9.937075377E-1
6.936532083E-1,-1.955219358E-1,-6.144745946E-1,1.029430151E0
7.036552083E-1,-1.494902521E-1,-8.514493108E-1,1.131652474E0
7.136572083E-1,-7.587940991E-2,-1.078573823E0,1.202731609E0
7.236582083E-1,2.239575982E-2,-1.230268836E0,1.299059510E0
7.336602084E-1,1.184827536E-1,-1.299518824E0,1.359554648E0
7.436612083E-1,1.407345235E-1,-1.400634885E0,1.442737937E0
7.536632083E-1,1.099684313E-1,-1.504402757E0,1.524970770E0
7.636652083E-1,2.462503873E-2,-1.602810025E0,1.627875566E0
7.736662083E-1,-1.000028998E-1,-1.667369962E0,1.837304115E0
7.836682083E-1,-1.859987825E-1,-1.627220750E0,1.994974136E0
7.936702083E-1,-2.577707469E-1,-1.618617773E0,2.080175400E0
8.036712084E-1,-3.218261600E-1,-1.628831744E0,2.104043484E0
8.136732084E-1,-3.576697111E-1,-1.666690350E0,2.152862072E0
8.236752083E-1,-3.382856250E-1,-1.592087507E0,2.245209694E0
8.336762083E-1,-3.061180711E-1,-1.426325321E0,2.292840242E0
8.436782083E-1,-2.989475131E-1,-1.406574249E0,2.236049175E0
8.536792083E-1,-2.708253562E-1,-1.557336450E0,2.163067341E0
8.636812083E-1,-1.549083591E-1,-1.693648219E0,2.165188789E0
8.736832083E-1,2.824805677E-2,-1.769180775E0,2.252279282E0
8.836842084E-1,2.161076963E-1,-1.804719090E0,2.378689051E0
8.936862084E-1,3.495454490E-1,-1.863941193E0,2.458107948E0
9.036882083E-1,3.942716420E-1,-2.060449123E0,2.502014637E0
9.136892083E-1,3.913463950E-1,-2.235218048E0,2.557602882E0
9.236912083E-1,3.960316777E-1,-2.316698551E0,2.683707714E0
9.336932084E-1,4.014398158E-1,-2.317328453E0,2.824831009E0
9.436942083E-1,4.615244567E-1,-2.319270849E0,2.976247072E0
9.536962083E-1,6.053035259E-1,-2.320242405E0,3.214016438E0
9.636972084E-1,7.411628366E-1,-2.304883480E0,3.466020823E0
9.736992083E-1,8.399598598E-1,-2.355634928E0,3.660074472E0
9.837012083E-1,8.701648712E-1,-2.438503981E0,3.779110670E0
9.937022083E-1,8.186374903E-1,-2.452198982E0,3.836399794E0
1.003704208E0,7.264095545E-1,-2.428894281E0,3.848656893E0
1.013706208E0,6.619796753E-1,-2.417389393E0,3.783550501E0
1.023707208E0,6.690838933E-1,-2.369020224E0,3.640866756E0
1.033709208E0,7.323028445E-1,-2.285756588E0,3.448875904E0
1.043710208E0,8.132866025E-1,-2.360202312E0,3.407436132E0
1.053712208E0,8.770779967E-1,-2.559924364E0,3.424799681E0
1.063714208E0,9.614357352E-1,-2.758557320E0,3.342838049E0
1.073715208E0,1.041285515E0,-2.950679064E0,3.240977764E0
1.083717208E0,1.128999949E0,-3.011260033E0,3.016745806E0
1.093719208E0,1.198438168E0,-3.017187834E0,2.787450075E0
1.103720208E0,1.213389397E0,-3.034091711E0,2.656149149E0
1.113722208E0,1.208049893E0,-3.058092594E0,2.619803190E0
1.123724208E0,1.165270567E0,-2.997074842E0,2.537904739E0
1.133725208E0,1.060050368E0,-2.852261782E0,2.475791693E0
1.143727208E0,9.287911057E-1,-2.726017237E0,2.500411987E0
1.153728208E0,8.135272861E-1,-2.597439051E0,2.492318630E0
1.163730208E0,8.160144687E-1,-2.374785662E0,2.430335522E0
1.173732208E0,9.957007170E-1,-2.133436918E0,2.297526598E0
1.183733208E0,1.276344895E0,-1.951515317E0,2.064637661E0
1.193735208E0,1.557588458E0,-1.739766002E0,1.727473259E0
1.203737208E0,1.778581262E0,-1.429166317E0,1.399906397E0
1.213738208E0,1.951420546E0,-1.006546855E0,1.158530235E0
1.223740208E0,2.100363731E0,-5.693737864E-1,1.006245613E0
1.233742208E0,2.231055260E0,-1.801197827E-1,8.858725429E-1
1.243743208E0,2.327686071E0,1.507145911E-1,7.550021410E-1
1.253745208E0,2.405493975E0,3.946279883E-1,5.938009024E-1
1.263746208E0,2.443142176E0,5.569503307E-1,4.119149745E-1
1.273748208E0,2.412474632E0,6.834812760E-1,2.205820531E-1
1.283750208E0,2.352691650E0,7.547082901E-1,1.334735155E-1
1.293751208E0,2.278539658E0,8.016139269E-1,1.954747289E-1
1.303753208E0,2.162361383E0,7.984282970E-1,2.701447010E-1
1.313755125E0,2.048800468E0,6.647640467E-1,4.344653189E-1
1.323756125E0,1.954375148E0,4.702350199E-1,5.549134612E-1
1.333758125E0,1.882883549E0,1.127631813E-1,6.943003535E-1
1.343759125E0,1.889318824E0,-3.676061034E-1,9.353244305E-1
1.353761125E0,1.978030205E0,-7.730460167E-1,1.082641363E0
1.363763125E0,2.129101038E0,-1.026867867E0,1.256958008E0
1.373764125E0,2.248949528E0,-1.115354300E0,1.280539632E0
1.383766125E0,2.316259384E0,-1.238328218E0,1.350932837E0
1.393768125E0,2.286190748E0,-1.471031189E0,1.282664061E0
1.403769125E0,2.097170353E0,-1.737468839E0,1.212859869E0
1.413771125E0,1.684859991E0,-1.984900832E0,1.120181680E0
1.423773125E0,1.142073750E0,-1.971097112E0,9.995074868E-1
1.433774125E0,6.920372844E-1,-1.697163582E0,9.181918502E-1
1.443776125E0,4.619055688E-1,-1.299775243E0,9.007431269E-1
1.453777125E0,3.255899847E-1,-9.814102650E-1,8.679028749E-1
1.463779125E0,2.072846442E-1,-9.354587197E-1,9.271776676E-1
1.473781125E0,1.719170660E-1,-9.867493510E-1,1.017746925E0
1.483782125E0,1.684096903E-1,-1.078997254E0,1.058488965E0
1.493784125E0,1.635547131E-1,-1.255127668E0,1.096231341E0
1.503786125E0,1.919365525E-1,-1.480955243E0,1.149921656E0
1.513787125E0,1.509003639E-1,-1.973310113E0,1.353277326E0
1.523789125E0,2.528429627E-1,-1.886481404E0,1.393049002E0
1.533790125E0,3.041128814E-1,-1.963339448E0,1.535928249E0
1.543792125E0,3.565811515E-1,-2.116388083E0,1.666587234E0
1.553794125E0,3.870077133E-1,-2.273241282E0,1.837087154E0
1.563795125E0,3.583502471E-1,-2.351033926E0,2.092385769E0
1.573797125E0,1.778346747E-1,-2.297472715E0,2.370223045E0
1.583799125E0,-5.527608097E-2,-2.218616009E0,2.570646524E0
1.593800125E0,-2.575120330E-1,-2.330075979E0,2.764249802E0
1.603802125E0,-3.355743289E-1,-2.580627918E0,3.164924383E0
1.613804125E0,-1.025380865E-1,-2.872817278E0,3.464161873E0
1.623805125E0,-1.765989959E-1,-3.028592587E0,3.927574873E0
1.633807125E0,-5.811614394E-1,-2.635181665E0,4.564390659E0
1.643808125E0,-9.605848789E-1,-2.033245802E0,4.981119156E0
1.653810125E0,-1.094932437E0,-1.708717108E0,4.760585308E0
1.663812125E0,-1.083048344E0,-1.067433834E0,4.541707993E0
1.673813125E0,-1.108952284E0,-5.903154016E-1,4.400586128E0
