Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.03433106,-0.107140526,-9.045892715,2.864662409
0.052390175,-0.188543379,-9.084199905,2.783259392
0.070427206,-0.327407092,-9.266159058,2.97479558
0.088464237,-0.255581021,-9.405022621,3.113659382
0.106501268,0.065242,-9.036315918,2.864662409
0.1245383,0.26156655,-8.887875557,2.495955229
0.142575331,0.405218631,-8.677185059,2.041056871
0.160612362,0.467467874,-8.385092735,1.677138329
0.178649393,0.496198297,-8.217498779,1.466448545
0.196686425,0.232836112,-7.944559574,1.341950059
0.214723456,-0.097563721,-8.409034729,1.581370234
0.232760487,-0.499789596,-9.275735855,1.868674397
0.250797518,-0.619499683,-10.4680481,2.725798607
0.26883455,-0.107140526,-12.34510231,4.957194805
0.286871581,1.070806742,-14.26046371,6.738480568
0.304908612,2.062006235,-12.66592598,5.852625847
0.322945643,-0.097563721,-9.596558571,2.366668463
0.340982675,-1.170166135,-7.858368397,1.303642869
0.359020748,-1.610699177,-7.54233408,1.356315255
0.377057779,-1.275510907,-7.930194378,1.217451572
0.39509481,0.491409898,-9.342773438,1.332373261
0.413131841,1.429937005,-9.816825867,1.950077295
0.431168873,0.615908384,-9.60134697,3.333925962
0.449205904,0.242412925,-9.084199905,2.596511841
0.467242935,0.314238966,-8.447341919,1.739387512
0.485279966,0.170586869,-9.06504631,2.984372377
0.503316998,0.486621499,-9.088988304,3.219004154
0.521354029,0.002992752,-8.878298759,2.237381458
0.53939106,0.639850378,-9.974843025,0.973242998
0.557428091,3.393182278,-10.36749172,-1.306037068
0.575465123,4.293402195,-11.86626244,-1.320402265
0.593502154,0.630273581,-12.0003376,1.868674397
0.611529446,-1.874061346,-10.02751541,2.941276789
0.629566529,-2.328959703,-8.552686691,2.879027605
0.647614185,-1.328183413,-8.279747963,2.021903276
0.665651216,0.122702837,-9.02673912,0.231040463
0.683688248,1.544858694,-9.529520988,0.55665189
0.701725279,2.358887196,-10.29087734,0.561440289
0.71976231,2.210446835,-10.61170006,0.029927522
0.737799341,2.41634798,-10.19989777,0.197521642
0.755836373,2.057217836,-9.768941879,-0.688332975
0.773873404,2.133832216,-9.845556259,-0.66917938
0.791910435,1.650203466,-10.13764858,-0.48243165
0.809947466,1.066018343,-9.850344658,0.714669228
0.827984498,0.998980641,-9.357138634,1.528697729
0.846021529,0.639850378,-9.055469513,1.193509579
0.86405856,1.042076349,-9.041104317,0.666785181
0.882095591,1.415571809,-9.189544678,0.527921498
0.900132623,1.453878999,-9.663596153,0.992396593
0.918169654,1.41078341,-9.644442558,0.85353291
0.936206685,1.674145579,-9.539097786,0.585382342
0.954243716,1.726817966,-9.500790596,0.240617275
0.972280748,1.573589087,-9.318831444,0.824802458
0.990317779,1.956661344,-9.357138634,1.164779186
1.00835481,2.41634798,-9.63965416,0.78170687
1.026392154,2.588730574,-10.31003094,0.571017087
1.044429654,2.473809004,-10.73141098,0.652419984
1.062467154,2.507327795,-11.32517242,0.882263303
1.080504446,2.545634985,-11.59811115,1.571793437
1.098541477,2.095525026,-12.10089397,2.285265446
1.116578143,1.789067268,-12.41692829,2.050633669
1.134614498,1.798644066,-11.85668564,2.122459888
1.152651998,2.459443808,-11.85668564,2.60130024
1.170689498,3.053205729,-12.47438908,2.098517895
1.188726998,2.703652382,-12.73296356,1.059434295
1.206764081,3.105878115,-12.83830833,0.398634583
1.224801112,3.53204608,-12.24933434,0.700303972
1.242838143,1.78427887,-12.46002388,1.203086376
1.260875175,-1.179742932,-13.51826096,-0.544680893
1.278912206,-3.870825529,-14.52861404,-2.014720678
1.296949237,-3.310582399,-13.44164658,-1.928529501
1.314986268,-0.159812957,-11.16715527,-0.199915841
1.3330233,3.441066504,-11.65078449,0.513556242
1.351060331,3.915118217,-12.91971111,0.355538964
1.369097466,-0.360925913,-11.34432602,1.011550188
1.387133873,0.362123013,-9.759365082,0.968454599
1.405171373,1.200093627,-8.954913139,-0.113724582
1.423208873,0.539293945,-8.011597633,-0.717063427
1.441246373,-0.10235212,-7.432200432,-0.927753151
1.459283456,-0.672172129,-6.737882137,-0.515950441
1.477320487,-1.060032845,-5.909488201,-0.305260718
1.495357518,-1.304241419,-4.79379034,-0.511162043
1.51339455,-1.385644197,-4.118625641,-0.48243165
1.531431581,-1.74956286,-3.67809248,-0.171185419
1.549468612,-1.572391987,-3.376422882,0.48482585
1.567505643,-0.74399817,-3.405153275,2.112883091
1.585542675,0.797867715,-4.511274338,4.310760021
1.603579706,2.684498549,-6.924629688,5.01465559
1.621600487,2.957437754,-11.4257288,5.843049049
1.63965455,2.512116194,-14.02104378,8.601169586
1.657691581,2.703652382,-13.55656815,9.865307808
1.675728612,2.708440781,-12.79042435,8.24203968
1.693765643,0.81702131,-11.13842487,5.747281075
1.711802675,-0.121505737,-8.461707115,5.28280592
1.729839706,0.338180989,-6.551134586,3.482366323
1.747876737,-0.456693977,-8.054693222,1.552639842
1.765913768,-0.308253467,-11.57895756,2.366668463
1.7839508,0.395641834,-17.21969795,-0.879869103
1.801987831,-0.246004224,-24.42145538,8.289923668
1.820024862,-1.213261724,-17.38729095,6.561309814
