Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.00124896,-1.000815153,-2.336123228,-0.247407481
0.01928787,-1.190432072,-2.447975874,-0.610662401
0.03732678,-0.99229306,-2.613091707,-0.745950878
0.05536589,-0.714259267,-2.144375801,-0.451938093
0.07340527,-0.708932936,-2.015478849,-0.170708492
0.09144521,-0.684431911,-2.150767326,-0.010918953
0.10948412,-0.527838111,-2.25942421,0.047670547
0.12752302,-0.468183368,-2.190181971,0.028495802
0.14556193,-0.584297121,-1.947301984,-0.054594763
0.16360105,-0.738760352,-1.775794506,-0.141946375
0.18164042,-0.801610887,-1.794969201,-0.231428519
0.1996798,-0.797349811,-1.957954526,-0.265516967
0.21771917,-0.676975071,-1.911082983,-0.133424267
0.23575855,-0.586427629,-1.637310266,0.110521101
0.25379792,-0.572579205,-1.441301703,0.306529611
0.2718373,-0.600276053,-1.340101719,0.393881232
0.28987646,-0.637560308,-1.324122667,0.402403355
0.30791537,-0.623711884,-1.351819515,0.3651191
0.32595428,-0.552339196,-1.320926905,0.307594866
0.34399318,-0.45326969,-1.220792174,0.263919056
0.36203209,-0.294545382,-1.217596292,0.200003251
0.38007146,-0.168844283,-1.28364265,0.029561065
0.39811084,0.012250531,-1.475390196,-0.089748465
0.41615021,0.218911678,-1.656484962,-0.135554805
0.43418959,0.403202295,-1.72040081,-0.133424267
0.45222896,0.707867682,-1.603221774,-0.078030564
0.47026834,1.253282666,-1.229314208,-0.153664276
0.48830771,1.81148088,-0.886299372,-0.464721263
0.50634667,2.252500057,-0.504934967,-0.820519328
0.52438558,2.688192844,-0.066046342,-0.945155144
0.54242448,3.471161604,0.199204296,-0.78749615
0.56046339,4.275435448,-0.348341197,-0.541420221
0.57850344,4.489553452,-1.112135291,-0.157925338
0.59654271,4.442681789,-1.203747869,0.420512825
0.61458162,3.894071341,-0.696682394,0.589889765
0.63262052,3.003510952,-0.080960035,0.369380176
0.65065943,2.746782303,-0.185355872,-0.116380051
0.66869844,2.813893795,-0.397343338,-0.28682223
0.68673782,3.105776072,0.189616934,-0.26125592
0.70477719,3.026946545,1.440236449,-0.157925338
0.72281657,2.870352983,2.450106382,-0.072704241
0.74085594,2.891658068,2.880472898,0.222373784
0.75889532,2.78193593,2.724944353,0.654870808
0.77693469,2.477270603,2.205095768,0.95314467
0.79497407,2.077796698,1.561676502,0.952079356
0.81301297,1.7241292,1.171790004,0.766723514
0.83105162,1.412006974,0.931040406,0.585628688
0.84908922,1.288436413,0.766989827,0.489754945
0.86713084,1.201084733,0.649810851,0.443948627
0.88516974,0.939029872,0.394147545,0.377902269
0.90320865,0.600276053,0.137419015,0.261788547
0.92124756,0.1976064,-0.123570584,0.161653757
0.93928646,-0.214650631,-0.217313781,0.123304263
0.95732563,-0.60986346,-0.125701115,0.081758983
0.975365,-1.080709934,-0.058589499,-0.060986344
0.99340438,-1.609080672,-0.218379051,-0.254864335
1.01144375,-0.836764574,-0.91932255,-0.060986344
1.02948313,-0.549143434,-0.48256442,0.459927589
1.0475225,-1.180844784,-0.332362264,0.285224348
1.06556188,-1.41094172,-0.622113943,0.260723263
1.08358516,-2.355830431,-1.423192263,0.097737938
1.10163407,-2.480466366,-2.198704243,-0.096140042
1.11967943,-2.601906538,-2.602439165,-0.160055861
1.13771834,-2.523077011,-2.376603127,0.034887385
1.15575724,-2.719085455,-2.573677063,0.186154828
1.17379615,-2.824546576,-2.946519136,0.284159064
1.19183506,-2.764891863,-3.074350834,0.369380176
1.20987443,-2.598710537,-2.915626526,0.354466468
1.22791381,-2.449573755,-2.768620253,0.226634845
1.24595318,-2.405897856,-2.621613741,0.092411622
1.26399256,-2.418681145,-2.670615911,0.087085299
1.28203193,-2.32493782,-2.61628747,0.170175865
1.30007131,-2.141712666,-2.414952755,0.291615933
1.31811068,-1.839177728,-1.999499798,0.494016022
1.33614974,-1.470596433,-1.431714296,0.606933951
1.35418865,-1.238368988,-0.994956255,0.534496009
1.37222756,-1.175518394,-0.855406702,0.327834874
1.39026646,-1.261804819,-0.833036184,0.060453713
1.40830552,-1.268196344,-0.760598242,-0.08335688
1.4263449,-1.235173225,-0.681768715,-0.108923204
1.44438428,-1.135038376,-0.702008724,-0.063116871
1.46242365,-1.022120476,-0.78296876,-0.00452737
1.48046302,-0.846351981,-0.764859319,0.123304263
1.4985024,-0.561926544,-0.67005086,0.239418
1.51654178,-0.374440163,-0.565654993,0.32144329
1.53458115,-0.242347479,-0.412257016,0.359792799
1.55262011,-0.217846409,-0.213052735,0.35233596
1.57065902,-0.302002251,-0.121440053,0.378967553
1.58869792,-0.389353871,-0.210922197,0.469514936
1.60673683,-0.4969455,-0.238619059,0.599477112
1.62477599,-0.623711884,-0.200269565,0.729439259
1.64281537,-0.741956115,-0.083090566,0.795485616
1.66085474,-0.811198235,0.019174745,0.646348715
1.67889412,-0.773914039,-0.216248512,0.589889765
1.69693349,-0.273240119,-0.050067391,0.603738189
1.71497287,-0.006924214,0.401604384,0.540887594
