Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.00685312,2.981379747,6.909067631,1.792060018
0.02489395,3.153762102,7.368754387,2.56778121
0.04293473,3.225588322,7.900267124,2.926911592
0.06097551,2.976591349,8.043919563,3.822343111
0.0790163,2.909553528,8.029554367,3.970783472
0.09705708,2.684498549,7.512406349,4.794388771
0.11509833,2.880823135,7.450157166,5.967547894
0.13314046,2.531269789,7.043142796,5.866991043
0.15118124,2.287061214,6.889914036,5.488707542
0.16922202,2.473809004,6.889914036,5.086481571
0.18726281,2.598307371,6.885125637,4.282029629
0.20530359,2.718017578,7.000047207,4.042609692
0.22334447,2.761113167,7.225101948,3.803189516
0.24138572,2.56478858,7.756615162,3.252522945
0.25942697,2.550423384,8.47487545,3.333925962
0.27746822,2.449866772,8.810063362,4.262876034
0.29550947,2.105101824,8.709506989,5.263652325
0.31355072,1.755548358,8.254609108,6.479907036
0.33159197,1.626261473,7.526771545,6.527791023
0.34963286,1.669357181,7.383119583,4.966771603
0.36767364,1.664568782,7.560290337,3.549403906
0.38571442,1.717241168,7.612962723,2.850297213
0.4037552,1.961449742,7.225101948,2.687491417
0.42179604,3.19206953,7.818864346,3.175908566
0.43983728,5.5335989,8.848370552,3.60207653
0.45787854,6.35720396,11.5777607,1.758541107
0.47591978,4.025251389,17.62072563,1.552639842
0.49396104,0.448314279,18.51615715,0.068234749
0.51200228,-0.064044893,10.98399925,-3.216609955
0.53004354,0.730830073,6.296152115,-7.382521152
0.54808452,1.813009262,6.075885296,-4.79678297
0.56612531,0.663792431,9.566631317,5.852625847
0.58416609,-1.869272947,12.71740055,9.266757965
0.60220687,-1.701678872,12.31038666,2.687491417
0.62024765,1.243189216,12.90414906,-3.743334293
0.6382889,1.769913554,11.47720432,-3.882198095
0.65633015,0.08439561,8.278551102,-1.325190663
0.6743714,1.137844324,7.287351608,1.423352957
0.69241265,1.913565755,7.766191959,2.175132275
0.7104539,1.439513803,8.972869873,2.630030632
0.72849515,0.362123013,9.887454033,1.796848416
0.74653635,-0.399233133,10.6152916,0.978031397
0.76457713,-0.830189467,11.02230644,0.053869538
0.78261791,-1.313818216,10.93132687,0.738611221
0.80065869,-1.687313676,10.30883408,0.365115762
0.81869947,-1.098340034,9.829993248,0.709880829
0.83674057,0.127491236,9.470863342,1.954865694
0.85478182,0.769137323,9.322422981,2.084152699
0.87282307,0.673369229,9.245808601,1.045069098
0.89086317,0.309450567,9.102156639,0.398634583
0.90890484,-0.145447746,9.293692589,-0.108936176
0.92694697,-0.542885244,9.408614159,-0.137666598
0.94498775,-0.399233133,8.996811867,0.527921498
0.96302854,-0.198120192,9.231443405,0.59495914
0.98106932,-0.380079508,9.609726906,0.767341673
0.9991101,-0.547673643,9.705494881,0.786495268
1.0171513,-0.284311444,9.724648476,0.752976418
1.03519254,-0.212485403,9.446921349,0.590170741
1.0532338,-0.016160861,9.418190956,0.824802458
1.07127504,0.089184016,9.786897659,0.843956113
1.0893163,0.141856447,9.513958931,0.264559299
1.10735754,0.251989722,9.279327393,-0.046686932
1.1253988,0.405218631,9.446921349,0.049081136
1.14342239,0.510563493,9.614515305,-0.032321721
1.16148098,0.438737452,9.681552887,-0.06584055
1.17952176,0.362123013,9.839570045,0.049081136
1.19756255,0.33339259,9.944915771,0.144849196
1.21560333,0.20410569,9.825204849,-0.051475335
1.23364411,0.089184016,9.715071678,0.029927522
1.2516852,0.074818805,9.700706482,0.235828862
1.26972645,-0.001795651,9.715071678,0.283712894
1.2877677,-0.08319851,9.662399292,0.470460624
1.30580895,-0.188543379,9.59536171,0.465672225
1.3238502,-0.164601371,9.619303703,0.283712894
1.34189145,-0.174178168,9.624092102,0.231040463
1.3599327,-0.183754981,9.614515305,0.245405674
1.37797385,-0.011372458,9.571419716,0.034715924
1.39601463,0.079607204,9.509170532,-0.070628949
1.41405541,0.189740479,9.705494881,-0.037110128
1.43209619,0.309450567,10.00237656,0.063446343
1.45013697,0.405218631,10.05983734,-0.396240383
1.46817817,0.678157628,10.45248604,-0.606930137
1.48621942,-0.064044893,10.90259552,-1.420958757
1.50426067,-0.547673643,10.07899094,-1.497573137
1.52230192,0.678157628,9.394248962,-0.640448928
1.54034317,1.008557439,10.40460205,-0.080205753
1.55838442,0.285508543,11.5633955,-0.664390981
1.57642567,-0.676960528,12.24334908,-1.15280807
1.59446687,-0.140659347,12.54980659,-1.133654475
1.61250765,1.109113932,12.83232212,-0.865503907
1.63054843,2.272696018,12.94724464,-0.319625914
1.64858921,2.469020605,13.09089661,0.001197101
1.66662999,1.741183162,12.99512863,0.001197101
1.68467119,0.941519797,12.84189892,-0.247799873
1.70271244,0.639850378,12.33432865,-0.233434662
1.72075369,0.659004033,11.5825491,-0.367509961
1.73879494,1.310226917,11.26172638,-0.29568392
1.75683619,1.741183162,11.20905399,0.18794483
1.77487744,1.894412041,11.1707468,0.934935749
1.79291869,1.870470047,11.25214958,1.940500498
1.81095994,1.429937005,10.88823032,2.586935043
1.82900072,0.96546185,11.38143635,2.682703018
1.8470415,0.644638836,11.64000988,1.064222693
1.86508228,0.242412925,12.30080986,1.662773132
1.88312426,0.079607204,12.60247898,-0.324414343
1.9011651,0.323815793,12.1523695,-0.70748663
1.91920588,1.501762986,11.13243961,0.805648863
1.93724666,1.951872945,11.27609158,-1.325190663
1.95528744,1.678933978,10.92175007,-0.721851826
1.97332859,1.334168911,9.614515305,-1.306037068
1.99136984,1.688510776,9.13567543,0.029927522
2.00941109,1.583165884,7.081449986,0.973242998
2.02745234,0.903212607,5.534795761,2.318784237
2.04549359,1.755548358,3.734356165,1.825578809
2.06353484,3.38360548,2.776675463,3.300406933
2.08157609,4.097077847,1.67055428,5.325901508
2.09961734,4.480149746,1.321000814,5.392939091
2.11765827,4.087501049,1.780687571,6.704961777
2.13569906,3.967790842,2.254739523,5.704185486
2.15373984,4.226364613,2.254739523,5.474342346
2.17178062,4.322132587,2.393603086,5.665878296
2.18982166,4.077924252,2.039261341,5.661089897
2.20786291,3.876811028,1.728015065,5.354631901
2.22590416,3.594295263,1.699284673,6.637924194
2.24394541,3.742735863,2.633023262,6.939593792
2.26198666,3.934272051,2.728791475,6.944382191
2.28002791,4.068347454,2.369661093,7.538144112
2.29806916,4.432265759,2.240374327,8.198944092
2.31611041,4.628590584,1.18692553,8.969876289
2.33415156,5.428253651,4.701613426,8.07923317
2.35219234,7.779359818,11.26172638,6.183025837
2.37023312,8.397064209,15.02541161,11.46942329
2.3882739,3.967790842,15.48030949,9.252392769
2.40631478,2.622249365,8.901042938,7.485471725
2.42435604,5.016450882,3.676895142,5.665878296
2.44239729,6.299743176,2.570774078,5.967547894
2.46043854,5.322908878,6.291363716,8.04092598
2.47847979,3.144185305,8.834005356,6.724115372
2.49652104,2.957437754,8.446145058,3.386598349
2.51456229,2.895188332,7.172429562,5.057751179
2.53260354,2.239177227,6.497264862,5.680243492
2.55064478,2.267907619,6.942586422,3.745728493
2.56868567,2.009333849,7.962516308,2.840720415
2.58672645,1.52570498,9.178771019,3.290830135
2.60476723,1.310226917,9.825204849,3.582922935
2.62280801,1.147421122,9.657610893,3.132812977
2.64084916,1.022922635,9.394248962,1.911770105
2.65889041,0.630273581,9.102156639,0.767341673
2.67693166,-0.375291109,8.623315811,0.020350715
2.69497291,-0.255581021,8.608950615,-0.104147777
2.71301416,0.673369229,9.389460564,0.159214407
2.73105541,2.009333849,10.2130661,1.021126986
2.74909666,2.023699045,10.46685123,2.63960743
2.76713791,1.11390233,9.068637848,2.768894196
2.78517916,1.008557439,8.053496361,1.686715126
2.80322004,1.252766013,8.369530678,-0.18555063
2.82126083,1.382052898,8.829216957,1.279700756
2.83930161,0.687734425,9.111733437,2.261323452
2.85734239,0.161010072,9.164405823,1.74896431
2.87538359,0.390853435,9.552266121,-0.046686932
2.89341046,0.419583857,9.32721138,0.092176765
2.91146692,0.400430232,9.05906105,0.74339962
2.9295077,0.405218631,9.399037361,0.709880829
2.94754848,0.477044702,9.849146843,1.437718153
2.96558926,0.213682503,9.753378868,1.370680451
2.98363015,0.04129998,9.303269386,0.518344641
3.0016714,0.199317291,8.872312546,0.331596941
3.01971265,0.390853435,9.011177063,-0.209492654
3.0377539,-0.097563721,9.485228539,-0.128089786
3.05579515,-0.073621705,10.26095009,0.863109708
3.0738364,-0.332195491,11.06061363,1.777694821
3.09187765,-0.188543379,11.80760384,2.208651066
3.1099189,0.405218631,12.79880333,1.691503525
3.12796015,0.81702131,14.60403156,-0.243011475
3.1460014,1.405994892,14.50347519,-1.459265947
3.16404218,1.74597156,13.79000282,-2.943670988
