Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.01417312,0.092145301,0.536892891,0.209590629
0.03221578,0.17843166,0.566720247,0.393881232
0.05025844,0.323307514,0.564589739,0.65806663
0.06830109,0.699345589,0.583764494,1.04049623
0.08634375,0.939029872,0.703073978,1.447426915
0.10438641,0.662061334,0.610396087,1.418664813
0.12241406,0.235955894,0.381364375,1.164066792
0.14047307,-0.13475585,0.227966413,0.723047674
0.15851573,0.183757976,0.509196043,0.399207562
0.17655839,1.096688867,0.765924573,0.285224348
0.19460104,1.242630005,0.778707743,0.375771761
0.2126437,1.531316519,1.002413034,0.509994984
0.23068635,1.734781861,1.744901896,0.327834874
0.24872901,1.981922984,1.434910178,0.064714767
0.26677177,2.367548466,1.505217552,-0.076965295
0.2848149,2.513489485,1.021587849,-0.084422141
0.30285802,2.062883139,0.668985546,-0.357129633
0.32090115,1.374722719,0.641288698,-0.642620266
0.33894427,1.360874295,1.152615309,-0.870586693
0.35698708,1.610146046,1.705487132,-0.973917306
0.37502974,1.397093296,1.611743927,-1.088965774
0.3930724,1.169126868,1.544632316,-1.26260376
0.41111505,1.146756291,1.848232388,-1.384043813
0.42915771,1.076448917,1.941975594,-1.409610152
0.44720036,0.86659199,2.06448102,-1.395761728
0.46524302,0.643951893,2.250902176,-1.308410048
0.48328615,0.327568561,2.263685226,-1.247690082
0.50132927,0.009054741,2.096438885,-1.176317334
0.5193724,-0.274305373,1.79709971,-1.112401605
0.53741552,-0.533164442,1.487107992,-1.064464688
0.55545844,-0.728107691,1.340101719,-1.025049925
0.57350109,-0.79202354,1.429583788,-1.010136247
0.59154375,-0.643951893,1.634114385,-0.990961492
0.60958641,-0.299871713,1.837579727,-0.848216176
0.62762906,0.016511586,1.999499798,-0.635163426
0.64567172,0.182692722,2.156093597,-0.514788628
0.66371438,0.425572813,1.916409254,-0.509462357
0.68175745,0.903876185,1.515870214,-0.611727655
0.69980057,1.016794205,1.624527097,-0.571247637
0.7178437,0.784566701,1.855689287,-0.557399213
0.73588682,0.470313907,1.653289199,-0.511592865
0.75392979,0.356330693,1.048219442,-0.401870698
0.77197245,0.282827497,0.240749583,-0.450872839
0.7900151,-0.547012866,-0.352602273,-0.27403906
0.80805776,-0.437290728,-0.332362264,0.333161205
0.82610042,0.184823245,0.48789075,0.732635081
0.84414307,0.207193777,1.300686955,0.760331929
0.86217662,-0.494814962,1.022653103,0.629304469
0.8802201,-1.610146046,0.207726404,0.110521101
0.8982726,-2.221607208,-0.849015117,-0.008788425
0.91631526,-1.89883244,-1.007739425,0.255396962
0.93435792,-1.376853228,0.064981081,0.445013881
0.95240057,-1.178714275,0.981107831,0.288420141
0.97044323,-1.203215241,1.01413095,0.059388448
0.98848589,-1.371526957,0.974716246,-0.271908552
1.00652854,-1.447160602,0.742488742,-0.450872839
1.02457167,-1.404550076,0.608265519,-0.429567576
1.04261479,-1.187236309,0.721183479,-0.334759086
1.06065792,-1.099884748,0.691356123,-0.250603259
1.07870104,-1.044491053,0.647680283,-0.121706374
1.09674401,-0.85380882,0.818122506,0.049801074
1.11477323,-0.715324521,1.104678392,0.212786406
1.13282047,-0.704671919,1.154745817,0.323573828
1.15087255,-0.652473986,0.936366737,0.349140167
1.16891521,-0.573644459,0.612526596,0.350205421
1.18695787,-0.582166553,0.405865461,0.340618044
1.20500052,-0.689758182,0.298273832,0.336356998
1.22304318,-0.767522454,0.158724278,0.317182243
1.24108583,-0.690823495,-0.108656891,0.246874854
1.25912859,-0.439421266,-0.173637971,0.22024326
1.27717172,-0.123037949,0.200269565,0.378967553
1.29521484,0.192280084,0.818122506,0.617586613
1.31325797,0.527838111,0.895886719,0.79655087
1.33130109,0.880440414,0.792556167,0.842357218
1.34934401,1.186171055,1.107874155,0.800811946
1.36738672,1.646364927,1.523326993,0.829574049
1.38542891,2.338786364,1.564872265,0.848748803
1.40347146,2.700975895,1.13237524,0.695350826
