"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.383481320E-1,-5.344913341E-3,-6.261184346E-3,-4.275931045E-3
1.408786530E-1,-5.344913341E-3,-7.482878864E-3,-5.497625098E-3
1.434090700E-1,-5.344913341E-3,-6.261184346E-3,-5.497625098E-3
1.459394340E-1,-5.344913341E-3,-7.482878864E-3,-5.497625098E-3
1.484697990E-1,-6.566607859E-3,-7.482878864E-3,-3.054236295E-3
1.510001110E-1,-4.123218823E-3,-7.482878864E-3,-4.275931045E-3
1.535303200E-1,-4.123218823E-3,-6.261184346E-3,-3.054236295E-3
1.560604760E-1,-4.123218823E-3,-7.482878864E-3,-3.054236295E-3
1.585906320E-1,-5.344913341E-3,-6.261184346E-3,-3.054236295E-3
1.611207360E-1,-5.344913341E-3,-7.482878864E-3,-1.832541777E-3
1.636507360E-1,-6.566607859E-3,-8.704573847E-3,-1.832541777E-3
1.661806840E-1,-4.123218823E-3,-7.482878864E-3,-6.108472589E-4
1.686959450E-1,-5.344913341E-3,-7.482878864E-3,6.108472589E-4
1.711749550E-1,-6.566607859E-3,-8.704573847E-3,-6.108472589E-4
1.736531840E-1,-6.566607859E-3,-9.926267900E-3,6.108472589E-4
1.761322470E-1,-6.566607859E-3,-8.704573847E-3,1.832541777E-3
1.786120900E-1,-6.566607859E-3,-9.926267900E-3,1.832541777E-3
1.810911530E-1,-7.788302377E-3,-1.114796288E-2,6.108472589E-4
1.835693820E-1,-6.566607859E-3,-9.926267900E-3,6.108472589E-4
1.860484450E-1,-7.788302377E-3,-8.704573847E-3,6.108472589E-4
1.885282880E-1,-7.788302377E-3,-9.926267900E-3,6.108472589E-4
1.910072990E-1,-7.788302377E-3,-7.482878864E-3,-6.108472589E-4
1.934855800E-1,-7.788302377E-3,-6.261184346E-3,-1.832541777E-3
1.959645900E-1,-6.566607859E-3,-3.817795310E-3,-4.275931045E-3
1.984444340E-1,-6.566607859E-3,-2.596100792E-3,-4.275931045E-3
2.009234970E-1,-5.344913341E-3,-3.817795310E-3,-5.497625098E-3
2.034017260E-1,-5.344913341E-3,-1.527118147E-4,-5.497625098E-3
2.058807880E-1,-5.344913341E-3,1.068982761E-3,-6.719320081E-3
2.083606840E-1,-5.344913341E-3,2.290677279E-3,-6.719320081E-3
2.108396950E-1,-4.123218823E-3,4.734066315E-3,-5.497625098E-3
2.133179240E-1,-5.344913341E-3,7.177455351E-3,-5.497625098E-3
2.157969340E-1,-5.344913341E-3,5.955760833E-3,-5.497625098E-3
2.182768820E-1,-5.344913341E-3,7.177455351E-3,-5.497625098E-3
2.207558400E-1,-5.344913341E-3,8.399149403E-3,-6.719320081E-3
2.232340700E-1,-4.123218823E-3,8.399149403E-3,-5.497625098E-3
2.257131320E-1,-4.123218823E-3,9.620844387E-3,-5.497625098E-3
2.281930280E-1,-5.344913341E-3,8.399149403E-3,-5.497625098E-3
2.306720380E-1,-4.123218823E-3,8.399149403E-3,-5.497625098E-3
2.331502670E-1,-4.123218823E-3,8.399149403E-3,-4.275931045E-3
2.356293300E-1,-5.344913341E-3,5.955760833E-3,-4.275931045E-3
2.381092260E-1,-5.344913341E-3,4.734066315E-3,-3.054236295E-3
2.405882360E-1,-5.344913341E-3,5.955760833E-3,-3.054236295E-3
2.430664650E-1,-4.123218823E-3,5.955760833E-3,-3.054236295E-3
2.455454760E-1,-5.344913341E-3,7.177455351E-3,-4.275931045E-3
2.480253720E-1,-4.123218823E-3,8.399149403E-3,-4.275931045E-3
2.505043820E-1,-5.344913341E-3,7.177455351E-3,-3.054236295E-3
2.529826110E-1,-5.344913341E-3,7.177455351E-3,-3.054236295E-3
2.554616740E-1,-6.566607859E-3,5.955760833E-3,-3.054236295E-3
2.579415700E-1,-5.344913341E-3,7.177455351E-3,-3.054236295E-3
2.604205800E-1,-5.344913341E-3,7.177455351E-3,-3.054236295E-3
2.628988090E-1,-4.123218823E-3,7.177455351E-3,-3.054236295E-3
