"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.182270800E-2,-3.825525343E-1,1.039352417E1,-3.960121572E-1
3.430218700E-2,-3.634099364E-1,1.041027355E1,-3.840480447E-1
3.678130200E-2,-3.490529954E-1,1.038156033E1,-3.720839322E-1
3.925994800E-2,-3.538386524E-1,1.040309525E1,-3.361915946E-1
4.173901000E-2,-3.538386524E-1,1.037198925E1,-3.050848842E-1
4.421807300E-2,-3.514458239E-1,1.037916756E1,-2.931207716E-1
4.669760400E-2,-3.514458239E-1,1.036720276E1,-2.811566591E-1
4.917666600E-2,-3.873381615E-1,1.035045338E1,-2.787638307E-1
5.165531200E-2,-3.610171080E-1,1.034806061E1,-2.811566591E-1
5.413484400E-2,-3.825525343E-1,1.034566784E1,-3.146561682E-1
6.926932300E-2,-3.729812205E-1,1.041266727E1,-3.936193287E-1
7.180484400E-2,-3.681955934E-1,1.043420219E1,-3.984049559E-1
7.433994800E-2,-3.825525343E-1,1.041984558E1,-4.151547253E-1
7.687468700E-2,-3.753740489E-1,1.043659496E1,-4.007977843E-1
7.940916600E-2,-3.610171080E-1,1.043180943E1,-3.984049559E-1
8.194333300E-2,-3.562314808E-1,1.043420219E1,-3.888336718E-1
8.447723900E-2,-3.586242795E-1,1.041027355E1,-3.816552162E-1
8.701088500E-2,-3.442673683E-1,1.041027355E1,-3.888336718E-1
8.954437500E-2,-3.586242795E-1,1.041266727E1,-3.912265003E-1
9.207765600E-2,-3.394817114E-1,1.042223835E1,-4.127618968E-1
9.461067700E-2,-3.370888829E-1,1.041266727E1,-3.960121572E-1
9.714348900E-2,-2.961117923E-1,1.040548801E1,-3.840480447E-1
9.967614600E-2,-3.056831062E-1,1.041984558E1,-3.960121572E-1
1.022085940E-1,-3.080759048E-1,1.042941666E1,-3.912265003E-1
1.047408850E-1,-3.176472187E-1,1.042223835E1,-4.007977843E-1
1.072730210E-1,-3.176472187E-1,1.044377327E1,-3.792623878E-1
1.098050000E-1,-3.128615618E-1,1.045095158E1,-3.792623878E-1
1.123368230E-1,-3.176472187E-1,1.045573807E1,-4.079762697E-1
1.148685410E-1,-3.394817114E-1,1.047009468E1,-4.319044948E-1
1.174001040E-1,-3.323032558E-1,1.048923683E1,-4.534398913E-1
1.199315620E-1,-3.442673683E-1,1.047727299E1,-4.534398913E-1
1.224629690E-1,-3.466601670E-1,1.046530914E1,-4.654040039E-1
1.249941660E-1,-3.418745399E-1,1.046530914E1,-4.749752879E-1
1.275252600E-1,-3.538386524E-1,1.046530914E1,-4.893322289E-1
1.300563020E-1,-3.610171080E-1,1.045573807E1,-4.773681164E-1
1.325872390E-1,-3.538386524E-1,1.044616604E1,-5.108676553E-1
1.351180730E-1,-3.634099364E-1,1.042941666E1,-5.300102234E-1
1.376488020E-1,-3.777668774E-1,1.040309525E1,-5.156532526E-1
1.401794270E-1,-3.825525343E-1,1.039830971E1,-5.036891699E-1
1.427100520E-1,-3.681955934E-1,1.038395309E1,-5.132604837E-1
1.452405730E-1,-3.705884218E-1,1.038156033E1,-4.917250574E-1
1.477709890E-1,-3.825525343E-1,1.039352417E1,-4.989035130E-1
1.503014060E-1,-3.945166469E-1,1.038873863E1,-5.132604837E-1
1.528318230E-1,-4.112663865E-1,1.039591694E1,-4.965106845E-1
1.553621350E-1,-4.232304990E-1,1.038395309E1,-4.893322289E-1
1.578923440E-1,-4.423730969E-1,1.038156033E1,-4.941178858E-1
1.604225520E-1,-4.758726060E-1,1.036720276E1,-5.060819983E-1
1.629527600E-1,-4.734797776E-1,1.034327507E1,-5.300102234E-1
1.654828640E-1,-4.758726060E-1,1.031695366E1,-5.180460811E-1
1.680128640E-1,-4.926223755E-1,1.035045338E1,-5.324030519E-1
1.705428640E-1,-5.021936297E-1,1.035284615E1,-5.443671346E-1
1.730728640E-1,-4.974080026E-1,1.033848953E1,-5.467599630E-1
1.755932290E-1,-5.069792867E-1,1.035284615E1,-5.443671346E-1
1.780881770E-1,-5.021936297E-1,1.030738258E1,-5.491527915E-1
1.805676560E-1,-5.237290859E-1,1.032891846E1,-5.682953596E-1
