"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.657124987E-3,-2.844684448E0,4.598736877E0,8.836574249E0
8.266874996E-3,-2.754122772E0,4.562212830E0,8.579409027E0
1.819187499E-2,-2.609523468E0,4.443060608E0,8.198600922E0
2.811587500E-2,-2.435136108E0,4.378395081E0,8.083490295E0
3.803987501E-2,-2.263293457E0,4.278852081E0,8.088280334E0
4.796487500E-2,-2.179617462E0,4.189487915E0,8.226443024E0
5.788887499E-2,-2.178419952E0,4.139042816E0,8.312663727E0
6.781287500E-2,-2.325563965E0,4.218677216E0,8.236172791E0
7.773687501E-2,-2.403851166E0,4.227808228E0,8.117020569E0
8.765762500E-2,-2.228565674E0,4.039350128E0,7.975415039E0
9.758162501E-2,-2.069446564E0,3.894002380E0,7.961044922E0
1.075056250E-1,-2.038460999E0,3.899989929E0,7.965685272E0
1.174306250E-1,-2.033670959E0,3.957171021E0,7.946974182E0
1.273546250E-1,-2.052831116E0,3.890709229E0,7.979157257E0
1.372786250E-1,-2.122136993E0,3.785178680E0,8.080047455E0
1.472036250E-1,-2.259700928E0,3.751947784E0,8.262667694E0
1.571276250E-1,-2.403701477E0,3.678151245E0,8.358169098E0
1.670516250E-1,-2.476899261E0,3.616629181E0,8.518485718E0
1.769766250E-1,-2.686164093E0,3.778143311E0,9.064400482E0
1.869006250E-1,-2.811902618E0,3.819457397E0,8.904383240E0
1.968246250E-1,-2.896626434E0,3.798950043E0,8.785979462E0
2.067496250E-1,-3.021915894E0,3.783232727E0,9.114546204E0
2.166736250E-1,-3.053649902E0,3.633094940E0,9.241332550E0
2.265976250E-1,-3.124602356E0,3.453618164E0,9.171128540E0
2.365216250E-1,-3.281326447E0,3.396736450E0,9.185348969E0
2.464466250E-1,-3.572321320E0,3.473077698E0,9.278155975E0
2.563706250E-1,-3.920497284E0,3.697311401E0,9.119635620E0
2.662946250E-1,-4.252955933E0,4.148772583E0,8.777297516E0
2.762196250E-1,-4.409230957E0,4.705614624E0,8.323890381E0
2.861436250E-1,-4.309837646E0,5.124892731E0,7.745493164E0
2.960676250E-1,-4.120182037E0,5.478008423E0,7.161258087E0
3.059926250E-1,-3.965553589E0,5.727240143E0,6.673871613E0
3.159166250E-1,-3.717519379E0,5.568719788E0,6.264173584E0
