"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.437691669E-2,-1.025267318E-1,-7.013005018E-1,-2.135600448E-1
2.443991671E-2,-3.802737296E-1,-8.178383112E-1,-2.860857248E-1
3.450291668E-2,-6.221356392E-1,-9.137778878E-1,-3.608560860E-1
4.456491669E-2,-8.058894873E-1,-9.783487916E-1,-4.181142151E-1
5.462791672E-2,-9.096483588E-1,-1.014520645E0,-4.697459638E-1
6.469091668E-2,-8.953890204E-1,-1.065501213E0,-5.214481354E-1
7.475291670E-2,-7.695285678E-1,-1.035357356E0,-5.767672658E-1
8.481591666E-2,-5.916321874E-1,-9.637650847E-1,-6.068934202E-1
9.487891669E-2,-4.234484732E-1,-9.205691218E-1,-5.944373012E-1
1.049409167E-1,-2.620961666E-1,-9.174949527E-1,-5.227378607E-1
1.150039167E-1,-1.183558032E-1,-9.062154293E-1,-4.565503299E-1
1.250669167E-1,3.806814179E-2,-8.778976798E-1,-4.495462775E-1
1.351289167E-1,1.992226690E-1,-8.524154425E-1,-5.064076781E-1
1.451919167E-1,3.405075669E-1,-8.522831798E-1,-5.992717743E-1
1.552549167E-1,4.488545358E-1,-8.896233439E-1,-6.939644814E-1
1.653169167E-1,5.080263615E-1,-9.964768291E-1,-7.620679736E-1
1.753799167E-1,4.976525009E-1,-1.166142344E0,-7.612645030E-1
1.854429167E-1,4.679499567E-1,-1.336536169E0,-7.041606307E-1
1.955049167E-1,4.032564461E-1,-1.520020485E0,-6.241619587E-1
2.055679167E-1,3.114874363E-1,-1.701769948E0,-5.417439938E-1
2.156309167E-1,2.060896754E-1,-1.848080039E0,-4.694668949E-1
2.256929167E-1,1.016166657E-1,-1.940512657E0,-4.389360249E-1
2.357559167E-1,-3.594865650E-2,-1.895133734E0,-4.397344291E-1
2.458189167E-1,-1.299352944E-1,-1.770435572E0,-4.763918817E-1
2.558809167E-1,-1.728622466E-1,-1.637784004E0,-5.091186762E-1
2.659439167E-1,-1.415695995E-1,-1.576483250E0,-5.687067509E-1
2.760069167E-1,-5.034115911E-2,-2.021588326E0,-7.277169228E-1
2.860689167E-1,-1.783246733E-2,-2.257771015E0,-9.281535149E-1
2.961319167E-1,-1.624285430E-1,-2.344804525E0,-1.161237597E0
3.061949167E-1,-3.353570402E-1,-2.330908060E0,-1.420830965E0
3.162569167E-1,-4.312974215E-1,-2.592929840E0,-1.663603663E0
3.263199167E-1,-4.900666773E-1,-2.736612558E0,-1.827177286E0
3.363829167E-1,-4.885481298E-1,-2.746028423E0,-1.895462632E0
3.464449167E-1,-4.384340048E-1,-2.815913916E0,-1.887489080E0
3.565079167E-1,-3.518296182E-1,-2.864673615E0,-1.839266658E0
3.665709167E-1,-2.471734881E-1,-2.826141357E0,-1.771471024E0
3.766329167E-1,-1.349758506E-1,-2.695514441E0,-1.682886481E0
3.866959167E-1,-2.824782580E-2,-2.423820496E0,-1.574906707E0
3.967589167E-1,8.384489268E-2,-2.030577421E0,-1.455035090E0
4.068209167E-1,1.968743950E-1,-1.576655030E0,-1.348795891E0
4.168839167E-1,3.065055609E-1,-1.120844960E0,-1.262358665E0
4.269469167E-1,3.956761360E-1,-7.019742727E-1,-1.196579337E0
4.370089167E-1,4.416543245E-1,-3.051830232E-1,-1.156044960E0
4.470719167E-1,4.607122540E-1,5.254422128E-2,-1.125995874E0
4.571349167E-1,4.643016756E-1,3.045799434E-1,-1.075829744E0
4.671969167E-1,4.619561732E-1,3.990766406E-1,-9.559940696E-1
4.772599167E-1,4.329013526E-1,3.757598400E-1,-7.709611058E-1
4.873229167E-1,3.681767583E-1,3.359110653E-1,-5.424094796E-1
4.973849167E-1,2.994410992E-1,3.317882121E-1,-2.956495583E-1
5.074479167E-1,2.534184456E-1,3.895560205E-1,-4.432610795E-2
5.175109167E-1,2.567122579E-1,4.553896189E-1,2.016040385E-1
5.275729167E-1,2.822539508E-1,5.155665278E-1,4.398023486E-1
5.376359167E-1,3.526154459E-1,5.711357594E-1,6.572156549E-1
5.476989167E-1,4.522213936E-1,6.216636896E-1,8.474938869E-1
5.577609167E-1,5.779209733E-1,6.294617057E-1,1.004369736E0
5.678239167E-1,7.152699828E-1,6.353952885E-1,1.115292668E0
5.778869167E-1,8.557120562E-1,6.939656734E-1,1.178683162E0
5.879489167E-1,9.848625064E-1,8.196317554E-1,1.194352150E0
5.980119167E-1,1.082539558E0,9.889837503E-1,1.168101311E0
6.080749167E-1,1.158827662E0,1.203197002E0,1.110543251E0
6.181369167E-1,1.222961664E0,1.455428123E0,1.030986071E0
6.281999167E-1,1.273428559E0,1.739818692E0,9.539352655E-1
6.382629167E-1,1.321041822E0,2.045708656E0,8.749797344E-1
6.483249167E-1,1.383144617E0,2.369972229E0,7.865697145E-1
