Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.009304271,-0.637560308,0.345145434,-0.149403229
0.027346459,-0.673779249,-0.156593755,-0.065247402
0.045388646,-0.478836,-0.069242135,0.01890843
0.063430834,-0.30413276,0.570981324,0.061518975
0.081473021,-0.235955894,0.905474067,0.135022163
0.099515209,-0.030360013,0.829840362,0.122239001
0.117546042,-0.074035823,0.596547663,-0.031158961
0.13559375,-0.2093243,-0.486825496,-0.150468484
0.153643594,0.39148438,-2.078329325,-0.328367531
0.171685782,0.194410607,-0.268446446,-0.364586473
0.189727969,0.064448453,0.452737033,-0.072704241
0.207770157,-0.289219081,0.321709633,0.367249638
0.225812344,-0.152865335,0.199204296,0.332095951
0.243854636,-0.194410607,-0.573111832,0.292681187
0.261897292,-0.70999819,-0.371776998,-0.046072651
0.279939948,-1.574992299,0.115048476,-0.347542256
0.297982604,-1.775261879,0.178964287,-0.301735938
0.316025261,-1.221324801,0.31851384,-0.196274832
0.334067917,-0.842090905,-0.147006378,-0.135554805
0.352110261,-0.523577094,-0.503869712,-0.01304948
0.370150157,-0.101732679,-0.270576954,0.231961161
0.388193594,-0.060187396,0.099069521,0.42690441
0.406237604,-0.17843166,0.117178999,0.520647585
0.424279792,-0.306263298,-0.027696855,0.605868697
0.442321979,-0.251934856,0.164050594,0.589889765
0.460364167,0.060187396,0.335558057,0.522778153
0.478406354,0.281762242,0.446345478,0.427969664
0.496448646,0.351004362,0.28762117,0.451405466
0.514491302,0.289219081,0.434627563,0.533430755
0.532533959,0.225303263,0.696682394,0.622912943
0.550576615,0.30413276,0.709465563,0.708133996
0.568619271,0.397875965,0.47510758,0.756070852
0.586661927,0.375505447,0.15020217,0.62184763
0.604704271,0.071905293,0.416518092,0.516386569
0.622728698,-0.087884247,0.698812962,0.429034919
0.640789271,0.093210571,0.876711965,0.327834874
0.658831511,0.774979293,0.758467734,0.250070632
0.676873698,1.958487153,0.997086763,0.114782155
0.694915886,2.71269393,1.785381913,0.186154828
0.712958073,2.69458437,1.271924734,0.182959035
0.731000261,2.352634668,1.152615309,-0.057790551
0.749042813,2.029859781,1.478585958,-0.065247402
0.767085469,1.825329304,1.704421878,-0.18029587
0.785128125,1.794436574,2.004826069,-0.527571797
0.803170782,1.763543963,1.939845085,-1.258342624
0.821213438,1.676192284,2.103895664,-1.540637493
0.839256042,1.521729112,2.092177868,-1.370195389
0.857298229,1.168061614,1.930257678,-1.146489978
0.875340417,0.898549855,2.188051462,-0.868456185
0.893382604,0.7483477,2.292447329,-0.734232962
0.911424792,0.683366597,2.423474789,-0.74914664
