Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.100718285,0.070840031,0.672181368,-0.008788425
0.118800524,0.083623193,0.641288698,-0.005592634
0.136838024,0.087884247,0.645549774,-0.003462107
0.154875524,0.071905293,0.667920291,0.003994739
0.172913024,0.063383184,0.70094347,0.019973693
0.190950524,0.063383184,0.707335055,0.026365275
0.208988024,0.082557932,0.702008724,0.021038957
0.227025524,0.101732679,0.694551885,0.013582111
0.245063024,0.101732679,0.686029792,0.001864211
0.263100524,0.099602148,0.658332944,-0.002396843
0.281138024,0.112385318,0.632766604,-0.003462107
0.299175524,0.125168473,0.608265519,-0.00133158
0.317213024,0.129429534,0.616787672,0.008255793
0.335251201,0.124103211,0.629570782,0.023169484
0.353288701,0.123037949,0.591221333,0.029561065
0.371326201,0.119842157,0.524109721,0.033822119
0.389363701,0.108124256,0.450606525,0.029561065
0.407401201,0.101732679,0.388821214,0.016777903
0.425438701,0.090014778,0.360059112,0.00719053
0.443476201,0.078296877,0.30040434,-0.003462107
0.461513701,0.065513715,0.241814852,-0.017310534
0.479551201,0.04953476,0.166181132,-0.033289488
0.497588701,0.044208441,0.074568458,-0.03968107
0.515626201,0.042077914,-0.030892646,-0.046072651
0.533663701,0.035686333,-0.121440053,-0.065247402
0.551701201,0.020772642,-0.161920071,-0.081226356
0.569738701,0.00585895,-0.143810585,-0.08335688
0.58776042,-0.002663159,-0.107591629,-0.066312663
0.605814587,-0.010120004,-0.088416882,-0.03968107
0.623852087,-0.038882121,-0.127831638,-0.019441061
0.641889587,-0.065513715,-0.115048476,0.030626331
0.659927087,-0.086818986,-0.11930953,0.086020038
0.677964587,-0.086818986,-0.184290603,0.113716893
0.696002087,-0.058056869,-0.239684314,0.116912685
0.714039587,-0.063383184,-0.227966413,0.104129523
0.732077087,-0.051665287,-0.214117989,0.088150568
0.750114587,0.004793686,-0.248206422,0.04554002
0.768152087,0.10279794,-0.23755379,-0.00452737
0.786189587,0.263652742,-0.137419015,-0.03968107
0.804227087,0.501206517,-0.061785292,-0.035420015
0.822264587,0.793088794,-0.069242135,-0.026897907
0.840302087,1.088166833,-0.127831638,-0.030093698
0.858339587,1.360874295,-0.270576954,-0.05139897
0.876377087,1.553686976,-0.4133223,-0.089748465
0.894414587,1.716672301,-0.40053913,-0.171773762
0.912452087,1.759282947,-0.254598022,-0.29214856
0.930489587,1.599493384,-0.324905425,-0.375239104
0.948527087,1.418398499,-0.433562309,-0.397609651
0.966564587,1.237303734,-0.370711744,-0.41784966
0.984602087,1.050882578,-0.286555916,-0.479634941
1.002640056,0.907072008,-0.11930953,-0.488157064
1.020678024,0.794154048,0.020240009,-0.51798445
1.038715993,0.660996079,0.066046342,-0.557399213
1.056753545,0.519316018,0.223705366,-0.593618155
1.074791045,0.406398088,0.330231726,-0.539289713
1.092828545,0.356330693,0.388821214,-0.507331789
1.110866045,0.33502543,0.404800177,-0.549942374
1.128903545,0.266848534,0.393082291,-0.606401324
1.146941045,0.184823245,0.358993858,-0.645816088
1.164978545,0.190149561,0.367515951,-0.667121351
1.183016045,0.251934856,0.419713885,-0.66179502
1.201053545,0.27856645,0.530501306,-0.656468689
1.219091045,0.345678061,0.721183479,-0.653272927
1.237128545,0.3531349,0.793621421,-0.657534003
1.255166045,0.36591807,0.781903505,-0.644750834
1.273203545,0.444747567,0.746749818,-0.588291824
1.291241045,0.487358123,0.703073978,-0.512658119
1.309278545,0.484162331,0.677507699,-0.421045452
1.327317035,0.490553916,0.659398198,-0.357129633
1.345354535,0.565122366,0.623179257,-0.358194888
1.363392035,0.468183368,0.472977042,-0.37417385
1.381429535,0.182692722,0.357928574,-0.370978057
1.399467035,0.025033696,0.230096951,-0.366717011
1.417504535,-0.00585895,0.241814852,-0.310258031
1.435542035,-0.027164223,0.31851384,-0.238885373
1.453579535,-0.000532632,0.468715996,-0.187752724
1.471617035,-0.002663159,0.540088654,-0.151533753
1.489654535,-0.08149267,0.493217051,-0.115314789
1.507692035,-0.2093243,0.427170724,-0.066312663
1.525729535,-0.363787532,0.202400088,-0.05139897
1.543767035,-0.576840282,0.217313781,-0.02476738
1.561804535,-0.874048829,0.240749583,0.00719053
1.579829847,-1.617602825,-0.190682188,-0.081226356
1.597872399,-2.389919043,-1.117461562,-0.097205304
1.615918024,-1.929725051,-2.000565052,-0.313453823
1.633955524,-0.882570922,-1.146223664,-0.106792681
1.651993024,-0.875114083,0.041545283,-0.084422141
1.670030524,-1.239434242,-0.427170724,0.125434801
1.688068024,-1.745434523,-0.383494914,0.138217956
1.706105524,-2.299371481,-0.667920291,-0.058855817
1.724143024,-2.431464195,-1.794969201,0.124369532
