Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.01335365,-3.770269156,-14.12638855,11.74715042
0.03139162,-6.145317078,-15.19899082,15.49168205
0.04942959,-3.339312792,-15.71613884,9.32421875
0.06746756,-2.185307503,-10.68831539,7.121552944
0.08550552,-4.177283287,-8.55747509,6.695384979
0.10354349,-6.643311024,-15.60600567,8.103176117
0.12158146,-4.062361717,-20.34652519,-9.700108528
0.13961943,-8.970475197,-14.83986092,-4.183867455
0.1576574,-2.391208887,-4.808155537,-6.28597641
0.17569886,0.414795458,-2.332551003,-5.24210453
0.19371193,7.36276865,-2.093130827,-11.38083744
0.21177235,7.314884663,-8.940547943,-7.95234108
0.22981032,0.290296942,-17.89965057,-0.075417355
0.24784829,0.271143347,-17.12871742,4.669890404
0.26588625,1.362899303,-13.3458786,1.595735431
0.28392375,0.467467874,-9.816825867,-0.195127443
0.30196125,-0.935534298,-7.676409245,-0.247799873
0.31999886,-0.782305419,-7.413046837,0.274136096
0.33803683,0.213682503,-8.677185059,1.318008065
0.3560748,2.445078373,-9.596558571,2.539050817
0.37411276,1.717241168,-8.313266754,1.595735431
0.39215073,0.625485182,-7.010821342,-0.52073884
0.4101887,-0.092775315,-7.470507622,-1.952471495
0.42822667,-2.089539528,-8.787319183,-0.645237386
0.44626464,-1.979406238,-9.610923767,1.33716166
0.46430261,-1.289876223,-9.965266228,1.854309201
0.48234058,-0.016160861,-11.10969448,2.649184227
0.50037854,0.611119986,-12.26369953,1.935712099
0.51841651,0.271143347,-12.42171669,-0.089782566
0.53645448,0.41000703,-12.93407631,-0.549469292
0.55449245,1.741183162,-13.21659184,1.514332533
0.57253042,1.616684675,-13.44643497,1.916558504
0.59056839,0.749983668,-13.43206978,4.128800869
0.60860636,1.022922635,-13.47995377,5.862202644
0.62664433,1.578377485,-12.9771719,3.961206675
0.6446823,-0.054468088,-11.70345688,4.253299236
0.66272026,-3.387196779,-12.94365311,1.52390933
0.68075802,-0.715267777,-14.99308968,-6.13274765
0.69879167,-2.04165554,-16.04174995,-5.222950935
0.71683511,-8.649652481,-18.9243679,-3.805583715
0.73487308,-9.875483513,-17.35377312,0.470460624
0.75291104,-5.843647957,-15.05055046,2.778470993
0.77094896,-1.950675845,-14.15511894,0.096965171
0.78898646,0.529717147,-11.29644203,-2.890998602
0.80702396,1.463455796,-10.54466248,-1.392228246
0.82506162,0.161010072,-8.538321495,-2.436100245
0.84309959,-0.284311444,-5.947795391,-4.428076267
0.86113756,-0.729632974,-3.457825899,-4.772840977
0.87917552,-0.715267777,-1.475426793,-5.021838188
0.89721349,-1.294664621,-0.690128624,-4.179079056
0.91525146,-0.619499683,-0.18734628,-3.374627352
0.93327407,-0.533308446,-0.589572191,-2.503137827
0.95131464,-0.523731649,-1.312621117,-1.760935307
0.96936651,-0.466270775,-2.931101322,0.111330383
0.98740443,-1.22762692,-5.253477097,2.63960743
1.00544193,-2.783858061,-9.146449089,5.464765549
1.02347943,-3.171718597,-13.72416306,11.56519127
1.04151709,-3.224391222,-15.13195324,13.23634434
1.05955506,-5.039196014,-15.90288639,16.20036507
1.07759302,-3.760692358,-17.66980743,11.33534813
1.09563099,-3.19566083,-13.00590229,8.696937561
1.11366896,-5.61380434,-12.20145035,6.647500992
1.13170693,-6.523601055,-13.99710178,-6.683413982
