Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.00946776,-2.922550917,-1.670333385,-0.542485535
0.02750948,-3.004576206,-1.6458323,-0.552072883
0.04555119,-3.001380205,-1.518000722,-0.623445571
0.06359286,-3.012032986,-1.391234279,-0.686296105
0.08163411,-2.919354916,-1.28364265,-0.612792909
0.09967536,-2.65090847,-0.781903505,-0.256994844
0.11771494,-2.33026433,-0.581633925,0.127565324
0.13575651,-2.233325243,-0.371776998,0.332095951
0.15379994,-2.09910202,0.104395837,0.251135916
0.17184119,-1.95529139,0.479368627,0.032756858
0.18988244,-1.890310287,0.449541271,-0.283626437
0.20792369,-1.809350252,0.061785292,-0.47430864
0.22596494,-1.686844945,-0.586960256,-0.49987495
0.24400619,-1.481249094,-0.929975152,-0.442350715
0.26204744,-1.408811212,-1.005608916,-0.329432786
0.28008885,-1.219194293,-0.956606746,-0.232493788
0.29813057,-1.225585818,-1.030109882,-0.111053735
0.31617229,-1.184040546,-0.779772997,0.039148439
0.33421401,-0.936899364,-0.340884358,0.08921583
0.35225572,-0.757935107,-0.025566328,0.063649505
0.37027885,-0.686562419,0.178964287,0.170175865
0.38833859,-0.704671919,0.201334834,0.228765369
0.40637984,-0.673779249,0.120374791,0.294811726
0.42442109,-0.483097047,-0.076698981,0.411990702
0.44246234,0.090014778,-0.414387554,0.501472831
0.46050359,0.838895142,-0.458063364,0.471645474
0.47854484,1.508945942,-0.17470324,0.516386569
0.49658609,2.112950325,0.123570584,0.623978198
0.51462734,2.700975895,0.34408015,0.6708498
0.53266901,3.400854111,0.693486631,0.68363297
0.55071072,3.912180662,0.747815073,0.704938233
0.56875244,3.681018591,-0.379233867,0.348074883
0.58679416,2.835199118,-2.027196646,-0.015180007
0.60483562,2.597645283,-1.216531038,-0.207992733
0.62287687,3.447725773,0.372842282,-0.060986344
0.64091812,4.35106945,2.175268412,0.095607415
0.65895937,4.942290783,3.18620348,0.336356998
0.67700062,4.819785118,1.980325103,0.464188635
0.69504187,3.839742899,0.524109721,0.577106595
0.71308312,3.678888083,0.983238339,0.80933404
0.73112458,3.813111305,1.057806849,1.129978418
0.7491663,3.438138485,0.942758322,1.344096422
0.76720802,2.910832882,1.052480459,1.412273288
0.78524974,2.373939991,1.243162632,1.388837457
0.80329145,1.676192284,1.303882718,1.296159506
0.8213327,0.924116194,1.037566781,1.082041502
0.83937395,0.256195903,0.641288698,0.685763478
0.8574152,-0.397875965,0.054328445,0.217047468
0.87545645,-0.761130869,-0.220509574,-0.265516967
0.8934977,-1.081775188,-0.516652882,-0.778974056
0.91153895,-1.64210391,-0.762728751,-1.324388981
0.9295802,-1.805089235,-1.208009005,-1.621597528
0.94762182,-2.4889884,-0.823448777,-1.568334341
0.96566354,-2.95663929,-1.559545994,-1.353151083
0.98370526,-2.589123249,-1.212270021,-0.846085668
1.00174698,-2.422942162,-0.617852926,-0.76192981
