"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.500333325E-3,1.116074100E-1,5.859330893E-1,8.444843441E-2
1.548733332E-2,6.640513428E-3,4.783413708E-1,8.813585341E-2
2.547333334E-2,-1.281967312E-1,3.020651042E-1,5.580601841E-2
3.546033334E-2,-2.342608422E-1,6.353536248E-2,-1.771214046E-2
4.544633333E-2,-3.051811457E-1,-1.247727722E-1,-6.672753394E-2
5.543333333E-2,-3.464111388E-1,-1.290282309E-1,-7.871708274E-2
6.542033333E-2,-3.590885699E-1,6.340965629E-2,-4.805478081E-2
7.540633334E-2,-3.468689322E-1,3.657748401E-1,1.783741824E-2
8.539333334E-2,-3.325725496E-1,6.697040200E-1,8.681675047E-2
9.537933333E-2,-3.206626475E-1,9.036440849E-1,1.201350242E-1
1.053663333E-1,-3.031741977E-1,1.039188504E0,9.080377221E-2
1.153523333E-1,-3.239468634E-1,1.055277705E0,4.815511405E-2
1.253393333E-1,-3.513270319E-1,9.061593413E-1,-2.522384375E-2
1.353253333E-1,-3.757553995E-1,6.385979652E-1,-1.296120435E-1
1.453123333E-1,-3.782469928E-1,3.694240749E-1,-2.325838357E-1
1.552993333E-1,-3.829802275E-1,1.338597536E-1,-3.315338492E-1
1.652853333E-1,-3.831950426E-1,-3.327314928E-2,-3.899301887E-1
1.752723333E-1,-3.772407472E-1,3.577277064E-3,-3.123504519E-1
1.852583333E-1,-3.350823820E-1,3.707828522E-1,-1.232442558E-1
1.952453333E-1,-2.244831622E-1,7.843925357E-1,5.513586849E-2
2.052313333E-1,-6.626890600E-2,1.009896398E0,1.719054133E-1
2.152183333E-1,5.109553784E-2,1.150947809E0,2.528356612E-1
2.252043333E-1,8.456557244E-2,1.170699835E0,2.809959948E-1
2.351913333E-1,5.854755640E-2,1.150273085E0,2.726936042E-1
2.451773333E-1,1.771787927E-2,1.058940291E0,1.815865189E-1
2.551636667E-1,-4.888363183E-3,9.676647186E-1,3.668366373E-2
2.651496667E-1,2.187442034E-3,1.117644668E0,-3.284436837E-2
2.751366667E-1,4.444434866E-2,1.473515391E0,-2.645570971E-2
2.851236667E-1,7.160183042E-2,1.957405090E0,1.349192392E-2
2.951096667E-1,7.476752996E-2,2.418473244E0,4.390362650E-2
3.050966667E-1,6.796242297E-2,2.733647346E0,3.513582796E-2
3.150826667E-1,8.941924572E-2,2.726580858E0,3.903522715E-2
3.250696667E-1,1.102262586E-1,2.536394358E0,5.116379634E-2
3.350556667E-1,1.633690894E-1,2.255110979E0,1.967431046E-2
3.450426667E-1,2.722237408E-1,1.884645820E0,-3.329291567E-2
3.550286667E-1,3.444678485E-1,1.553313375E0,-6.067633629E-2
3.650156667E-1,3.074035048E-1,1.392415404E0,-4.463995993E-2
3.750016667E-1,2.092723995E-1,1.344863057E0,9.339386597E-3
3.849886667E-1,1.138737872E-1,1.384758830E0,6.829283386E-2
3.949756667E-1,8.052834868E-2,1.589321256E0,1.061275601E-1
4.049616667E-1,7.068558782E-2,1.875075102E0,1.383912265E-1
4.149486667E-1,9.725914150E-2,2.170594931E0,1.677006483E-1
4.249346667E-1,1.931969076E-1,2.397481918E0,1.594159305E-1
4.349216667E-1,3.473161757E-1,2.533305883E0,1.211574972E-1
4.449076667E-1,5.780332088E-1,2.566936970E0,7.835631073E-2
4.548946667E-1,8.201622367E-1,2.344745636E0,6.322582811E-2
4.648806667E-1,1.004554629E0,2.022273302E0,9.446724504E-2
4.748676667E-1,1.093188882E0,1.939457536E0,1.435740739E-1
4.848536667E-1,1.109373927E0,2.041293144E0,1.491754502E-1
4.948406667E-1,1.135848165E0,2.248453379E0,1.664050370E-1
5.048276667E-1,1.225116014E0,2.561386108E0,2.155579925E-1
5.148136667E-1,1.368545055E0,2.778620958E0,2.183583081E-1
5.248006667E-1,1.520539761E0,2.829108477E0,1.136172861E-1
5.347866667E-1,1.636304021E0,2.577673674E0,-9.869710356E-2
5.447736667E-1,1.638351321E0,2.031898022E0,-3.999373317E-1
5.547596667E-1,1.503100276E0,1.348032355E0,-7.516226768E-1
5.647466667E-1,1.281305194E0,7.791285515E-1,-1.058293700E0
5.747326667E-1,1.074504614E0,4.533952177E-1,-1.201981306E0
5.847196667E-1,9.823321700E-1,6.028224826E-1,-1.105180383E0
5.947056667E-1,1.029461622E0,1.117683411E0,-8.431130648E-1
6.046926667E-1,1.172086716E0,1.723950982E0,-5.875043273E-1
6.146796667E-1,1.337274432E0,2.253692389E0,-4.291852713E-1
6.246656667E-1,1.476789832E0,2.644690037E0,-4.192094803E-1
6.346526667E-1,1.514852285E0,2.949428797E0,-5.459364653E-1
6.446386667E-1,1.440137982E0,3.042905569E0,-7.711247802E-1
6.546256667E-1,1.341343760E0,2.728449106E0,-1.010761261E0
6.646116667E-1,1.334366918E0,2.061160803E0,-1.201396823E0
6.745986667E-1,1.422371387E0,1.289124489E0,-1.291439891E0
6.845846667E-1,1.642030239E0,8.322966695E-1,-1.172262192E0
6.945716667E-1,1.975779653E0,1.002691031E0,-7.795561552E-1
7.045576667E-1,2.293439627E0,1.548253059E0,-1.821703464E-1
7.145446667E-1,2.494922876E0,2.373623371E0,3.286172748E-1
7.245316667E-1,2.655099154E0,3.230750799E0,6.210146546E-1
7.345176667E-1,2.892003536E0,3.654141426E0,6.551345587E-1
7.445046667E-1,3.115416765E0,3.945250750E0,6.763376594E-1
7.544906667E-1,3.256145477E0,4.240215302E0,8.239380121E-1
7.644776667E-1,3.397144318E0,4.643188477E0,1.065577745E0
7.744636667E-1,3.636707306E0,5.159751892E0,1.372498870E0
7.844506667E-1,3.974385500E0,5.459306240E0,1.624043107E0
7.944366667E-1,4.353798866E0,5.429635525E0,1.957207441E0
8.044236667E-1,4.642395973E0,5.091417789E0,2.326078653E0
8.144096667E-1,4.651078701E0,4.684866428E0,2.455427170E0
8.243966667E-1,4.230037689E0,4.554587841E0,2.373747587E0
8.343836667E-1,3.649816751E0,4.456688881E0,2.346398592E0
8.443696667E-1,3.239132404E0,4.134410381E0,2.374542952E0
8.543566667E-1,3.101310253E0,3.801760912E0,2.424501181E0
8.643426667E-1,3.115603447E0,3.608773232E0,2.470217705E0
