"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.382298100E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.386326500E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.396458300E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.403538400E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.410618500E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.414646800E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.042247760E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.142955760E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.243663770E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.344676960E-1,8.862304688E-2,2.357177734E-1,1.249847412E-1
1.445079790E-1,8.418273926E-2,2.694854736E-1,1.269378662E-1
1.546092970E-1,7.502746582E-2,3.061065674E-1,1.264343262E-1
1.646190630E-1,6.330871582E-2,3.580017090E-1,1.831665039E-1
1.746288280E-1,5.506896973E-2,4.115753174E-1,2.512359619E-1
1.847911820E-1,5.027770996E-2,4.438323975E-1,2.830352783E-1
1.948619830E-1,4.013061523E-2,4.459228516E-1,2.736968994E-1
2.049327830E-1,1.499938965E-2,4.259338379E-1,2.845611572E-1
2.150035840E-1,-1.965332031E-2,3.857116699E-1,2.919006348E-1
2.250743850E-1,-5.895996094E-2,3.277587891E-1,2.465209961E-1
2.351451860E-1,-9.718322754E-2,2.511444092E-1,1.818847656E-1
2.452159870E-1,-1.306152344E-1,1.610717773E-1,1.332702637E-1
2.552867870E-1,-1.554565430E-1,6.605529785E-2,4.032897949E-2
2.662731150E-1,-1.656494141E-1,1.031494141E-2,-1.635742188E-2
2.756420120E-1,-1.620483398E-1,-1.756286621E-2,-8.316040039E-2
2.858348830E-1,-1.443023682E-1,-4.040527344E-2,-1.068420410E-1
2.960582720E-1,-1.141357422E-1,-3.895568848E-2,-9.109497070E-2
3.062511430E-1,-7.241821289E-2,-3.024291992E-2,-1.076354980E-1
3.165355670E-1,-2.804565430E-2,-4.664611816E-2,-1.953735352E-1
3.266063670E-1,7.720947266E-3,-4.670715332E-2,-3.153228760E-1
3.358531940E-1,2.929687500E-2,2.227783203E-3,-4.199218750E-1
3.459239940E-1,4.476928711E-2,9.613037109E-2,-5.145416260E-1
3.559947950E-1,4.850769043E-2,1.907806396E-1,-5.652313232E-1
3.660655960E-1,4.106140137E-2,2.094573975E-1,-6.251983643E-1
3.761363970E-1,3.254699707E-2,1.681671143E-1,-6.232147217E-1
3.862071970E-1,3.134155273E-2,8.778381348E-2,-6.468200684E-1
3.962779980E-1,1.298522949E-2,-1.844787598E-2,-6.879577637E-1
4.063793170E-1,-1.182556152E-2,-1.383514404E-1,-7.798461914E-1
4.164501170E-1,-4.702758789E-2,-2.404022217E-1,-8.349609375E-1
4.264904010E-1,-1.007843018E-1,-3.040924072E-1,-9.120483398E-1
4.365612010E-1,-1.513977051E-1,-3.284454346E-1,-1.012619019E0
4.466320020E-1,-1.727752686E-1,-5.212097168E-1,-1.127304077E0
4.566112500E-1,-1.574096680E-1,-8.022155762E-1,-1.224914551E0
4.667736040E-1,-1.123809814E-1,-1.030654907E0,-1.276092529E0
4.768444050E-1,-7.881164551E-2,-1.090759277E0,-1.305435181E0
4.869457230E-1,-7.385253906E-2,-1.029159546E0,-1.361389160E0
4.969860060E-1,-4.943847656E-2,-9.358673096E-1,-1.382415771E0
