"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.271720400E-2,-2.582046509E0,4.110412598E0,8.653884888E0
4.781364000E-2,-2.555725098E0,4.002746582E0,8.753189087E0
5.291007500E-2,-2.487533569E0,3.849594116E0,8.921890259E0
5.800651100E-2,-2.400192261E0,3.716796875E0,9.151596069E0
6.313346400E-2,-2.332000732E0,3.545715332E0,9.347808838E0
6.819938200E-2,-2.230300903E0,3.361465454E0,9.532058716E0
7.329581700E-2,-2.128601074E0,3.190368652E0,9.686401367E0
7.842277000E-2,-2.029312134E0,3.070739746E0,9.703140259E0
8.351920600E-2,-1.890518188E0,3.048004150E0,9.599060059E0
8.870719400E-2,-1.824722290E0,3.097061157E0,9.404037476E0
9.371207700E-2,-1.827117920E0,3.142517090E0,9.266448975E0
9.880851300E-2,-1.860610962E0,3.248992920E0,9.138442993E0
1.039049480E-1,-1.870178223E0,3.438034058E0,9.024780273E0
1.093065590E-1,-1.956329346E0,3.649795532E0,9.047515869E0
1.141283370E-1,-2.060409546E0,3.883102417E0,9.138442993E0
1.193468430E-1,-2.156127930E0,4.163055420E0,9.193466187E0
1.243212080E-1,-2.225509644E0,4.505233765E0,9.148010254E0
1.294481610E-1,-2.099899292E0,4.865356445E0,9.082199097E0
1.345140790E-1,-1.904876709E0,4.963455200E0,9.055892944E0
1.396105150E-1,-1.931198120E0,4.811508179E0,8.923080444E0
1.447374680E-1,-2.080749512E0,4.553085327E0,8.846511841E0
1.498339030E-1,-2.264999390E0,4.255187988E0,8.777114868E0
1.549303390E-1,-2.389419556E0,3.966842651E0,8.680206299E0
1.600267740E-1,-2.436080933E0,3.725173950E0,8.584503174E0
1.651232100E-1,-2.402587891E0,3.482299805E0,8.457687378E0
1.702196450E-1,-2.326019287E0,3.265747070E0,8.340438843E0
1.753160810E-1,-2.223129272E0,3.086288452E0,8.280609131E0
1.804430340E-1,-2.115447998E0,2.905624390E0,8.249511719E0
1.855394700E-1,-1.999389648E0,2.714202881E0,8.278213501E0
1.906359050E-1,-1.883346558E0,2.558670044E0,8.322479248E0
1.957323410E-1,-1.773269653E0,2.439025879E0,8.431365967E0
2.008287760E-1,-1.688323975E0,2.399551392E0,8.554595947E0
2.059252120E-1,-1.587829590E0,2.413909912E0,8.704147339E0
2.110216470E-1,-1.516036987E0,2.479705811E0,8.863265991E0
2.161180830E-1,-1.488525391E0,2.563461304E0,8.982910156E0
2.212450360E-1,-1.455032349E0,2.675918579E0,9.000854492E0
2.263414720E-1,-1.383239746E0,2.763259888E0,8.889587402E0
2.314379070E-1,-1.250442505E0,2.791976929E0,8.725677490E0
2.365343430E-1,-1.121231079E0,2.764450073E0,8.546218872E0
2.416307780E-1,-1.044662476E0,2.730957031E0,8.388290405E0
2.467272140E-1,-1.006378174E0,2.692672729E0,8.293777466E0
2.518541670E-1,-1.027908325E0,2.663955688E0,8.330856323E0
2.569506020E-1,-1.115249634E0,2.674728394E0,8.446914673E0
2.620470380E-1,-1.263595581E0,2.727371216E0,8.585693359E0
2.671434740E-1,-1.439468384E0,2.817092896E0,8.749603271E0
2.722399090E-1,-1.580657959E0,2.903244019E0,8.915908813E0
2.773363450E-1,-1.665588379E0,2.977416992E0,9.046310425E0
2.824327800E-1,-1.754135132E0,3.034835815E0,9.107330322E0
2.875292160E-1,-1.791213989E0,3.064758301E0,9.115707397E0
2.926256510E-1,-1.791213989E0,3.095855713E0,8.985290527E0
2.977220870E-1,-1.823516846E0,3.147308350E0,8.711318970E0
3.028490400E-1,-1.901290894E0,3.233444214E0,8.322479248E0
