"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.882892600E-2,-2.791412354E0,2.702239990E0,9.469848633E0
4.383380800E-2,-2.753128052E0,2.739334106E0,9.590682983E0
4.893024400E-2,-2.737579346E0,2.768035889E0,9.611022949E0
5.405719700E-2,-2.771072388E0,2.799148560E0,9.515304565E0
5.915363300E-2,-2.823715210E0,2.836242676E0,9.319091797E0
6.425006800E-2,-2.899093628E0,2.884094238E0,9.162368774E0
6.934650400E-2,-2.944564819E0,2.924774170E0,9.040328979E0
7.444293900E-2,-2.902679443E0,2.947509766E0,8.998458862E0
7.953937500E-2,-2.866790771E0,2.983398438E0,9.091781616E0
8.463581000E-2,-2.798599243E0,2.969039917E0,9.249710083E0
8.979328100E-2,-2.699295044E0,2.951095581E0,9.419601440E0
9.485919900E-2,-2.601196289E0,2.927169800E0,9.608627319E0
9.995563500E-2,-2.512649536E0,2.903244019E0,9.721084595E0
1.050520700E-1,-2.401382446E0,2.860168457E0,9.782104492E0
1.101485060E-1,-2.292510986E0,2.806335449E0,9.801254272E0
1.152449410E-1,-2.235092163E0,2.689086914E0,9.806030273E0
1.203413770E-1,-2.241073608E0,2.517990112E0,9.778518677E0
1.254378120E-1,-2.308074951E0,2.370834351E0,9.733047485E0
1.305342480E-1,-2.391815186E0,2.327758789E0,9.698364258E0
1.356612010E-1,-2.322418213E0,2.294265747E0,9.670837402E0
1.407576360E-1,-2.159713745E0,2.281097412E0,9.661270142E0
1.458540720E-1,-1.925216675E0,2.253585815E0,9.701950073E0
1.509505080E-1,-1.717041016E0,2.232055664E0,9.789291382E0
1.560469430E-1,-1.567489624E0,2.205734253E0,9.925674438E0
1.611433790E-1,-1.638076782E0,2.277511597E0,9.951995850E0
1.662398140E-1,-1.721832275E0,2.320587158E0,9.925674438E0
1.713362500E-1,-1.813949585E0,2.398345947E0,9.875427246E0
1.764326850E-1,-1.878555298E0,2.533538818E0,9.814407349E0
1.815291210E-1,-1.898895264E0,2.675918579E0,9.751007080E0
1.866255560E-1,-1.857025146E0,2.789581299E0,9.656478882E0
1.917525100E-1,-1.781646729E0,2.866149902E0,9.591873169E0
