"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.331217500E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.350504600E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.372843500E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.379923600E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.405314200E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.424601300E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.043778490E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.143876150E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.245499680E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.337967940E-1,4.074096680E-2,5.445861816E-2,-4.586791992E-2
1.437760420E-1,1.388549805E-2,3.842163086E-2,-2.095031738E-2
1.539689130E-1,-4.460144043E-2,3.695678711E-2,5.821228027E-2
1.640091970E-1,-9.878540039E-2,4.243469238E-2,1.243133545E-1
1.740799970E-1,-1.240997314E-1,1.730346680E-2,1.221923828E-1
1.841507980E-1,-1.178283691E-1,-6.733703613E-2,8.084106445E-2
1.942215990E-1,-1.531066895E-1,-1.834564209E-1,7.318115234E-2
2.042924000E-1,-2.471923828E-1,-2.449035645E-1,1.776428223E-1
2.143632000E-1,-3.455505371E-1,-2.252960205E-1,2.936248779E-1
2.244340010E-1,-3.696289062E-1,-1.941680908E-1,2.480163574E-1
2.345048020E-1,-3.421478271E-1,-1.682128906E-1,1.141357422E-1
2.445756030E-1,-3.001556396E-1,-1.645355225E-1,-5.107116699E-2
2.546464040E-1,-2.695465088E-1,-1.550140381E-1,-1.402130127E-1
2.648087570E-1,-2.316741943E-1,-1.808624268E-1,-2.505798340E-1
2.747880050E-1,-2.000885010E-1,-1.877899170E-1,-3.399353027E-1
2.847977710E-1,-1.817321777E-1,-1.846008301E-1,-3.620758057E-1
2.949601240E-1,-1.550598145E-1,-2.007904053E-1,-3.744964600E-1
3.050004070E-1,-1.304473877E-1,-2.201538086E-1,-3.761291504E-1
3.150712080E-1,-1.001586914E-1,-2.294006348E-1,-4.087524414E-1
3.251420090E-1,-6.182861328E-2,-2.812500000E-1,-4.566040039E-1
3.352128100E-1,-3.012084961E-2,-3.907012939E-1,-4.771575928E-1
3.452836110E-1,-1.907348633E-3,-5.538940430E-1,-5.288696289E-1
3.553849290E-1,6.164550781E-3,-6.859436035E-1,-5.434570312E-1
3.654557300E-1,-6.622314453E-3,-7.371063232E-1,-5.191802979E-1
3.754960130E-1,-4.008483887E-2,-7.390289307E-1,-4.761962891E-1
3.855668140E-1,-1.061096191E-1,-7.015380859E-1,-3.916778564E-1
3.956376150E-1,-2.014617920E-1,-6.284027100E-1,-2.770385742E-1
4.057084150E-1,-3.189392090E-1,-5.123443604E-1,-9.889221191E-2
4.158097340E-1,-4.275817871E-1,-3.836059570E-1,1.063842773E-1
4.257889820E-1,-4.748077393E-1,-3.063659668E-1,2.015686035E-1
4.358292650E-1,-4.416198730E-1,-2.982940674E-1,1.688232422E-1
4.459916180E-1,-3.512268066E-1,-3.664093018E-1,2.740478516E-2
4.560929370E-1,-2.444610596E-1,-5.203552246E-1,-1.745758057E-1
4.663163250E-1,-1.555786133E-1,-7.151489258E-1,-3.193664551E-1
4.765091970E-1,-8.897399902E-2,-9.175872803E-1,-3.877563477E-1
4.867325850E-1,-4.493713379E-2,-1.082916260E0,-3.695220947E-1
4.968033860E-1,-9.979248047E-3,-1.221084595E0,-3.951416016E-1
5.070878100E-1,1.124572754E-2,-1.266311646E0,-3.962860107E-1
5.172806810E-1,2.548217773E-2,-1.221939087E0,-4.293060303E-1
5.273514820E-1,3.024291992E-2,-1.131835938E0,-4.902191162E-1
5.375138350E-1,1.875305176E-2,-1.028503418E0,-5.213317871E-1
5.466996260E-1,-5.508422852E-3,-9.366302490E-1,-5.485687256E-1
5.567704270E-1,-4.405212402E-2,-8.530120850E-1,-5.229339600E-1
5.668412280E-1,-9.649658203E-2,-8.095092773E-1,-4.658508301E-1
5.769120290E-1,-1.729431152E-1,-7.892456055E-1,-3.257751465E-1
5.869828290E-1,-2.780914307E-1,-7.839813232E-1,-6.852722168E-2
5.970536300E-1,-4.060821533E-1,-7.796325684E-1,3.536529541E-1
6.071549480E-1,-5.094299316E-1,-7.920074463E-1,7.430572510E-1
6.171952320E-1,-5.247192383E-1,-8.568115234E-1,8.552398682E-1
6.272660320E-1,-4.504547119E-1,-9.371490479E-1,6.994018555E-1
6.373368330E-1,-3.296356201E-1,-1.032089233E0,3.229675293E-1
6.474076340E-1,-2.224273682E-1,-1.147491455E0,-7.711791992E-2
6.574784350E-1,-1.598358154E-1,-1.266952515E0,-3.331756592E-1
6.677933760E-1,-1.409454346E-1,-1.414794922E0,-5.127716064E-1
6.776200360E-1,-1.287536621E-1,-1.595123291E0,-6.327056885E-1
6.876908370E-1,-1.205291748E-1,-1.770416260E0,-6.671905518E-1
6.977616380E-1,-1.236419678E-1,-1.919082642E0,-7.022705078E-1
