Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.035596933,-1.232415318,9.231443405,2.850297213
0.053654277,-1.122282028,9.183559418,2.649184227
0.071692245,-1.098340034,9.250597,2.658761024
0.089730214,-1.155800819,9.308057785,2.759317398
0.107768183,-1.141435623,9.312846184,2.855085611
0.125806152,-1.29945302,9.073426247,2.8981812
0.14384412,-1.117493629,9.09736824,2.998737574
0.161882089,-1.083974838,9.331999779,2.869450808
0.179920058,-1.04087913,9.399037361,2.744952202
0.197958027,-0.983418346,9.44213295,2.816778183
0.215995995,-0.988206744,9.490016937,2.663549423
0.234033964,-0.830189467,9.499593735,2.778470993
0.252071933,-0.992995143,9.154829025,2.984372377
0.270109902,-1.222838521,9.006388664,3.151966572
0.28814787,-1.854907751,8.618527412,3.90374589
0.306185839,-1.716044068,9.035119057,4.133589268
0.324224277,-1.644217968,9.159617424,3.453635931
0.342262714,-1.404797792,9.241020203,3.027467966
0.360301152,-1.064821243,9.331999779,1.605312228
0.378339277,-0.997783542,9.011177063,0.796072066
0.396377245,-1.289876223,9.217078209,1.11689508
0.414415214,-1.792658567,9.456498146,1.571793437
0.432453183,-2.261922121,9.351153374,2.41455245
0.450491152,-2.012925148,9.308057785,3.654748917
0.46852912,-1.510142684,9.375095367,4.559757233
0.486567089,-1.385644197,9.159617424,4.49271965
0.504605058,-1.136647224,8.944138527,3.927687883
0.522643027,-1.495777488,8.987235069,3.290830135
0.540680995,-1.89800334,9.226655006,3.070563793
0.558718964,-2.027290344,9.461286545,2.630030632
0.576747506,-1.917157054,10.37587166,2.950853586
0.594786048,-0.341772288,11.28087997,3.113659382
0.612834068,1.07559514,11.44368553,2.572569609
0.630872037,0.874482155,9.806051254,2.261323452
0.648910006,0.462679476,8.953716278,2.586935043
0.666947975,0.194528893,8.652046204,2.907757998
0.684985943,-0.461482376,8.364742279,3.142389774
0.703023912,-1.232415318,8.273762703,3.286041737
0.721061881,-1.78308177,8.465298653,3.314772367
0.73909985,-1.668160081,8.972869873,2.754528999
0.757137818,-1.78308177,9.087791443,2.223016262
0.775175787,-1.936310649,8.939350128,2.428917646
0.793213756,-1.409586191,9.121310234,2.783259392
0.811251725,-0.772728622,9.413402557,2.912546396
0.829287923,-0.279523045,9.470863342,2.668337822
