Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.097747089,-0.014381059,0.058589499,-0.015180007
0.115785058,-0.009054741,0.050067391,-0.02157159
0.133823027,0.000532632,0.034088437,0.000798948
0.151860995,0.014381059,0.034088437,-0.00133158
0.169898964,0.021837905,0.028762119,-0.01304948
0.187936933,0.017576851,0.002130527,-0.02476738
0.205974902,0.039947387,-0.0117179,-0.035420015
0.22401287,0.072970562,-0.100134783,-0.027963171
0.242050839,0.101732679,-0.171507448,-0.020506324
0.260088808,0.108124256,-0.153397963,0.006125266
0.278126777,0.082557932,-0.015978955,0.039148439
0.296164745,0.118776895,0.236488521,0.107325316
0.314202923,0.189084292,0.462324411,0.088150568
0.33224136,0.20293273,0.47510758,0.064714767
0.350279798,0.170974821,0.383494914,0.100933731
0.368318183,0.082557932,0.189616934,0.187220082
0.386356152,0.112385318,-0.115048476,0.288420141
0.40439412,0.211454839,-0.312122256,0.32676962
0.422432089,0.271109611,-0.501739204,0.317182243
0.440470058,0.206128508,-0.691356123,0.284159064
0.458508027,0.009054741,-0.558198154,0.196807459
0.476545995,-0.169909552,-0.170442179,0.060453713
0.494583964,-0.249804318,0.128896907,-0.063116871
0.512621933,-0.30945909,0.336623311,-0.155794814
0.530659902,-0.37870121,0.43143177,-0.16112113
0.54869787,-0.462857038,0.443149686,-0.103596889
0.566735839,-0.539556027,0.315318048,-0.023702117
0.584758652,-0.456465483,0.018109482,0.058323186
0.602812975,-0.25300011,-0.245010644,0.017843166
0.620850943,-0.08149267,-0.409061253,-0.121706374
0.638888912,0.098536886,-0.623179257,-0.133424267
0.656926881,0.276435912,-0.661528707,-0.023702117
0.67496485,0.351004362,-0.498543382,0.086020038
0.693002818,0.331829637,-0.221574843,0.213851675
0.711040787,0.277501166,0.082025297,0.320378035
0.729078756,0.217846409,0.353667527,0.343813837
0.747116725,0.093210571,0.515587628,0.205329567
0.765154693,-0.022903169,0.448475987,0.068975821
0.783192662,-0.079362139,0.333427519,0.021038957
0.801230631,-0.048469495,0.247141168,-0.078030564
0.8192686,0.000532632,0.223705366,-0.182426393
0.8373011,0.045273706,0.17470324,-0.222906411
0.85534412,0.093210571,0.074568458,-0.165382177
0.873383808,0.127299011,-0.017044218,-0.080161087
0.891421777,0.133690581,-0.076698981,-0.030093698
0.909459745,0.125168473,-0.079894774,-0.007723161
0.927497714,0.121972688,-0.040480018,0.016777903
0.945535683,0.092145301,0.008522109,0.052996866
0.963573652,0.025033696,0.071372665,0.087085299
0.98161162,-0.038882121,0.110787422,0.103064254
0.999649589,-0.070840031,0.122505322,0.0988032
1.017687558,-0.070840031,0.125701115,0.078563191
1.035725527,-0.048469495,0.138484269,0.062584236
1.053763495,-0.047404233,0.139549539,0.032756858
1.071801464,-0.063383184,0.099069521,0.002929475
1.089839433,-0.098536886,0.091612674,-0.01624527
1.10787761,-0.139016911,0.094808467,-0.05139897
1.125916048,-0.152865335,0.086286359,-0.070573717
1.143954485,-0.150734812,0.067111611,-0.07376951
1.161992923,-0.129429534,0.015978955,-0.080161087
1.180030891,-0.086818986,-0.061785292,-0.080161087
1.19806886,-0.034621067,-0.092677936,-0.075900033
1.216106829,0.004793686,-0.017044218,-0.057790551
1.234144798,0.018642114,0.026631592,-0.02476738
1.252182766,0.025033696,0.026631592,0.015712639
1.270220735,0.023968432,0.049002126,0.024234748
1.288258704,0.014381059,0.060720026,0.008255793
1.306296673,-0.021837905,0.058589499,0.002929475
1.324334641,-0.035686333,0.028762119,-0.007723161
1.34237261,-0.021837905,0.042610545,-0.02476738
1.360410579,0.012250531,0.07563372,-0.020506324
1.378448548,0.035686333,0.061785292,-0.00452737
1.396486516,0.048469495,-0.054328445,0.012516848
1.414524798,0.03781686,-0.196008503,0.009321057
1.432563235,0.045273706,-0.240749583,-0.003462107
1.450601673,0.055926342,-0.156593755,0.003994739
1.468640006,0.033555806,-0.088416882,0.019973693
1.486677975,-0.012250531,-0.057524238,0.006125266
1.504715943,-0.034621067,-0.04367581,-0.017310534
1.522753912,-0.058056869,-0.070307404,0.011451584
1.540791881,-0.082557932,-0.103330575,0.058323186
1.55882985,-0.080427408,-0.17470324,0.070041083
1.576857766,-0.061252661,-0.143810585,0.023169484
1.594895631,-0.025033696,0.008522109,-0.022636853
1.612944537,-0.00585895,0.104395837,-0.03968107
1.630982506,-0.004793686,0.117178999,-0.037550543
1.649020475,0.023968432,0.064981081,-0.020506324
1.667058443,0.020772642,-0.072437927,-0.00133158
1.685096412,0.047404233,-0.236488521,-0.010918953
