Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.016420261,-0.16564849,0.280164331,0.919056177
0.034463386,-0.430899143,0.674311876,0.970188856
0.052506511,-0.619450808,1.217596292,1.067127824
0.070549636,-0.617320299,1.728922844,1.036235213
0.088592761,-0.456465483,1.963280916,0.930774093
0.106635886,-0.372309655,1.867407203,0.880706728
0.124679011,-0.208259046,1.742771268,0.789094031
0.142723386,0.125168473,1.451954365,0.614390791
0.160766511,0.656735063,1.081242561,0.431165457
0.178809636,1.194693208,0.833036184,0.32144329
0.196852761,1.524924874,0.851145625,0.060453713
0.214895886,1.595232248,1.621331215,-0.609597147
0.232939011,1.840242982,2.284990549,-1.36806488
0.250982136,1.643169165,2.523609638,-1.911349297
0.269025261,1.36726594,2.36488533,-2.300170422
0.287068386,0.817589819,1.859950304,-2.401370525
0.305111511,0.532099187,0.984303594,-2.082856655
0.323154636,0.970987797,0.127831638,-1.754755497
0.341197761,1.164865732,0.222640097,-1.671664953
0.359240886,0.867657244,0.348341197,-1.678056598
0.377284688,0.52251184,-0.240749583,-1.602422833
0.395323698,0.041012648,-0.650876105,-1.359542727
0.413369636,-0.700410843,-0.196008503,-1.364868999
0.431413386,-1.253282666,0.465520203,-1.456481695
0.449456511,-1.612276554,1.433844805,-1.602422833
0.467499636,-1.79337132,2.467150688,-1.669534445
0.485542761,-1.992575645,2.850645542,-1.329715371
0.503585886,-2.158756733,2.363820076,-0.864195108
0.521629011,-2.307893753,2.093243122,-0.696948767
0.539672136,-2.402702093,2.352102041,-0.716123462
0.557715261,-2.401636839,2.743053913,-0.645816088
0.575758386,-2.326003075,2.891125441,-0.356064379
0.593801511,-2.111885071,2.585394859,-0.046072651
0.611844636,-1.506815434,1.840775609,0.227700099
0.629880156,-0.172040075,1.94623673,0.403468609
0.647916719,0.728107691,1.572329164,-0.097205304
0.665974063,0.891093016,1.33264482,-0.664990842
0.684017188,1.209606886,0.84475404,-0.686296105
0.702060313,1.163800478,-0.354732782,-0.64901185
0.720103438,0.143277958,-1.110004663,-0.496679187
0.738146563,-0.969922543,0.071372665,-0.280430645
0.756189688,-1.152082682,0.218379051,0.032756858
0.774232813,-1.233042717,0.219444305,0.154196918
0.792275938,-1.278849006,0.476172835,-0.114249528
0.810319063,-1.448225975,0.692421377,-0.072704241
0.828362188,-1.590971231,0.695617139,0.227700099
0.846405313,-1.655952334,0.495347589,0.479102314
0.864448438,-1.629320741,0.570981324,0.574976027
0.882491563,-1.497228026,1.440236449,0.515321314
0.900534688,-1.387505889,2.338253736,0.375771761
0.918577813,-1.250086904,3.046653986,0.207460091
0.936620938,-0.819720388,2.893255949,-0.05139897
0.954664063,-0.680170834,1.205878496,-0.02476738
0.972707188,-1.068992019,0.122505322,-0.220775887
0.990750313,-1.376853228,0.514522314,-0.484961271
1.008793438,-1.342764854,0.548610747,-0.26125592
1.026836563,-1.114798427,0.280164331,0.099868469
1.044879688,-0.913463593,-0.149136916,0.31398645
1.062922813,-0.818655133,-0.708400309,0.495081276
1.080965938,-0.785631955,-1.025848866,0.600542367
1.099009063,-0.852743566,-1.13237524,0.578171849
1.117052188,-0.963530958,-1.09615624,0.511060238
1.135095313,-0.963530958,-0.660463452,0.398142278
1.153138438,-0.75367403,0.052197918,0.309725404
1.171181563,-0.340351731,0.646615028,0.202133775
1.189224688,0.212520093,0.790425599,0.11158637
1.207267813,0.702541351,0.498543382,0.121173739
1.225310938,1.001880407,-0.019174745,0.196807459
1.243354063,1.029577255,-0.561393917,0.298007518
1.261397188,1.065796256,-0.574177086,0.411990702
1.279440313,1.206411123,-0.189616934,0.401338071
1.297483438,1.239434242,0.836231947,0.133956909
1.315526563,1.145691037,2.049567223,-0.302801192
1.333569688,1.23623848,2.906039238,-0.659664512
1.351612813,1.644234419,3.305513144,-0.840759337
1.369655938,2.17367053,3.082872868,-0.837563515
1.387682031,2.935333967,2.825079203,-0.867390931
1.405739271,3.322024584,2.444780111,-0.863129854
1.423785573,2.797914982,1.306013227,-0.94408989
1.441828698,1.882853508,0.583764494,-1.0186584
1.459871823,1.102015257,0.825579345,-0.738494039
1.477914948,0.739825606,1.643701792,-0.480700225
1.495958073,0.768587709,2.162485123,-0.521180213
1.514001198,0.769652963,1.976064086,-0.742755055
1.532044323,0.616255045,1.299621701,-0.983504653
1.550087448,0.315850675,0.547545493,-1.16246891
1.568130573,0.050600022,0.086286359,-1.24982059
1.586173698,-0.176301137,0.338753849,-1.414936423
1.604216823,-0.430899143,0.905474067,-1.599227071
1.622259948,-0.796284556,1.395495415,-1.666338682
1.640303073,-1.243695259,1.704421878,-1.680187106
1.658346198,-1.618668079,1.765141845,-1.651425004
1.676389323,-1.854091406,1.493499637,-1.576856494
1.694432448,-2.04264307,1.278316379,-1.379782677
1.712475573,-2.176866293,0.958737254,-1.09322679
1.730518698,-2.242912531,0.521979213,-0.912131965
1.748561823,-2.310024261,0.27483803,-0.807736158
1.766604948,-2.275935888,0.241814852,-0.623445571
1.784648073,-1.936116695,0.338753849,-0.404001236
1.802691198,-1.500423789,0.796817184,-0.226102203
1.820734323,-1.213867903,1.402952194,-0.246342212
1.838777448,-1.025316238,1.832253456,-0.540354967
1.856820573,-0.549143434,1.796034455,-0.854607761
1.874863698,-0.050600022,1.546762824,-0.836498261
1.892906823,0.041012648,1.398691177,-0.719319284
1.910949948,-0.087884247,1.268728971,-0.532898128
1.928993073,-0.131560057,1.450889111,-0.187752724
1.947036198,-0.552339196,1.422127008,0.044474758
1.965079323,-0.70999819,0.826644599,-0.027963171
1.983122448,-0.816524565,0.478303373,-0.253799051
2.001165573,-0.903876185,0.628505528,-0.525441289
2.019208698,-1.044491053,0.732901394,-0.425306499
2.037251823,-1.230912089,0.512391806,0.003994739
2.055294948,-1.385375381,-0.063915819,0.320378035
2.073338073,-1.51107645,-0.070307404,0.411990702
2.091381198,-1.409876466,0.763794005,0.328900158
2.109424323,-1.331046939,1.883386135,0.209590629
2.127463906,-1.316133261,2.591786385,0.185089558
2.14549599,-1.234107971,2.329731464,0.196807459
2.163554271,-0.963530958,1.015196204,0.013582111
2.181597396,-0.476705492,-0.398408592,-0.19307904
2.199640521,-0.08149267,-0.248206422,-0.232493788
2.217683646,-0.413854927,0.61359185,-0.28682223
2.235726771,-0.84848249,1.139832139,-0.218645364
2.253769896,-0.87937516,0.764859319,-0.125967428
2.271813021,-0.827177227,0.336623311,-0.064182132
2.289856146,-0.7664572,-0.079894774,0.077497929
2.307899271,-0.665257156,-0.445280194,0.156327441
2.325942396,-0.588558137,-0.791490912,0.151001126
2.343985521,-0.564057112,-1.008804679,0.105194785
2.362028646,-0.59175396,-1.087634206,0.074302137
2.380071771,-0.615189731,-1.055676222,0.064714767
2.398114896,-0.581101298,-0.953410983,0.039148439
2.416158021,-0.490553916,-0.84475404,0.090281092
2.434201146,-0.372309655,-0.698812962,0.179763243
2.452244271,-0.212520093,-0.411191762,0.300138027
2.470287396,0.04953476,0.093743198,0.43968758
2.488330521,0.39681071,0.481499165,0.535561323
2.506373646,0.417050719,-0.091612674,0.550475001
2.524416771,0.39148438,-0.896951973,0.485493898
2.542459896,0.40959388,-1.361406922,0.309725404
2.560503021,0.417050719,-1.604287028,0.116912685
2.578546146,0.377635956,-1.588308096,-0.036485281
2.596589271,0.389353871,-1.373124838,-0.19201377
2.614632396,0.511859179,-1.078046799,-0.38695702
2.63267599,0.706802428,-0.686029792,-0.585096061
2.650718646,0.978444636,-0.08735162,-0.643685579
2.668761302,1.409876466,0.667920291,-0.70547086
2.686804271,2.030925035,1.460476398,-0.679904521
2.704847865,2.66901803,2.034653664,-0.484961271
2.722891459,2.705236912,2.032522917,-0.201601148
2.740934948,2.936399221,1.616004944,-0.270843267
2.758978073,3.143060446,0.97045517,-0.389087558
2.777021198,2.78193593,0.903343558,-0.340085417
2.795064323,1.744369268,1.65861547,-0.099335834
2.813107448,0.891093016,1.236771107,0.257527471
2.831150573,0.632233977,0.27483803,0.358727545
2.849193698,0.846351981,-0.406930715,0.276702225
2.867236823,0.867657244,-0.051132657,0.083889514
2.885278438,0.543817103,0.608265519,-0.406131774
2.903321042,0.200802192,0.288686454,-0.866325676
2.921366406,-0.099602148,-0.399473876,-1.074052095
2.939409531,-0.370179117,-0.493217051,-1.1677953
2.957452656,-0.582166553,-0.092677936,-1.296692133
2.975495781,-0.793088794,0.512391806,-1.291365862
2.993538906,-0.914528847,0.936366737,-1.26260376
3.011582031,-0.85380882,1.007739425,-1.29349637
3.029625156,-0.631168723,0.968324661,-1.342498541
3.047668281,-0.463922322,0.821318269,-1.239167929
3.065711406,-0.508663416,0.480433911,-1.001614094
3.083754531,-0.812263548,1.008804679,-0.762995064
3.101797656,-0.972053051,1.286838531,-0.60533607
3.119840781,-0.914528847,1.137701511,-0.462590724
3.137867188,-0.730238199,1.035436273,-0.26125592
3.155924479,-0.642886579,0.983238339,-0.058855817
3.173970469,-0.700410843,0.778707743,0.071106344
3.192013594,-0.79202354,0.472977042,0.129695848
3.210056719,-0.81013298,0.201334834,0.165914819
3.228099844,-0.690823495,0.04367581,0.233026415
3.246142969,-0.436225474,-0.133157954,0.276702225
3.264186094,0.308393836,-0.223705366,0.15206638
3.282229219,1.241564751,0.116113737,-0.222906411
3.300272344,0.408528596,0.133157954,-0.409327567
3.318315469,-0.673779249,-0.233292744,-0.233559057
3.336358594,-1.191497326,-0.502804458,0.009321057
3.354401719,-1.080709934,-0.607200265,0.110521101
3.372444844,-0.976314127,-0.433562309,0.342748582
3.390487552,-0.734499276,0.094808467,0.619717121
3.408530313,-0.357395947,0.809600353,0.625043452
3.426574375,-0.3531349,0.756337166,0.47058022
3.444617761,-0.607732892,0.028762119,0.306529611
3.462660886,-0.768587709,-0.103330575,0.092411622
3.480704011,-0.764326692,0.295078039,-0.078030564
3.498747136,-0.685497165,0.575242341,-0.215449572
3.516790261,-0.680170834,0.238619059,-0.195209563
