Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.01438745,3.551199675,-9.725846291,-0.760159016
0.03243104,3.101089716,-9.577404976,-1.124077678
0.05047464,2.579153776,-9.299677849,-1.157596469
0.06851823,2.277484417,-9.261370659,-0.717063427
0.08656182,2.363675594,-9.438541412,-0.046686932
0.10460542,1.913565755,-9.778518677,-0.017956512
0.12264901,2.047641039,-9.80246067,0.293289721
0.14069193,2.349310398,-10.4632597,1.021126986
0.15873537,3.326144695,-11.0378685,1.878251195
0.1767799,4.777030945,-11.64120674,2.577358246
0.19482307,5.983708382,-12.34031391,3.003525972
0.2128662,7.147290707,-12.58452225,3.693056107
0.23090932,7.391499043,-11.83274364,4.272452831
0.2489526,6.515221596,-10.82717896,3.961206675
0.2669962,4.556764603,-10.69789219,3.319560766
0.28503979,2.871246338,-10.42016411,3.123236179
0.30308339,3.771466255,-9.926959038,3.242946148
0.32112698,3.75231266,-9.558251381,0.638054729
0.33917057,2.483385801,-9.773730278,-2.234987259
0.35721417,0.802656114,-10.16637897,-3.479972124
0.37525776,0.836174965,-9.682749748,-2.694674015
0.3933001,1.803432465,-8.030751228,-0.003591303
0.41134432,2.670133352,-7.69556284,0.800860465
0.42938865,3.79061985,-8.035539627,0.652419984
0.44743177,5.461772442,-8.164826393,0.389057785
0.4654749,5.969343185,-8.107365608,0.140060797
0.48351802,6.658873558,-8.576628685,0.839167714
0.50156141,6.850409508,-8.873510361,1.835155606
0.519605,6.232705593,-8.777742386,1.921346903
0.53764859,3.79061985,-9.041104317,-0.104147777
0.55569219,-0.70569098,-9.318831444,-1.942894697
0.57373578,1.913565755,-8.476072311,0.221463651
0.59177938,0.539293945,-8.217498779,-0.851138711
0.60982297,-0.020949265,-8.413823128,0.590170741
0.62786297,-0.801459014,-9.314043045,1.049857497
0.64589505,-1.222838521,-9.91738224,1.322796464
0.66395401,-1.366490602,-9.903017044,2.208651066
0.68199719,-0.332195491,-9.424176216,4.41610527
0.70004031,0.687734425,-9.572616577,7.394492149
0.71808344,2.670133352,-10.00357342,9.506177902
0.73612672,5.423465252,-10.61170006,8.179790497
0.75417031,8.85196209,-8.935759544,6.776787758
0.77221391,10.45128918,-6.828861713,3.98036027
0.7902575,10.31721401,-5.636549473,2.879027605
0.80830109,7.817667007,-5.928641796,-1.057040095
0.82634469,4.982932091,-8.169614792,-5.558139324
0.84438828,4.2742486,-12.26369953,-3.748122692
0.86243188,4.317344189,-15.44319916,-0.903811157
0.88047589,3.08672452,-15.2803936,2.85987401
0.89851745,1.008557439,-13.80077744,4.363432407
0.9165624,0.098760821,-11.34432602,3.544615507
0.93460625,-1.07918644,-9.630077362,0.82001406
0.95264938,-1.241992116,-10.28130054,-1.454477549
0.9706925,-0.289099842,-9.744999886,-1.832761407
0.98873563,0.692522824,-8.590993881,-1.555034041
1.00677917,1.204882026,-8.179191589,-0.654814184
1.02482276,1.769913554,-8.351573944,0.360327363
1.04286635,2.756324768,-8.772953987,0.432153404
1.06090995,4.006097794,-9.088988304,-1.128866076
1.07895354,5.207987309,-8.777742386,-3.092111588
1.09699714,6.294954777,-8.744223595,-3.101688385
1.11504073,6.266224384,-8.313266754,-1.521515131
1.13308432,4.116231441,-7.891887188,0.269347698
1.15112792,3.292625904,-7.891887188,4.717774391
1.16917151,1.93271935,-9.586981773,1.069011092
1.1872151,0.098760821,-10.02272701,-0.506373644
1.2052587,0.908001006,-9.041104317,0.317231715
1.22330214,2.248754025,-8.76337719,0.638054729
1.24134526,3.206434727,-8.758588791,0.585382342
1.25938839,3.637390852,-8.854356766,0.312443316
1.27743151,3.728370667,-9.165602684,0.063446343
1.29547505,3.594295263,-9.472060204,-0.223857865
1.31351865,3.287837505,-9.907805443,-0.16639702
1.33156224,3.182492495,-9.989208221,-0.104147777
1.34960583,3.201646328,-10.03709221,-0.319625914
1.36764943,3.235165119,-9.859921455,-1.00436759
1.3856787,3.302202702,-9.60134697,-0.985213995
1.40373198,3.57035327,-9.630077362,-0.554257691
1.42178047,4.255095005,-10.0849762,0.427365005
1.43982359,5.303755283,-11.51670837,1.8590976
1.45786672,5.576694489,-12.85267353,3.582922935
1.47590995,4.954201698,-12.74254036,4.756081581
1.49395354,4.403535366,-12.71380997,6.269217014
1.51199714,3.129820108,-12.84788513,5.646724701
1.53004073,1.434725404,-11.85189724,4.080916882
1.54808432,1.520916581,-10.19989777,3.45842433
