Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.037121255,2.234388828,-8.964489937,3.439270735
0.055180786,2.239177227,-8.983643532,3.511096716
0.073217817,2.239177227,-8.978855133,3.530250311
0.091254849,2.277484417,-8.998008728,3.587711334
0.10929188,2.263119221,-8.993220329,3.578134537
0.127328911,2.239177227,-8.983643532,3.53503871
0.145365942,2.277484417,-8.959701538,3.491943121
0.163402974,2.311003208,-8.954913139,3.515885115
0.181440005,2.272696018,-8.950124741,3.49673152
0.199477036,2.291849613,-8.940547943,3.568557739
0.217514067,2.248754025,-8.974066734,3.616441727
0.235551099,2.243965626,-8.950124741,3.67869091
0.25358813,2.320580006,-8.926182747,3.60207653
0.271625161,2.349310398,-8.921394348,3.611653328
0.289662192,2.325368404,-8.954913139,3.626018524
0.307699224,2.287061214,-8.950124741,3.626018524
0.325736255,2.291849613,-8.954913139,3.597288132
0.34377339,2.301426411,-8.930971146,3.597288132
0.361809484,2.306214809,-8.940547943,3.568557739
0.379846463,2.301426411,-8.911817551,3.606864929
0.397883599,2.320580006,-8.883087158,3.544615507
0.415921099,2.358887196,-8.887875557,3.515885115
0.433958599,2.325368404,-8.897452354,3.511096716
0.451995942,2.334945202,-8.907029152,3.506308317
0.470032974,2.339733601,-8.978855133,3.477577925
0.488070005,2.311003208,-8.974066734,3.42011714
0.506107036,2.344521999,-8.911817551,3.300406933
0.524144067,2.373252392,-8.868721962,3.104082584
0.542181099,2.392405987,-8.945336342,3.266888142
0.56021813,2.296638012,-9.151237488,3.817554712
0.578255161,2.038064241,-9.309254646,4.6842556
0.596276463,1.358110905,-9.610923767,3.879803896
0.614323182,1.190516829,-9.227851868,2.539050817
0.632366463,0.994192243,-9.208698273,2.965218782
0.650403494,0.242412925,-9.979631424,3.841496706
0.668440526,-0.217273802,-10.40579891,4.79917717
0.686477557,0.218470901,-9.768941879,5.713762283
0.704514588,0.342969388,-9.457695007,6.408081055
0.722551619,1.324592113,-8.471283913,5.670666695
0.740588651,2.210446835,-7.997232437,5.996278286
0.758625682,2.828150749,-7.681197643,6.068104267
0.776662713,3.139396906,-7.609371662,5.53659153
0.794699744,3.129820108,-7.369951248,5.048174381
0.812736776,2.655768156,-7.006032944,4.660313606
0.830773807,2.320580006,-6.694786549,4.04739809
0.848810838,1.880046844,-6.747458935,3.965995073
0.866847869,1.564012289,-6.713940144,3.257311344
0.884884901,1.214458823,-6.412270546,1.231816769
0.902921932,0.903212607,-6.101024628,0.518344641
0.920958963,0.874482155,-6.503250599,0.815225661
0.938995994,1.042076349,-7.662044048,0.547075093
0.957033026,1.664568782,-8.67239666,-0.539892495
0.975070057,1.190516829,-9.91738224,2.41455245
0.993107088,-2.319382906,-15.40010357,20.48119926
1.011144119,4.221576214,-17.84218979,6.369773388
1.029181151,3.795408249,-10.86548615,-1.990778685
1.047218182,3.101089716,-8.753800392,-0.712275028
1.065255213,2.220023632,-9.687539101,-0.271741897
1.083292244,2.674921751,-11.28686523,1.217451572
1.101329276,2.655768156,-11.60768795,2.855085611
1.119366307,3.359663486,-9.764153481,2.49116683
1.137403338,3.690063477,-8.873510361,1.030703783
1.155440369,4.283825397,-8.509591103,1.495178938
1.173477401,5.184045315,-8.25101757,2.342726469
1.191514432,5.605424881,-8.543109894,1.725022316
1.209551463,5.265448093,-8.974066734,0.331596941
1.227588494,4.800972939,-8.844779968,-0.721851826
1.245625526,5.346850872,-8.844779968,0.16879122
1.263662557,6.227917194,-8.121730804,1.18872118
1.281699588,6.788160324,-6.790554523,1.294066072
1.299736619,6.649296761,-6.134543419,1.11689508
1.317773651,6.462548733,-6.306925774,1.466448545
1.335810682,5.586271286,-7.073070526,1.466448545
1.353848859,5.04997015,-7.480084896,1.519120932
1.37188589,4.652532578,-7.585429668,1.284489155
1.389922922,4.08271265,-7.796119213,0.944512546
1.407959953,3.484162092,-8.409034729,0.393846184
1.425996984,3.239953518,-9.069834709,0.125695586
1.444034015,3.49373889,-9.792883873,0.231040463
1.462071047,3.919906616,-10.39143372,0.561440289
1.480108078,4.087501049,-10.76014137,0.987608194
1.498145109,3.833715439,-10.49199009,1.380257249
1.51618214,3.618237257,-9.807249069,1.696291924
1.534219172,4.144961834,-9.122507095,1.341950059
1.552256203,5.509656429,-8.370727539,0.412999779
1.570293234,5.95018959,-7.748235226,0.302866519
1.588326724,6.136937618,-7.283760071,0.714669228
1.606352713,6.323685169,-7.743446827,1.15520227
1.624404849,6.371569157,-8.787319183,1.059434295
1.64244188,6.385934353,-9.807249069,1.183932781
1.660478911,6.381145954,-10.98998451,2.381033659
1.678515942,5.734711647,-12.12004757,4.334702015
1.696552974,4.331709385,-12.32594872,6.269217014
1.714590005,2.545634985,-11.55022717,6.690596581
1.732627036,0.591966391,-10.51114368,5.771223068
1.750664067,0.433949053,-10.59733486,3.970783472
1.768701099,1.286284804,-11.18152046,1.926135302
1.78673813,2.406771183,-11.26771164,-0.463278025
1.804775161,3.235165119,-10.86548615,-1.703474522
1.822812192,2.986168146,-10.55423927,-2.503137827
1.840849224,3.469796896,-11.08575249,-1.885433793
1.858886255,3.254318714,-10.69310379,-1.009155989
1.876923286,0.884058952,-8.313266754,3.568557739
1.894960317,3.824138641,-6.364386559,4.823119164
1.912997349,7.750629425,-6.115389824,2.883816004
1.93103438,7.228693485,-6.029198647,1.854309201
1.949071411,5.059546947,-6.254253387,2.084152699
1.967108442,2.751536369,-5.981314182,2.299630642
1.985145474,2.018910646,-5.306149483,2.093729496
2.003182505,1.899200439,-5.152920723,1.911770105
2.021219536,2.009333849,-5.119401932,1.643619418
2.039256567,1.975814939,-5.085883141,1.121683478
2.057293599,2.320580006,-5.674856663,1.193509579
2.07533063,3.043628931,-5.880757809,1.720233917
2.093367661,3.34529829,-6.800131321,2.256535053
2.111404692,3.354875088,-8.255805969,4.243722439
2.129441724,3.139396906,-10.4441061,6.369773388
2.147478755,4.073135853,-10.83196735,8.974664688
2.165515786,5.433042049,-9.419387817,9.534908295
2.183552817,5.519233704,-8.662819862,9.453505516
2.201590005,5.121796131,-8.069058418,8.840589523
2.219627505,5.026028156,-7.446565628,7.490260124
2.237665005,4.623802185,-7.786542416,4.588487625
2.255702349,4.408323765,-9.56303978,2.11767149
2.27373938,5.433042049,-11.00434971,1.164779186
2.291776411,7.554305077,-13.85823822,1.102529883
2.309813442,7.544728279,-16.439188,0.719457626
2.327850474,3.819350243,-13.60924149,-0.798466265
2.345871932,1.980603337,-11.61726475,-0.080205753
2.363918599,1.219247222,-10.12328339,-0.673967779
2.381961828,0.96546185,-9.424176216,-1.784877419
2.399998859,0.989403844,-9.213486671,-2.172738075
2.41803589,1.496974587,-9.117718697,-2.144007683
2.436072922,2.531269789,-8.998008728,-1.689109325
2.454109953,3.450643301,-9.352350235,-0.573411286
2.472146984,4.432265759,-9.606135368,-0.535104096
2.490184015,5.327697277,-9.33319664,-0.535104096
2.508221047,5.61021328,-8.638877869,-0.525527299
2.526258078,5.710769653,-7.872733593,-0.070628949
2.544295109,5.385158062,-7.034763336,2.002749681
2.56233214,5.155314922,-6.239888191,3.022679567
2.580369172,4.446630955,-6.555922985,3.975571871
2.598406203,3.757101059,-7.767388821,2.146401882
2.616443234,3.196857929,-8.308478355,0.513556242
2.634480265,3.369240284,-8.069058418,-1.617283225
2.652517297,3.958214045,-7.98765564,-1.995567083
2.670554328,4.877587318,-8.179191589,-1.219845772
2.688591359,6.223128796,-8.44255352,1.030703783
2.70662839,7.377133846,-8.787319183,3.90374589
2.724665422,7.281365871,-8.988431931,4.018667698
2.742702453,6.797737122,-8.772953987,1.318008065
2.760739484,6.539163589,-7.834426403,-0.568622887
2.778776515,5.878363609,-7.259818077,-1.200692177
2.796813547,5.696404457,-7.566276073,-1.00436759
2.814850578,5.844844818,-8.313266754,-0.290895492
2.832887609,6.074688435,-9.4864254,0.164002821
2.85092464,6.290166378,-11.10969448,0.877474904
2.868961672,7.219116688,-12.88619232,2.486378431
2.886998859,7.420229435,-14.00189018,5.469553947
2.905036359,6.189610004,-14.11202335,9.290699959
2.923073859,4.192845821,-12.63240719,9.137471199
2.941111203,3.450643301,-9.663596153,5.938817501
2.959148234,4.451419353,-8.849568367,3.582922935
2.977185265,4.906317711,-9.888651848,-1.104924083
2.995222297,5.346850872,-11.60768795,-1.521515131
3.013259328,4.125808239,-11.78007126,-4.12640667
3.031296359,0.338180989,-12.03864479,-6.20936203
3.04933339,-1.787870169,-12.28285313,-5.653907299
3.067370422,1.156997919,-11.26292324,7.016208172
3.085407453,5.298966885,-7.269394875,9.32421875
3.103444276,6.706757545,-6.35959816,1.303642869
3.121480838,5.461772442,-6.158485413,-0.587776542
3.139518338,3.340509892,-6.527192593,0.25977087
3.157555838,2.421136379,-5.60781908,0.681150377
3.175593286,2.291849613,-4.750694752,0.398634583
3.193630317,2.052429438,-4.094683647,0.068234749
3.211667349,2.11946702,-3.390788078,-0.329202741
3.22970438,1.564012289,-3.055599928,-0.836773515
3.247741411,1.396418095,-3.079541922,-0.405817181
3.265778442,1.698087573,-3.812167645,2.328361034
3.283815474,2.583942175,-5.741894245,5.115211964
3.301852505,6.615777969,-9.519944191,7.98825407
3.319889536,9.053074837,-13.01547909,8.629899979
3.337926984,9.402628899,-14.03062057,11.78066921
3.355964067,7.788936615,-12.65634918,12.00093555
3.374001099,6.180033207,-12.44565868,8.768763542
3.39203813,5.107430935,-14.62438297,5.723339081
3.410075161,4.31255579,-15.82627201,5.752069473
3.428112192,5.093065739,-15.57727528,-1.827973008
3.446149224,1.755548358,-12.42650509,-3.547009706
3.464186255,0.783502519,-9.199121475,-2.177526474
3.482223286,0.448314279,-7.006032944,-2.263717651
3.500260317,0.735618472,-6.024410248,-1.966836691
3.518297349,1.324592113,-5.717952251,-2.63721323
3.53633438,1.530493379,-6.910264492,-2.19189167
3.554371411,2.148197412,-7.61894846,-1.890222192
3.572408442,3.067570925,-8.500014305,-0.444124401
3.590446203,3.699640274,-10.15680218,-0.037110128
3.608474432,3.986944437,-11.66514969,-0.33399114
3.626520369,4.939836502,-11.9859724,0.202310041
3.644557401,6.122572422,-10.61170006,0.709880829
3.662594432,6.429029942,-9.428964615,0.925358951
3.680631463,6.007650852,-7.451354027,0.274136096
3.698668494,5.207987309,-6.378751755,1.959654093
3.716705526,5.514444828,-6.124966621,2.33793807
3.734742557,5.303755283,-6.139331818,1.322796464
3.752779588,4.106654644,-6.378751755,-0.463278025
3.770816619,3.53204608,-6.685209751,-2.057816267
3.788853651,3.728370667,-7.140108109,-1.473631144
3.806890682,4.422688961,-8.040328026,0.652419984
3.824927713,5.222352505,-8.638877869,3.798400879
3.842964744,4.9494133,-9.036315918,4.502296448
3.861001776,4.657320976,-8.849568367,2.404975653
3.879038807,4.638167381,-9.002797127,0.192733243
3.897075838,4.700416565,-9.108141899,-1.143231273
3.915112869,4.83449173,-9.007585526,-1.392228246
3.933149901,5.375581264,-8.978855133,-0.990002394
3.951186932,6.366780758,-9.304466248,-0.156820208
3.969223963,7.372345448,-10.34833813,0.791283667
3.987260994,7.741052628,-11.31559563,2.002749681
4.005298026,7.458536625,-12.02906799,5.029020786
4.023335057,6.927023888,-12.45044708,10.492589
4.041372088,5.993285179,-11.96203041,12.47498798
4.059409536,4.551976204,-9.826402664,7.442376137
4.077447036,4.676474571,-9.002797127,5.32111311
4.095484536,4.379593372,-11.37784481,0.456095427
4.113521672,6.941389084,-13.66191387,-3.317166567
4.131558703,1.798644066,-14.18384933,-8.517372131
4.149595734,-1.342548609,-15.30433559,-8.503006935
4.167632765,-2.089539528,-13.81993103,-1.52630353
4.185669797,5.174468517,-9.941324234,13.44224548
4.203706828,7.80809021,-5.770624638,4.736927986
4.221743859,5.638943672,-5.583877087,-0.582988143
4.23978089,2.967014551,-5.871181011,-1.143231273
4.257817922,1.281496406,-5.196016312,-0.63087213
4.275854953,1.109113932,-4.477755547,-0.37229836
4.293891984,1.195305228,-3.955819845,-0.209492654
4.311929015,1.540070295,-3.390788078,-0.027533319
4.329966047,0.773925722,-3.098695517,0.10175357
4.347987765,1.334168911,-2.792237759,-1.042674899
4.366038547,2.138620615,-2.964620352,-2.345120668
4.384078078,3.024475336,-4.061164856,-0.597353339
4.402115109,1.650203466,-7.681197643,4.042609692
4.42015214,2.464232206,-13.98273659,11.59392166
4.438189172,11.39460468,-19.99697113,11.74715042
4.456226203,14.15751362,-14.62917137,14.76384449
4.474263234,7.386710644,-12.02906799,13.50449467
4.492300265,4.556764603,-9.299677849,7.092822552
4.510337297,2.41634798,-9.108141899,0.561440289
4.528374328,0.840963364,-9.759365082,-0.223857865
4.546411359,2.220023632,-13.42728138,-0.108936176
4.56444839,1.544858694,-15.31391239,-2.206256866
4.582485422,0.342969388,-14.83028412,-3.365050554
4.600522453,2.152985811,-12.90055752,-2.421735048
4.618559484,2.574365377,-10.91337013,-0.999579191
4.636596515,2.904765129,-8.873510361,-0.769735873
4.654633547,2.722805977,-7.92061758,-0.894234359
4.672670578,2.785055161,-7.436988831,-1.607706428
4.690707609,3.101089716,-7.590218067,-1.425747156
4.70874464,3.929483652,-8.389881134,-0.501585245
4.726781672,4.106654644,-9.376292229,-0.683544576
4.744819015,4.470572948,-9.773730278,-0.908599556
4.762856515,5.174468517,-9.424176216,-0.429759204
4.780894015,5.418676853,-8.586205482,-0.496796846
4.798931255,5.284601688,-7.346009254,-0.199915841
4.816968286,5.490502834,-6.05314064,1.102529883
4.835005317,4.820126534,-5.579088688,2.634819031
4.853042349,4.614225388,-6.134543419,2.52947402
4.87107938,4.168903828,-7.240664482,-0.453701228
4.889116411,3.862445831,-7.810484409,-1.052251697
4.907153442,3.809773445,-8.265382767,-0.611718535
4.925190474,4.408323765,-8.638877869,0.307654917
4.943227505,5.207987309,-8.811261177,1.274912357
4.961264536,5.682039261,-8.777742386,1.705868721
4.979301567,5.758653641,-8.969278336,1.365892053
4.997338599,5.911882401,-9.036315918,0.59495914
5.01537563,5.806537628,-8.911817551,-0.06584055
5.033412661,5.528810501,-8.466495514,-1.018732786
5.051449692,5.595848083,-8.48086071,-1.26294136
5.069486724,6.338050365,-8.978855133,-0.712275028
5.087523755,7.166444302,-10.02751541,0.341173738
5.105560786,7.223905087,-10.90379333,1.461660147
5.123597974,6.630143166,-11.50234318,3.803189516
5.141635474,6.553528786,-12.08174038,8.620323181
5.159672974,6.807313919,-12.03864479,11.10550499
5.177710422,6.069900036,-10.50635529,7.844601631
5.195747453,5.619790077,-9.06504631,6.470330238
5.213784484,5.097854137,-9.926959038,5.388150692
5.231821515,4.08271265,-12.17750835,-0.458489627
5.249858547,4.178480625,-13.52783775,-3.465606928
5.267895578,2.775478363,-13.52783775,-6.525396824
5.285932609,-0.763151765,-12.73775196,-7.248445511
5.30396964,-0.226850614,-10.83196735,-3.987542868
5.322006672,3.465008497,-9.117718697,3.697844505
5.340036724,9.215881348,-6.469731331,8.189367294
5.358068338,8.77534771,-5.976525784,2.831143618
5.376118547,5.887940407,-6.661267757,0.226252064
5.394155578,3.077147722,-6.579864979,0.092176765
5.412192609,1.611896276,-5.579088688,-0.238223076
5.43022964,1.008557439,-4.520851135,-0.477643251
5.448266672,0.984615445,-3.654150248,-0.563834488
5.466303703,0.960673451,-3.060388327,-0.401028782
5.484340734,0.563235939,-3.031657934,-0.846350312
5.502377765,0.879270554,-3.022081137,-1.080982089
5.520414797,1.951872945,-3.280654907,-1.272518158
