Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.01103381,-1.742238641,1.386973262,-0.615988672
0.02907131,-2.207758904,0.730770886,-0.225036949
0.04710881,-2.397375822,0.151267439,-0.065247402
0.06514631,-1.797632337,-0.935301483,-0.058855817
0.08318381,-0.984836221,-1.980325103,-0.268712759
0.10122131,-0.376570702,-1.141962647,-0.603205562
0.11925881,0.198671669,-0.351536989,-0.433828622
0.13729631,0.370179117,0.039414756,-0.270843267
0.15533381,0.331829637,0.694551885,-0.324106455
0.17337131,-0.503337085,0.515587628,-0.33582437
0.19140881,-1.461009026,1.118526816,0.20852536
0.20944631,-1.451421738,0.872450948,0.550475001
0.22748381,-0.946486771,-0.445280194,0.443948627
0.24552131,-0.669518173,-0.933170974,0.212786406
0.26355881,-0.826111972,-0.616787672,0.217047468
0.28159631,-1.17977953,-0.197073773,0.402403355
0.29963381,-1.339568973,-0.115048476,0.638891876
0.31767131,-1.239434242,-0.311056972,0.822117209
0.33570881,-0.90494144,-0.684964538,0.903077245
0.35374631,-0.523577094,-1.113200545,0.772049844
0.37178381,-0.292414874,-1.644767046,0.647413969
0.38982131,-0.294545382,-1.236771107,0.617586613
0.40785881,-0.412789673,-0.373907536,0.665523469
0.42589631,-0.613059223,0.27483803,0.649544478
0.44393381,-0.940095186,-0.099069521,0.587759197
0.46197131,-0.991227806,-0.602939248,0.446079135
0.48000881,-0.847417235,-0.796817184,0.119043209
0.49804631,-0.913463593,-1.076981544,0.071106344
0.51608381,-1.019989967,-1.607482791,0.211721152
0.53412131,-1.034903646,-1.979259849,0.284159064
0.55215881,-0.934768856,-1.817339778,0.332095951
0.57019631,-0.701476097,-1.052480459,0.344879091
0.58823381,-0.267913818,-0.178964287,0.429034919
0.60627251,0.226368517,0.271642238,0.489754945
0.62431,0.519316018,0.023435799,0.505733907
0.64234751,0.415985465,-0.398408592,0.52171284
0.66038501,0.30413276,-1.010935187,0.535561323
0.6784225,0.174170598,-1.284707904,0.584563434
0.69646001,0.097471625,-1.066328883,0.498277068
0.7144975,0.140082166,-0.340884358,0.329965413
0.73253501,0.258326441,0.379233867,0.154196918
0.7505725,0.386158079,0.760598242,-0.050333709
0.76861001,0.668452919,0.989629924,-0.293213815
0.7866475,1.390701652,1.551023841,-0.411458075
0.80468501,2.411224365,2.286055803,-0.382695973
0.8227225,2.975813866,2.418148518,-0.239950642
0.84076001,3.467965841,2.161419868,-0.220775887
0.85877766,3.635212183,2.026131392,-0.358194888
0.87682511,3.365700483,0.933170974,-0.450872839
0.89487256,2.951313019,-0.090547413,-0.614923418
0.91291006,2.405897856,-0.790425599,-0.74382031
0.93094756,1.446095347,-0.777642429,-0.582965553
0.94898506,0.464987576,0.435692817,-0.199470609
0.96702256,0.214650631,1.418931127,-0.054594763
0.98506006,0.828242481,0.143810585,-0.615988672
1.00309756,0.720650852,-0.899082542,-1.015462518
1.02113506,0.615189731,-1.208009005,-1.001614094
1.03917256,0.520381272,-1.298556328,-0.691622436
1.05721006,0.246608526,-1.03224051,-0.609597147
1.07524756,-0.240216956,-0.420779139,-0.728906632
1.09328506,-0.801610887,0.334492773,-0.90574044
1.11132256,-1.303350091,1.137701511,-1.020788908
1.12936006,-1.661278605,1.66394186,-0.989896238
1.14739756,-1.951030374,1.945171356,-0.819454074
1.16543506,-2.295110464,1.793903947,-0.626641333
1.18347256,-2.511358976,0.78296876,-0.285756975
1.20151006,-2.213085175,-0.181094825,-0.121706374
1.21954756,-1.298023701,-0.716922402,-0.026897907
1.23758506,-0.499076009,-0.690290868,-0.271908552
1.25562256,0.734499276,-0.238619059,-0.801344574
1.27366006,1.554752231,0.103330575,-0.537159205
1.29169756,1.207476377,-0.260989606,-0.40506649
1.30973506,0.776044548,0.319579095,-0.068443187
1.32777256,-0.218911678,0.190682188,-0.00452737
1.34581006,-1.21067214,0.416518092,0.173371658
1.36384756,-1.321459532,-0.058589499,0.442883372
1.38188506,-0.729172945,-1.461541772,0.357662261
1.39992256,-0.570448697,-1.564872265,0.335291743
1.41796006,-0.912398338,-1.108939409,0.586693943
1.43599756,-1.306545854,-0.282294869,0.857270896
1.45403506,-1.284175277,-0.126766369,1.078845739
1.47207256,-0.921985686,-0.102265313,1.049018383
1.49011006,-0.485227585,-0.113983207,0.75287509
1.50814756,-0.258326441,-0.428235978,0.485493898
1.52618506,-0.319046468,-0.486825496,0.307594866
1.54422256,-0.676975071,-0.018109482,0.381098062
1.56226006,-1.157408953,0.17470324,0.593085527
1.58029756,-1.713476539,-1.560611248,0.707068741
1.59833719,-0.594949722,-1.431714296,0.564323425
1.6163648,-0.40959388,-0.911865652,0.174436927
1.63441047,-0.647147656,-1.107874155,0.170175865
1.65244797,-1.042360425,-1.883386135,0.351270676
1.67048547,-1.361939549,-2.276468515,0.48336339
1.68852297,-1.384310126,-2.133723021,0.50892973
1.70656047,-1.108406782,-1.479651213,0.478037059
1.72459797,-0.547012866,-0.654071868,0.464188635
1.74263547,0.115581103,-0.166181132,0.458862305
1.76067297,0.59708029,-0.079894774,0.418382287
1.77871047,0.660996079,-0.205595881,0.328900158
1.79674797,0.345678061,-0.376038075,0.272441179
1.81478547,0.015446323,-0.285490662,0.276702225
1.83282297,0.16564849,0.007456846,0.255396962
1.85085823,0.725977182,0.279099077,0.211721152
1.86887594,1.331046939,0.267381162,0.146740064
1.88693568,1.833851337,0.481499165,-0.130228475
1.90497318,2.328133583,1.198421597,-0.493483394
1.92301068,2.796849728,2.078329325,-0.685230851
1.94104818,3.259174109,2.712161303,-0.711862445
1.95908568,3.906854391,3.516435385,-0.610662401
1.97712318,3.868505001,2.684464455,-0.358194888
1.99516068,3.627755404,0.061785292,-0.270843267
2.01319818,3.085536242,-2.135853529,-0.190948501
2.03123568,1.8370471,-2.05915451,-0.113184258
2.04927318,0.571513951,0.213052735,-0.078030564
2.06731068,0.09108004,1.237836361,-0.453003377
2.08534818,0.540621281,-0.286555916,-1.054877281
2.10338568,0.561926544,-1.185638428,-1.592835426
2.12142318,0.486292839,-1.646897554,-1.703622937
2.13946068,0.646082401,-1.656484962,-1.297757387
2.15749818,0.287088543,-0.742488742,-0.816258252
2.17553568,-0.232760102,0.234357998,-0.802409828
2.19357318,-0.79202354,1.062067866,-0.977113068
2.21161068,-1.300154328,1.758750319,-1.163534164
2.22964818,-1.626124978,2.130527258,-1.223188996
2.24768568,-1.861548185,2.162485123,-1.017593145
2.26572318,-2.164083004,1.423192263,-0.506266534
2.28376068,-2.328133583,0.302534878,-0.080161087
2.30179818,-2.053295612,-0.666855037,0.027430538
2.31983568,-1.68045342,-1.71507442,-0.220775887
2.33787318,-1.018924713,-1.21440053,-0.40506649
2.35591068,0.387223333,0.230096951,-0.464721263
2.37394818,1.182975292,1.081242561,-0.401870698
2.39198568,1.109472036,1.266598463,-0.08548741
2.41002318,0.250869602,0.328101188,-0.471112847
2.42806068,-0.642886579,0.916126728,-0.10466215
2.44609818,-0.499076009,1.422127008,0.407729656
2.46413568,-0.352069646,-0.245010644,0.906273067
2.48217318,-0.646082401,-1.259141564,1.023452044
2.50021068,-1.286305904,-1.311339498,0.873249888
2.51824818,-2.093775749,-0.766989827,0.785898268
2.53628568,-2.487923145,-0.556067646,0.724112988
2.55432318,-2.188584089,-0.605069757,0.650609791
2.57236068,-1.404550076,-0.668985546,0.68363297
2.59039818,-0.604537129,-0.942758322,0.798681438
2.60843652,-0.002663159,-1.129179478,0.745418251
2.62647402,0.205063254,-0.960867822,0.555801332
2.64451152,0.071905293,-0.498543382,0.485493898
2.66254902,-0.289219081,0.284425378,0.491885483
2.68058652,-1.239434242,-0.364320159,0.660197139
2.69862402,-1.420529008,-0.608265519,0.563258171
2.71666152,-1.226651073,-0.407995969,0.181893766
2.73469902,-1.075383663,-0.397343338,0.103064254
2.75273652,-0.94861728,-0.853276193,0.186154828
2.77077402,-0.857004583,-1.523326993,0.219177991
2.78881152,-0.865526736,-1.698030233,0.299072772
2.80684902,-0.800545633,-1.409343839,0.323573828
2.82488652,-0.54807812,-0.698812962,0.333161205
2.84292402,-0.251934856,0.188551664,0.45247072
2.86094063,-0.011185268,0.234357998,0.538757086
2.87899402,0.056991603,-0.209856942,0.525973916
2.89703693,0.019707378,-0.739292979,0.447144419
2.91507443,-0.033555806,-0.996021509,0.368314892
2.93311193,-0.016511586,-1.062067866,0.316116989
2.95114943,0.251934856,-0.65726769,0.262853801
2.96918693,0.794154048,0.127831638,0.142479017
2.98722443,1.352352142,0.596547663,0.121173739
3.00526193,1.932920933,0.655137122,0.061518975
3.02329943,2.468748569,0.974716246,-0.178165346
3.04133693,2.885266542,1.865276694,-0.490287602
3.05937443,3.20804143,2.753706455,-0.789626658
3.07741193,3.669300556,3.379016161,-0.908936203
3.09544943,3.754521608,2.713226557,-0.70547086
3.11348693,3.767304897,0.660463452,-0.426371783
3.13152443,3.480748892,-1.54037118,-0.389087558
3.14956193,2.375005245,-2.025066137,-0.347542256
3.16759943,0.686562419,0.192812726,-0.119575843
3.18563693,-0.087884247,0.53156656,-0.28682223
3.20367443,0.478836,-0.891625643,-1.158207893
3.22171193,0.446878105,-1.603221774,-1.80695343
3.23974943,0.589623451,-1.174985766,-1.865543008
3.25778693,0.667387664,-0.789360344,-1.194426894
3.27582443,0.388288587,-0.329166472,-0.745950878
3.29386193,-0.210389569,0.28762117,-0.704405606
3.31189943,-0.999749899,1.018392086,-0.850346685
3.32993693,-1.690040708,1.980325103,-1.07511735
3.34797443,-2.045838833,2.697247505,-1.259407997
3.36601193,-2.264217854,3.040262461,-1.146489978
3.38404943,-2.447443247,2.51615262,-0.655403435
3.40208693,-2.442116976,0.955541492,-0.152599022
3.42012443,-2.052230358,-0.30040434,-0.026897907
3.43816193,-1.619733334,-1.362472177,-0.407197028
3.45619943,-1.01040256,-0.798947752,-0.555268645
3.47423693,0.074035823,0.199204296,-0.423175991
3.49227443,0.650343478,0.463389695,-0.074834771
3.51031193,0.456465483,0.388821214,0.224504307
3.52834943,0.168844283,0.655137122,0.515321314
3.54638693,-0.407463342,-0.005326318,0.593085527
3.56442443,-1.371526957,-0.955541492,0.336356998
3.58246193,-1.944638729,-0.904408813,0.75287509
3.60049839,-1.506815434,-1.116396308,0.694285572
3.61851558,-0.77924037,-1.050349951,0.221308515
3.63657568,-0.424507558,-0.690290868,0.171241134
3.65461318,-0.37870121,-0.559263408,0.286289603
3.67265068,-0.470313907,-0.869255126,0.515321314
3.69068818,-0.43516019,-1.072720528,0.610129774
3.70872568,-0.242347479,-1.064198375,0.620782375
3.72676318,-0.03249054,-0.971520424,0.581367612
3.74480068,0.036751594,-0.911865652,0.503603399
3.76283818,-0.055926342,-0.71372664,0.453536004
3.78087568,-0.29134962,-0.415452808,0.42157808
3.79891318,-0.689758182,0.144875854,0.449274927
3.81695068,-1.303350091,-0.184290603,0.430100203
3.83498818,-1.285240531,-0.330231726,0.202133775
3.85302568,-0.939029872,-0.766989827,0.092411622
3.87106318,-0.764326692,-1.605352283,0.245809585
3.88910068,-0.812263548,-2.659963369,0.442883372
3.90713818,-0.961400449,-3.425887823,0.642087638
3.92517568,-1.038099408,-3.595264673,0.793355107
3.94321318,-0.878309846,-2.824013948,0.756070852
3.96125068,-0.590688705,-1.192030072,0.578171849
3.97928818,-0.316915929,0.519848645,0.492950738
3.99732568,-0.19121483,1.384842753,0.45247072
4.01536318,-0.231694847,1.172855258,0.240483269
4.03340068,-0.279631704,0.583764494,0.013582111
4.05143818,-0.052730549,0.003195791,0.044474758
4.06947568,0.533164442,-0.271642238,0.161653757
4.08751318,1.311872125,-0.348341197,0.206394836
4.10555068,1.846634507,-0.124635845,0.109455839
4.12358818,2.31215477,0.583764494,-0.132359013
4.14162568,2.898049831,1.778990269,-0.363521218
4.15966318,3.381679535,2.575807571,-0.494548649
4.17770068,3.831220627,3.109504461,-0.444481254
4.19573818,4.006989002,2.957171917,-0.311323285
4.21377568,3.596862793,1.033305764,-0.195209563
4.23181318,3.095123529,-1.134505749,-0.155794814
4.24985105,2.150234699,-1.528653383,-0.064182132
4.26788902,1.008272052,-0.141680062,-0.010918953
4.28592698,0.639690816,0.099069521,-0.246342212
4.30396459,1.182975292,-1.169659495,-0.53609395
4.32200209,0.962465704,-1.510543823,-1.289235353
4.34003959,0.890027762,-1.117461562,-1.767538667
4.3580762,1.038099408,-0.64448452,-1.520397544
4.37611365,0.906006753,-0.659398198,-0.908936203
4.39415235,0.337155938,-0.376038075,-0.683100283
4.41218985,-0.338221192,0.247141168,-0.770451903
4.43022735,-0.934768856,1.08337307,-0.87484777
4.44826485,-1.229846835,1.71507442,-0.984569907
4.46630235,-1.4546175,2.330796957,-0.963264644
4.48433985,-1.764609218,2.632266521,-0.74382031
4.50237735,-2.144908428,2.200834751,-0.451938093
4.52041485,-2.138516665,0.947019398,-0.320910662
4.53845235,-1.796567082,-1.271924734,-0.341150671
4.55648985,-1.247956395,-2.631201267,-0.49987495
4.57452735,-0.63542974,-1.215465784,-0.557399213
4.59256485,0.045273706,-0.147006378,-0.33049804
4.61057954,0.295610666,0.384560168,-0.031158961
4.62863422,0.054861076,1.17072475,0.217047468
4.64667803,-0.242347479,0.106526367,-0.14833796
4.66471553,-0.861265659,0.362189651,-0.019441061
4.68275303,-0.72278136,0.56991607,0.364053845
4.70079053,-0.40426755,-0.40053913,0.361923307
4.71882803,-0.427703351,-0.948084652,0.375771761
4.73686553,-0.794154048,-0.938497245,0.411990702
4.75490303,-1.196823716,-0.974716246,0.52703917
4.77294053,-1.351286888,-1.123853087,0.707068741
4.79097803,-1.240499496,-1.335840583,0.843422473
4.80901553,-0.996554136,-1.407213211,0.898816168
4.82705303,-0.696149766,-1.046088934,0.976580441
4.84509053,-0.50440234,-0.511326551,0.990428865
4.86312803,-0.53529495,0.078829512,0.846618295
4.88116553,-0.743021369,0.691356123,0.681502402
4.89920303,-1.076448917,1.090829968,0.651675046
4.91724053,-1.485510111,-0.037284229,0.684698224
4.93527803,-1.149952054,-0.88842988,0.516386569
4.95331553,-0.912398338,-1.202682614,0.15206638
4.97135303,-1.099884748,-1.24529314,0.06684529
4.98939053,-1.345960617,-1.493499637,0.116912685
5.00742803,-1.505750179,-1.609613419,0.197872728
5.02546558,-1.487640619,-1.409343839,0.237287477
5.04350355,-1.244760513,-0.661528707,0.289485395
5.06154152,-0.686562419,0.48789075,0.442883372
5.07957948,0.007989477,1.087634206,0.538757086
5.09761698,0.510793924,0.508130729,0.46525389
5.11565448,0.586427629,-0.586960256,0.291615933
5.13369198,0.4969455,-1.60215652,0.186154828
5.15172948,0.423442304,-1.738510251,0.269245386
5.16976698,0.533164442,-0.891625643,0.260723263
5.18780448,0.834634066,0.103330575,-0.010918953
5.20584198,1.219194293,0.721183479,-0.251668543
5.22387948,1.776327133,1.46367228,-0.334759086
5.24191698,2.589123249,2.029327154,-0.291083276
