"property","value"
"version","1.1.9"
"build","1010901"
"fileFormat","1.13"
"deviceModel","LE2121"
"deviceBrand","OnePlus"
"deviceBoard","lahaina"
"deviceManufacturer","OnePlus"
"deviceBaseOS",""
"deviceCodename","REL"
"deviceRelease","11"
"accelerometer Name","icm4x6xx Accelerometer Non-wakeup"
"accelerometer Vendor","TDK-Invensense"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0047884034"
"accelerometer MinDelay","2000"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.24"
"accelerometer Version","78849"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","qualcomm"
"linear_acceleration Range","156.90625"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gyroscope Name","icm4x6xx Gyroscope Non-wakeup"
"gyroscope Vendor","TDK-Invensense"
"gyroscope Range","34.90656"
"gyroscope Resolution","0.0010652636"
"gyroscope MinDelay","2000"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.57"
"gyroscope Version","78849"
"magnetic_field Name","mmc56x3x Magnetometer Non-wakeup"
"magnetic_field Vendor","memsic"
"magnetic_field Range","3000.0044"
"magnetic_field Resolution","0.0976"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.0"
"magnetic_field Version","20320506"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","OnePlus Fusion Light Sensor"
"light Vendor","OnePlus"
"light Range","1.0"
"light Resolution","1.0"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","1.81"
"light Version","1"
"proximity Name","stk_stk2232 Proximity Sensor Wakeup"
"proximity Vendor","sensortek"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.1"
"proximity Version","312"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector  Non-wakeup"
"attitude Vendor","qualcomm"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.415"
"attitude Version","1"
