Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.0151337,-0.916380703,14.26884365,-3.527856112
0.03317214,1.607107878,11.96083355,-3.628412724
0.05121058,0.769137323,7.766191959,-3.355473757
0.06924855,0.773925722,6.712742805,-3.020285368
0.08728652,-0.174178168,7.019200802,-1.741781712
0.10532459,-1.026513934,7.521983147,-0.314837515
0.12336303,-2.065597534,8.450933456,-0.726640225
0.14140146,-1.802235365,10.46206284,-1.124077678
0.1594399,-1.917157054,11.80281544,-1.70826292
0.17747834,-3.181295395,11.5586071,-1.899798989
0.19550548,-4.474164486,9.801262856,-2.067393064
0.21353917,-4.651335239,7.392696381,0.422576606
0.2315949,-3.851671934,5.798158169,0.527921498
0.24963334,-2.60189867,6.593032837,-0.233434662
0.26767178,-2.046443939,6.655282021,0.135272399
0.28571021,-2.084751129,4.893149853,1.538274646
0.30374865,-3.1621418,3.964199543,1.940500498
0.32178709,-1.605910778,5.022436619,0.365115762
0.33982553,-2.434304476,6.597821236,-2.258929253
0.35786396,-3.593098164,9.035119057,-4.94043541
0.3759024,-3.957016945,10.25137329,-2.570175409
0.39394084,-3.952228546,10.72542477,1.418564558
0.41197928,-4.493318081,11.51551151,3.046621561
0.43001771,-4.483741283,12.18588829,1.092953086
0.44805615,-4.617816448,12.04223633,-3.063380957
0.46609459,-5.259462357,11.36228275,-6.6163764
0.48413303,-5.527613163,11.49635792,-7.46871233
0.50217146,-5.020042419,13.35425854,-5.601234913
0.5202099,-4.555567265,14.73331833,-3.365050554
0.53824834,-4.929062843,14.4795332,-2.948459387
0.55628678,-4.569932461,14.43643761,0.666785181
0.57432521,-0.456693977,11.82196903,3.171120167
0.59236365,0.587177992,9.264962196,4.947618008
0.61040209,-0.605134487,9.140463829,-0.429759204
0.62844053,-1.064821243,9.973646164,10.25795746
0.64647896,-0.858919859,10.73978996,4.64594841
0.6645174,-0.767940223,10.51952362,1.33716166
0.68255584,0.146644861,12.09012032,1.418564558
0.70059428,0.424372256,10.12208652,1.356315255
0.71863271,0.070030399,8.383895874,3.19506216
0.73667115,-1.208473325,7.239467621,2.97479558
0.75470959,-4.124610901,6.042366505,0.82001406
0.77274803,-5.714360714,5.261856556,-0.578199685
0.79078646,-4.636970043,4.246715069,-0.381875157
0.8088249,-2.779069662,3.705625772,0.322020143
