Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.00511235,1.40561533,-0.552871823,0.071106344
0.02315079,1.26713109,0.320644349,0.173371658
0.04118922,0.763261378,1.050349951,-0.020506324
0.05922745,0.571513951,0.980042577,0.042344231
0.07726542,0.639690816,0.593351841,0.105194785
0.09530339,0.851678252,0.507065475,0.253266424
0.11334167,1.15421319,0.756337166,0.455666512
0.13138011,1.289501667,1.084438443,0.737961412
0.14941855,1.049817324,1.865276694,0.815725625
0.16745698,0.680170834,2.535327435,0.731569827
0.18549542,0.476705492,2.543849468,0.692155063
0.20351105,0.636495054,1.578720689,0.703872979
0.22157198,1.478053331,-0.659398198,0.63995713
0.23961199,1.21812892,-1.470063806,0.334226459
0.25765042,0.686562419,-1.286838531,0.107325316
0.27568886,0.587492883,-0.856471956,0.090281092
0.2937273,0.855939329,0.762728751,0.162719026
0.31176574,1.170192122,2.815491915,0.451405466
0.32980417,1.314002752,3.97982502,0.474841267
0.34784261,1.060469985,3.553719521,0.486559182
0.36588105,0.237021163,1.995238781,0.512125492
0.38391949,-0.655669749,1.025848866,0.576041341
0.40195792,-0.960335195,1.488173366,0.654870808
0.41999636,-0.774979293,2.50336957,0.699611902
0.4380348,-0.4969455,3.064763546,0.553670764
0.45607324,-0.421311766,2.727074862,0.296942234
0.47411167,-0.557665527,1.617070198,0.058323186
0.49215011,-0.636495054,0.070307404,-0.202666402
0.51018855,-0.59708029,-1.179246902,-0.594683409
0.52822699,-0.584297121,-2.092177868,-1.012266755
0.54626542,-1.067926764,-3.753988981,-1.213601589
0.56430386,-2.26847887,-5.150549889,-1.165664792
0.5823423,-3.712976456,-4.143875599,-1.145424724
0.60038074,-4.559861183,-2.587525368,-1.054877281
0.61841917,-3.44453001,-4.343080044,-0.468982309
0.63645761,-2.837329626,-0.665789783,0.040213704
0.65449605,-2.196041107,1.112135291,0.262853801
0.67253449,-1.848765016,1.38910377,0.619717121
0.69057292,-2.265283108,1.435975432,0.525973916
0.70861136,-2.760630608,1.356080651,0.375771761
0.7266498,-2.218411446,1.743836522,-0.02476738
0.74468824,-1.269261599,2.049567223,-0.500940204
0.76272667,-0.700410843,1.852493525,-0.785365641
0.78076511,-0.585362375,1.410409093,-0.651142418
0.79880355,-0.332894892,0.681768715,-0.410392821
0.81684199,0.004793686,0.109722152,-0.368847549
0.83488042,0.332894892,-0.503869712,-0.462590724
0.85291886,0.605602384,-1.033305764,-0.624510825
0.8709573,0.936899364,-1.21972692,-0.647946596
0.88899574,1.388571143,-1.128114223,-0.526506543
0.90703417,1.902028203,-0.878842533,-0.329432786
0.92507261,2.341982126,-0.072437927,-0.185622186
0.9431037,2.38672328,0.971520424,-0.227167472
0.96112839,2.145973682,1.58937335,-0.276169598
0.97918824,1.745434523,1.429583788,-0.270843267
0.99722667,0.634364486,0.884168804,-0.346477002
1.01526511,-0.113450579,0.094808467,-0.370978057
1.03330355,-0.373374909,-0.207726404,-0.247407481
1.05134198,-0.030360013,-0.822383523,0.063649505
1.06938042,0.184823245,-2.112417698,0.45247072
1.08741886,0.284958035,-1.812013507,0.43968758
1.1054573,0.631168723,-0.743553996,0.489754945
1.12349574,0.538490772,0.066046342,0.52703917
1.14153417,0.379766494,0.618918181,0.462058097
1.15957261,0.4969455,0.806404591,0.322508574
1.17761105,0.689758182,0.706269801,0.291615933
1.19563724,0.842090905,0.429301262,0.375771761
1.21367094,1.004011035,0.021305272,0.517451823
1.23172662,1.071122646,-0.198139042,0.643152952
1.24976506,0.857004583,0.047936864,0.574976027
1.2678035,0.731303513,1.041827798,0.502538145
1.28584193,0.930507779,1.472194314,0.447144419
1.30388037,1.308676362,1.544632316,0.41412124
1.32191881,1.814676642,1.336905837,0.456731796
1.33995724,1.699628115,0.165115863,0.420512825
1.35799568,0.804806709,-0.53156656,0.160588488
1.37603412,0.469248623,-0.602939248,0.105194785
1.39407256,0.581101298,0.159789547,0.332095951
1.412111,0.805871964,1.924931407,0.617586613
1.43014943,0.92305094,3.30977416,0.655936062
1.44818725,0.81013298,3.64320159,0.70919925
1.46622474,0.312654883,2.887929678,0.653805554
1.48426511,-0.39681071,1.699095488,0.649544478
1.50230355,-0.756869793,1.211204767,0.618651867
1.52034198,-0.714259267,1.313470125,0.506799161
1.53838042,-0.429833889,1.320926905,0.342748582
1.55641886,-0.302002251,1.20161736,0.140348479
1.5744573,-0.431964397,0.990695179,-0.029028434
1.59249574,-0.523577094,0.142745331,-0.194144294
1.61053417,-0.562991858,-1.357145905,-0.429567576
1.62857261,-1.212802649,-2.975281239,-0.840759337
1.64661105,-2.396310568,-4.170506954,-1.224254251
1.66464948,-3.26450038,-4.400604248,-1.320127964
1.68268792,-4.03255558,-3.569698572,-1.316932201
1.70072673,-4.148669243,-2.417083263,-1.189100504
1.71876516,-2.886331797,-4.281294346,-0.245276958
1.7368036,-2.735064507,0.181094825,0.17656745
1.75484204,-1.967009306,1.441301703,0.406664401
1.77288048,-1.42372489,1.02691412,0.344879091
1.79091891,-1.986184001,1.934518814,-0.234624311
1.80895735,-2.065013647,2.470346451,-0.914262533
1.82699579,-1.414137483,1.934518814,-1.259407997
1.84503423,-0.777109802,1.875929236,-1.053812027
1.86307266,-0.333960146,1.272990108,-0.695883453
1.8811111,0.013315796,0.330231726,-0.554203391
1.89914954,0.427703351,-0.887364626,-0.526506543
1.91718798,0.812263548,-1.780055523,-0.56166023
1.93522641,1.065796256,-2.167811394,-0.711862445
1.95324131,1.343830109,-2.420279026,-0.778974056
1.97130224,1.574992299,-2.271142006,-0.704405606
1.98934225,1.752891302,-1.711878657,-0.677774012
2.00738068,1.871135592,-0.703073978,-0.623445571
2.02541912,1.878592372,0.846884608,-0.74382031
2.04345756,1.608015418,2.473542213,-0.699079275
2.061496,1.540903807,1.941975594,-0.296409607
2.07953443,0.539556027,1.122787833,-0.202666402
2.09757287,-0.294545382,0.104395837,-0.122771636
2.11561131,-0.641821325,-0.446345478,0.204264298
2.13364974,-1.36726594,-1.360341668,0.504668653
2.15168818,-0.601341307,-1.491369128,0.411990702
2.16972662,0.469248623,-0.826644599,0.318247527
2.18776506,0.997619391,0.112917945,0.354466468
2.20578058,1.145691037,0.772316158,0.345944375
2.22384251,1.282044768,0.83197093,0.402403355
2.24188094,1.413072228,0.622113943,0.485493898
2.25991938,1.537708044,0.291882247,0.649544478
2.27795782,1.603754401,-0.085221089,0.769919276
2.29599626,1.60588491,-0.496412844,0.795485616
2.31403469,1.568600655,-0.800013006,0.829574049
2.33207313,1.488705993,-0.839427769,0.816790879
2.35011157,1.326785922,-0.42610547,0.672980309
2.36815001,1.062600493,0.452737033,0.328900158
2.38618844,0.750478208,1.643701792,0.165914819
2.40422688,0.550208688,2.431996822,0.310790658
2.42226532,0.610928714,1.675659657,0.294811726
2.44030423,0.678040326,0.189616934,0.182959035
2.45834277,0.72278136,-0.75740242,0.198937982
2.4763812,0.705737174,-0.536892891,0.337422252
2.49441964,0.631168723,1.228248954,0.262853801
2.51245808,0.590688705,2.858102322,0.327834874
2.53049652,0.55340445,3.453584671,0.402403355
2.54853495,0.488423377,3.162767649,0.472710729
2.56657339,0.276435912,2.244510412,0.614390791
2.58461183,-0.115581103,0.895886719,0.706003487
