Time(s),X(m/s^2),Y(m/s^2),Z(m/s^2)
0.004748192,7.123348713,-10.31481934,0.226252064
0.022789911,7.563881874,-10.21905136,0.389057785
0.04083163,7.056311131,-9.620500565,-0.156820208
0.058873348,5.792172432,-8.883087158,-0.879869103
0.07691538,4.537611008,-8.447341919,-0.798466265
0.094957567,2.64140296,-8.308478355,-0.937329948
0.112999755,-0.303465068,-9.491213799,0.729034424
0.131041942,-1.452681899,-9.644442558,2.146401882
0.149083765,0.649427235,-7.628525257,2.515108824
0.167125484,2.449866772,-6.996456146,1.8590976
0.185167203,3.785831451,-7.082647324,1.634042621
0.203208921,4.19763422,-7.1736269,1.092953086
0.22125064,4.140173435,-7.044340134,-0.075417355
0.239292359,3.785831451,-7.144896507,-0.693121374
0.257334078,3.57035327,-7.451354027,-0.228646264
0.275375796,3.1633389,-8.614935875,-0.094570965
0.293417567,3.019686937,-10.71225739,-0.401028782
0.311459755,4.106654644,-11.12405968,-0.999579191
0.329501942,5.136161327,-10.59733486,-1.334767461
0.34754413,6.05553484,-10.94210052,-1.602918029
0.365586265,6.859986305,-11.77049446,-2.440888643
0.383626265,7.726687431,-12.85267353,-2.895787001
0.401667984,8.511985779,-14.3179245,-3.044227362
0.419711838,8.191162109,-15.32827759,-2.15358448
0.437753557,5.069123745,-14.8829565,-0.640448928
0.455795275,2.521692991,-15.41446877,2.845508814
0.473836994,2.976591349,-14.36580849,6.197391033
0.491878713,4.135385036,-11.34432602,8.093599319
0.509920432,4.092289448,-9.414599419,7.471106529
0.52796215,4.60464859,-9.1033535,5.024232388
0.546003869,4.791396141,-8.902240753,1.667561531
0.564045588,5.720346451,-7.887098789,-0.01316811
0.582087671,6.065111637,-7.925405979,0.815225661
0.600129859,5.825691223,-8.825626373,1.56221664
0.618172046,3.551199675,-10.19510937,0.800860465
0.636189182,-0.29867667,-12.44087029,-2.962824583
0.654256161,-3.928286552,-15.48629475,-7.344213486
0.672297932,-5.465363979,-16.93718147,-5.141548157
0.69033965,-4.325724125,-12.91971111,1.868674397
0.708381369,-1.735197663,-7.010821342,7.222109318
0.726423088,0.529717147,-8.045116425,10.14303589
0.744464807,0.256778121,-9.227851868,0.738611221
0.762506525,2.311003208,-8.255805969,-0.530315697
0.780548244,0.70688808,-6.733093739,-2.732981205
0.798589963,2.1960814,-5.081094742,-1.210268974
0.816631942,2.291849613,-4.745906353,-1.167173386
0.83467413,2.354098797,-4.118625641,-1.717839718
0.852716317,2.583942175,-3.577535868,-1.564610839
0.87076163,2.756324768,-3.42430687,-0.597353339
0.888776734,2.502539396,-3.60626626,0.85353291
0.906842411,2.306214809,-3.965396643,3.242946148
0.92488413,1.999756932,-4.626196384,6.015431881
0.942925848,2.354098797,-5.46895504,10.15261269
0.960967567,2.842515945,-6.120178223,14.3472538
0.979009286,8.004414558,-8.145672798,17.53154182
0.997051005,17.64347076,-6.958148479,4.483142853
1.015092723,9.982025146,-10.77929497,-0.717063427
1.033134442,4.709993362,-10.83196735,-1.995567083
1.051176161,0.18495208,-12.79521275,-0.81761986
1.069218244,-3.324947596,-18.22047424,2.199074268
1.087260432,-4.847660065,-20.55242538,2.165555477
1.105302619,-2.927510023,-16.52537918,0.18794483
1.123344911,-2.515707493,-11.27250004,-0.587776542
1.141385275,-2.740762472,-9.02673912,-0.286107093
1.159428244,-0.796670616,-8.581417084,0.700303972
1.177470432,1.185728431,-9.304466248,0.207098454
1.19551215,2.727594376,-9.725846291,-0.812831461
1.213553869,4.413112164,-9.845556259,-0.870292306
1.231595588,5.605424881,-9.567828178,-1.349132657
1.249637307,5.68682766,-9.548674583,-1.899798989
1.267679025,5.691616058,-8.720281601,-1.784877419
1.285720744,5.251082897,-8.509591103,-1.55982244
1.303762463,4.657320976,-8.332420349,-1.564610839
1.321804494,4.623802185,-8.069058418,-1.229422569
1.339846682,4.532822132,-8.093000412,-1.253364563
1.357888869,4.64295578,-8.341997147,-0.611718535
1.375931005,4.772242546,-8.80168438,-0.310049117
1.39397163,4.264671803,-8.940547943,-0.611718535
1.412014234,3.709217072,-8.930971146,-1.291671872
1.430056838,4.662109375,-9.285312653,-1.353921056
1.448098557,6.247070789,-9.438541412,-1.090558887
1.466140275,7.305307865,-9.433753014,-0.688332975
1.484181994,7.496844292,-9.170391083,-0.85592711
1.502223713,7.377133846,-8.504802704,-1.219845772
1.520265432,6.874351501,-8.016386032,-1.167173386
1.53830715,6.199186802,-7.805696011,-0.654814184
1.556348869,5.883152008,-7.733870029,-0.056263741
1.57439064,5.868786812,-7.872733593,0.231040463
1.592432828,6.002861977,-8.140884399,0.355538964
1.610475015,5.615001678,-8.28932476,0.623689532
1.628501369,4.619013786,-8.093000412,1.121683478
1.646546213,3.465008497,-8.203133583,2.591723442
1.664601213,2.933495522,-9.697115898,3.683479309
1.682642932,2.220023632,-10.74577618,3.491943121
1.70068465,1.511339784,-10.94210052,3.147178173
1.718726369,1.204882026,-11.13842487,2.591723442
1.736768088,1.793855667,-11.19588566,2.33793807
1.754809807,2.789843559,-10.98040771,2.93648839
1.772851525,3.4554317,-10.34833813,3.659537315
1.790893244,3.843292236,-9.682749748,3.386598349
1.80893538,4.255095005,-8.868721962,2.764105797
1.826977567,4.700416565,-8.399457932,3.578134537
1.845019755,5.495291233,-7.221510887,4.176684856
1.863061942,6.31889677,-5.741894245,3.841496706
1.881103817,6.160879612,-5.148132324,2.773682594
1.899145536,5.696404457,-5.243900299,1.830367208
1.917187255,5.145738125,-6.05314064,0.571017087
1.935228973,4.398746967,-7.025186539,0.585382342
1.953270692,4.226364613,-7.776965618,2.476801634
1.971312411,3.350086689,-7.92061758,7.796717644
1.98935413,1.927930951,-8.667608261,10.29626465
2.007395953,1.856104851,-9.347561836,7.858967304
2.02543814,0.994192243,-9.251793861,5.316324711
2.043480328,0.046088383,-9.37150383,3.788824081
2.061522515,1.405994892,-8.126519203,3.501519918
2.079564703,3.062782526,-7.451354027,3.319560766
2.097606473,4.748300552,-7.369951248,4.176684856
2.115648192,5.006874084,-7.863156796,5.12957716
2.133689911,5.04997015,-7.944559574,5.503072739
2.15173163,5.260659695,-7.796119213,5.301959515
2.169773348,5.342062473,-7.460930824,5.076904774
2.187815067,5.198410511,-6.991667747,4.966771603
2.205856786,4.575918198,-6.694786549,4.41610527
2.223898765,3.943848848,-6.560711384,3.879803896
2.241940953,3.666121244,-6.350021362,3.683479309
2.25998314,3.642179251,-6.12975502,3.812766314
2.278025328,3.508104086,-6.134543419,4.104858875
2.296067463,3.661332846,-6.077082634,4.478354454
2.314109182,3.97736764,-6.05314064,4.674678802
2.3321509,4.556764603,-5.808931828,4.83748436
2.350192619,5.064335346,-5.689221859,4.79917717
2.368234338,5.169680119,-5.904699802,4.775235176
2.386250536,5.351639271,-5.976525784,5.220556736
2.404318869,5.265448093,-5.87596941,6.183025837
2.422360588,4.638167381,-6.364386559,8.122329712
2.440402307,5.217564106,-6.986878872,8.615534782
2.458444025,5.624578476,-10.26693535,11.92910957
2.476485744,9.986813545,-13.09688187,6.925228596
2.494527463,6.208763599,-10.83196735,-0.77931267
2.512569182,2.330156803,-11.56938076,-1.195903778
2.5306109,-0.954687953,-13.06336308,3.05140996
2.548653036,-3.248333216,-13.06815147,2.333149672
2.566695223,-1.031302333,-11.50234318,-0.104147777
2.584737411,1.185728431,-9.850344658,-0.233434662
2.602779598,2.579153776,-9.017162323,0.077811554
2.620821578,3.656544447,-8.911817551,0.355538964
2.638863296,4.499303341,-9.002797127,0.489614248
2.656905015,5.073912144,-9.266159058,0.25977087
2.674946734,5.064335346,-9.543886185,-0.884657502
2.692988453,5.265448093,-9.366715431,-1.880645394
2.711030171,5.552752495,-9.25658226,-1.420958757
2.72907189,5.471349239,-8.940547943,0.350750536
2.747113817,4.896740913,-8.55747509,2.342726469
2.765156005,4.140173435,-8.260594368,2.8981812
2.783198192,3.833715439,-8.432976723,3.463212729
2.80124038,2.981379747,-8.332420349,1.763329506
2.819282567,2.674921751,-8.116942406,0.226252064
2.837324338,2.765901566,-8.183979988,-1.133654475
2.855366057,3.522469282,-8.298901558,-0.420182407
2.873408296,4.700416565,-8.581417084,0.422576606
2.891440744,5.567117691,-8.581417084,0.460883826
2.909492098,6.117784023,-8.380304337,0.312443316
2.927533817,6.467337132,-8.523956299,-0.108936176
2.945575536,6.831255913,-8.619724274,-0.55904609
2.963617255,7.28615427,-8.806472778,-0.851138711
2.981658973,7.214328289,-9.270947456,-1.080982089
2.999700692,6.452971935,-8.696338654,-0.396240383
3.017742411,6.002861977,-7.92061758,0.44651863
3.035784286,5.658097267,-7.432200432,0.403422982
3.053826473,5.394734859,-7.331644058,0.120907188
3.071868661,5.423465252,-7.494450092,0.135272399
3.089910848,5.284601688,-7.810484409,0.389057785
3.107953036,5.083488941,-8.002020836,0.398634583
3.125981994,4.901529312,-8.341997147,0.436941803
3.144017515,5.107430935,-8.614935875,0.537498295
3.162078765,5.016450882,-9.122507095,0.609324336
3.180120484,4.944624901,-8.959701538,0.661996782
3.198162203,4.848856926,-8.691550255,0.159214407
3.216203921,4.877587318,-8.538321495,-0.448912829
3.23424564,4.475361347,-8.5191679,-0.492008448
3.252287359,4.38917017,-8.590993881,-0.434547603
3.270329078,4.35086298,-8.605359077,-0.319625914
3.288371213,4.547187805,-8.547898293,0.063446343
3.3064134,4.829703331,-8.437765121,0.269347698
3.324455588,5.174468517,-8.006809235,0.379480958
3.342497775,5.528810501,-7.456142426,0.508767843
3.360539911,5.954977989,-7.21193409,0.666785181
3.378564807,6.275801182,-7.350797653,0.532709897
3.396609025,6.175244808,-7.65725565,0.044292733
3.414665588,5.835268021,-7.805696011,-0.310049117
3.432707307,6.227917194,-7.872733593,-0.243011475
3.450749025,7.123348713,-7.858368397,0.360327363
3.468790744,8.205527306,-8.241440773,2.486378431
3.486832463,8.138489723,-10.04188061,1.016338587
3.504874182,8.181585312,-12.05300999,-0.736217022
3.5229159,6.831255913,-14.92126369,-3.518279314
3.540958088,5.447407246,-16.00344276,-6.104017258
3.559000275,3.249530315,-16.09442329,-5.017049789
3.577042463,0.893635809,-17.48784828,2.266111851
3.59508465,1.975814939,-17.44475174,7.916428089
3.613126734,6.639719963,-13.71458626,6.752845764
3.631168453,7.166444302,-10.55902767,6.685808182
3.649210171,6.43381834,-8.423399925,5.819107056
3.66725189,5.188833714,-7.729081631,4.109647274
3.685293609,3.795408249,-7.374739647,3.05140996
3.703335328,4.15932703,-7.671620846,1.643619418
3.721377046,3.852869034,-7.705139637,0.767341673
3.739419234,3.110666513,-6.814496517,1.040280581
3.757461421,2.449866772,-5.698798656,1.854309201
3.775503609,2.41634798,-5.349245071,2.270900249
3.793545796,2.435501575,-6.2063694,2.448071241
