Time(s),X(rad/s),Y(rad/s),Z(rad/s)
0.00878181,1.805089235,-0.285490662,-0.396544397
0.026824,1.596297622,-0.209856942,-0.851411939
0.04486619,1.325720549,0.128896907,-1.272191048
0.06290838,1.106276274,0.577372909,-1.521462798
0.08095056,1.181910038,0.781903505,-1.680187106
0.09899275,1.557948112,0.364320159,-1.779256582
0.11703494,1.665539742,-0.243945375,-1.725993395
0.13507713,1.34915638,0.271642238,-1.478852272
0.15311947,1.047686815,1.553154349,-0.955807805
0.17116213,1.060469985,3.093525648,-0.145142168
0.18920478,1.546230197,3.514304638,0.343813837
0.20724744,2.122537851,2.381929398,0.049801074
0.22528968,2.329198837,-0.399473876,-0.341150671
0.24333187,2.108689308,-1.606417537,-0.751277208
0.26137405,1.932920933,-1.753423929,-0.538224459
0.27941624,1.951030374,-1.728922844,-0.006657898
0.29745843,1.893506169,-1.391234279,0.279898018
0.31550062,1.716672301,-1.239966869,0.362988591
0.3335428,1.342764854,-1.229314208,0.378967553
0.351584,0.957139373,-1.349689007,0.324639082
0.36962619,0.603471875,-1.385908008,0.291615933
0.3876703,-0.64821291,-2.188051462,0.034887385
0.40571249,-0.063383184,-0.635962367,0.534496009
0.42375468,0.05912213,0.501739204,0.574976027
0.44179687,-0.158191651,1.133440495,0.487624437
0.45983905,-0.516120255,1.076981544,0.907338321
0.47788124,-0.937964618,0.362189651,1.119325757
0.49592343,-1.445030093,-0.493217051,1.193894267
0.51396562,-1.976596713,-0.980042577,1.347292185
0.5320078,-2.289784193,-1.417865872,1.573128104
0.55004999,-2.480466366,-1.808817625,1.218395233
0.56809218,-2.546512842,-2.348906279,0.169110596
0.58613437,-2.02453351,-1.822666049,-0.345411748
0.60416155,-1.503619671,-0.378168583,-0.720384538
0.62221999,-1.335307956,0.425040186,-0.946220458
0.64026218,-1.235173225,0.627440274,-1.103879452
0.65830437,-0.754739285,1.189899445,-1.077247858
0.67634655,-0.520381272,1.466868043,-0.740624547
0.69438874,-0.655669749,1.059937358,-0.120641105
0.71243093,-0.421311766,-0.407995969,0.146740064
0.73047312,-0.098536886,-1.428518534,0.171241134
0.7485153,0.233825371,-1.434910178,0.197872728
0.76655749,0.587492883,-0.777642429,0.25220117
0.78459968,0.776044548,-0.646615028,0.325704366
0.80264187,0.65353924,-0.956606746,0.407729656
0.82068405,0.351004362,-1.181377411,0.362988591
0.83872624,0.056991603,-1.211204767,0.135022163
0.85676853,-0.139016911,-0.920387805,0.010386321
0.87481119,-0.288153827,-0.332362264,0.137152687
0.89285385,-0.123037949,-0.629570782,0.108390577
0.9108965,0.166713759,-1.321992159,-0.065247402
0.92893879,0.219976947,-1.335840583,-0.203731671
0.94698098,-0.03249054,-1.184573174,-0.275104344
0.96502317,-0.313720137,-1.287903786,-0.365651757
0.98306536,-0.451139152,-1.630918622,-0.362455964
1.00110754,-0.498010755,-2.044240952,-0.231428519
1.01914973,-0.498010755,-2.287121058,-0.030093698
1.03719192,-0.467118114,-2.150767326,0.187220082
1.05523411,-0.340351731,-1.865276694,0.358727545
1.07327629,-0.136886373,-1.677790284,0.430100203
1.09131848,0.079362139,-1.578720689,0.447144419
1.10936067,0.214650631,-1.473259568,0.424773872
1.12740286,0.248739064,-1.333710074,0.373641223
1.14544504,0.203997985,-1.279381633,0.293746442
1.1634877,0.144343227,-1.277251124,0.184024289
1.18153036,0.15925692,-1.268728971,0.064714767
1.19957301,0.428768605,-1.127048969,-0.027963171
1.21761541,0.831438243,-1.409343839,0.012516848
1.2356576,1.045556307,-2.249836922,0.061518975
1.25369978,1.104145765,-2.64718008,0.058323186
1.27174197,1.086036325,-2.673811674,0.046605285
1.28978416,1.016794205,-2.492717028,0.034887385
1.30782635,0.913463593,-2.25942421,0.063649505
1.32586853,0.782436132,-2.050632477,0.119043209
1.3439115,0.616255045,-1.880190372,0.168045342
1.36195369,0.392549664,-1.61493969,0.22024326
1.37999588,0.15393059,-1.209074259,0.288420141
1.39803806,-0.063383184,-0.814926684,0.272441179
1.41608025,-0.223172739,-0.533697069,0.179763243
1.43412244,-0.274305373,-0.335558057,0.030626331
1.45216463,0.133690581,0.133157954,-0.048203181
1.47020681,1.196823716,0.156593755,-0.135554805
1.488249,1.816807151,-0.672181368,-0.231428519
1.50629119,2.118276834,-0.703073978,-0.457264423
1.52433338,2.470879078,-0.061785292,-0.799214065
1.54237556,2.903376102,0.647680283,-1.209340572
1.56041775,3.114298344,0.537958145,-1.414936423
1.5784602,3.6394732,0.161920071,-1.211471081
1.59650286,3.705519676,-0.204530627,-0.673512936
1.61454551,3.278348923,-0.793621421,-0.151533753
1.63258817,2.677540064,-1.427453279,0.092411622
1.65063036,1.871135592,-1.820535541,0.125434801
1.66867254,1.420529008,-1.835449219,-0.026897907
1.68671473,1.348091125,-1.913213491,-0.096140042
1.70475692,1.244760513,-1.982455611,-0.358194888
1.72279911,1.160604715,-2.359559059,-0.765125632
1.74084129,1.224520564,-2.2977736,-0.839694083
1.75888348,1.400289059,-1.51480484,-0.232493788
1.77692567,1.429051161,-0.395212799,0.196807459
1.79496786,1.021055222,0.786164582,0.137152687
1.81301004,0.505467594,0.969389916,0.128630579
1.83105223,0.093210571,0.273772746,0.121173739
1.84909442,-0.266848534,-0.384560168,0.140348479
1.86713692,-0.475640208,-0.878842533,0.19574219
1.88517958,-0.640756071,-1.072720528,0.294811726
1.90322223,-0.747282445,-1.419996381,0.378967553
1.92126484,-0.778175116,-1.929192424,0.532365501
1.93930702,-0.754739285,-2.193377733,0.645283461
1.95734921,-0.556600273,-2.348906279,0.718786657
1.9753914,-0.292414874,-2.20296526,0.865793049
1.99343359,-0.1976064,-2.232792616,0.925447762
